id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,set_filter_01,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,effects/0/stop_effect_id
event_lastkingdom1_04_s_18,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_18,True,,130,130,1.0,,,13,idle,crown,crown,,1,idle,,15,idle,,,,,,,,,,
event_lastkingdom1_04_s_19,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_19,True,,130,1315,1.0,,,13,idle,chime,chime,,1,idle,,15,void,,,,,,,,,,
event_lastkingdom1_04_s_20,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_20,True,,1315,1315,1.0,,,13,idle,crown,crown,,1,idle,,15,void,,,,,,,,,,
event_lastkingdom1_04_s_21,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_21,True,,1315,1315,1.0,,,13,idle,crown,crown,,1,idle,,15,void,,,,,,,,,,
event_lastkingdom1_04_s_22,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_22,True,,1315,113,1.0,,,13,idle,crown,crown,,1,idle,,15,void,,,,,,,,,,
event_lastkingdom1_04_s_23,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_23,True,,113,113,1.0,,,13,idle,kilo,kilo,,1,idle,,15,void,,,,,,,,,,
event_lastkingdom1_04_s_24,40045,event_lastkingdom1_04_s,Narration,Locale_MainScenario:event_lastkingdom1_04_s_24,False,,black,black,1.0,,,13,idle,crown,,,1,idle,,15,void,sfx_scn_doorlockscifi,,,,,,,,,
event_lastkingdom1_04_s_25,40045,event_lastkingdom1_04_s,Narration,Locale_MainScenario:event_lastkingdom1_04_s_25,False,,black,black,1.0,,,13,idle,crown,,,1,idle,,15,void,,,,,,,,,,
event_lastkingdom1_04_s_26,40045,event_lastkingdom1_04_s,Narration,Locale_MainScenario:event_lastkingdom1_04_s_26,False,,black,black,1.0,,,13,idle,crown,,,1,idle,,15,void,sfx_scn_steamboxopen,,,,,,,,,
event_lastkingdom1_04_s_27,40045,event_lastkingdom1_04_s,Narration,Locale_MainScenario:event_lastkingdom1_04_s_27,False,,black,black,1.0,,,13,idle,crown,,,1,idle,,15,void,,,,,,,,,,
event_lastkingdom1_04_s_28,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_28,True,,1,1,1.0,,,13,idle,kilo,kilo,,1,idle,,15,void,,,,,,,,,,
event_lastkingdom1_04_s_29,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_29,True,,1,113,1.0,,,13,idle,crown,crown,,1,idle,,15,void,,,,,,,,,,
event_lastkingdom1_04_s_30,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_30,True,,113,113,1.0,,,13,idle,crown,crown,,1,idle,,15,void,,,,,,,,,,
event_lastkingdom1_04_s_31,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_31,True,FreezerIn,1,S_10,1.0,,,13,idle,kilo,kilo,,1,idle,,15,void,,fx_Eventscene_camera_recording,rec,True,Blur_Low,black,,,,
event_lastkingdom1_04_s_32,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_32,True,,S_10,S_10,1.0,,,13,idle,kilo,kilo,,1,idle,,15,void,,,,,Blur_Low,,,,,
event_lastkingdom1_04_s_33,40045,event_lastkingdom1_04_s,Narration,Locale_MainScenario:event_lastkingdom1_04_s_33,False,EventScene_lastkingdom_02,black,black,1.0,,,13,idle,crown,,,1,idle,,15,void,,,,,Blur_Low,,kilo,crown,chime,fx_Eventscene_camera_recording
event_lastkingdom1_04_s_34,40045,event_lastkingdom1_04_s,Narration,Locale_MainScenario:event_lastkingdom1_04_s_34,False,,black,black,1.0,,,,,crown,,,,,,,,,,,,Blur_Low,,,,,
event_lastkingdom1_04_s_35,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_35,True,,hyperfood_01,hyperfood_02,1.0,,,,,kilo,kilo,,,,,,,,fx_Eventscene_camera_recording,rec,True,Blur_Low,,,,,
event_lastkingdom1_04_s_36,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_36,True,,hyperfood_02,hyperfood_02,1.0,,,,,kilo,kilo,,,,,,,,,,,Blur_Low,,,,,
event_lastkingdom1_04_s_37,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_37,True,,hyperfood_02,hyperfood_02,1.0,,,,,crown,crown,,,,,,,,,,,Blur_Low,,,,,
event_lastkingdom1_04_s_38,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_38,True,,hyperfood_02,hyperfood_02,1.0,,,,,kilo,kilo,,,,,,,,,,,Blur_Low,,,,,
event_lastkingdom1_04_s_39,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_39,True,,hyperfood_02,hyperfood_02,1.0,,,,,crown,crown,,,,,,,,,,,Blur_Low,,,,,
event_lastkingdom1_04_s_40,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_40,True,,hyperfood_02,hyperfood_02,1.0,,,,,kilo,kilo,,,,,,,,,,,Blur_Low,,,,,
event_lastkingdom1_04_s_41,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_41,True,,hyperfood_02,hyperfood_02,1.0,,,,,crown,crown,,,,,,,,,,,Blur_Low,,,,,
event_lastkingdom1_04_s_42,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_42,True,,hyperfood_02,hyperfood_01,1.0,,,,,chime,chime,,,,,,,,,,,Blur_Low,,,,,
event_lastkingdom1_04_s_43,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_43,True,,hyperfood_01,hyperfood_01,1.0,,,,,kilo,kilo,,,,,,,,,,,Blur_Low,,,,,
event_lastkingdom1_04_s_44,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_44,True,,hyperfood_01,hyperfood_01,1.0,,,,,chime,chime,,,,,,,,,,,Blur_Low,,,,,
event_lastkingdom1_04_s_45,40045,event_lastkingdom1_04_s,Speech,Locale_MainScenario:event_lastkingdom1_04_s_45,True,,hyperfood_01,hyperfood_01,1.0,,,,,chime,chime,,,,,,,,,,,Blur_Low,,,,,
