id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,play_sound,speaker
event_ce004_2_02_s_17,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_17,True,,6,70,1.0,,marciana,,7,idle,,5,think,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,marciana
event_ce004_2_02_s_18,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_18,True,,70,70,1.0,,marciana,,7,idle,,5,think,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,marciana
event_ce004_2_02_s_19,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_19,True,,70,70,1.0,,marciana,,7,idle,,5,think,,3,idle,,1,think,,13,idle,,15,think,,17,angry,,19,delight,,marciana
event_ce004_2_02_s_20,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_20,True,,150,150,1.0,,ce004_01_s,,7,idle,,5,think,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,ce004_01
event_ce004_2_02_s_21,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_21,True,,70,70,1.0,,marciana,,7,idle,,5,think,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,marciana
event_ce004_2_02_s_22,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_22,True,,70,70,1.0,,marciana,,7,idle,,5,think,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,marciana
event_ce004_2_02_s_23,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_23,True,,70,70,1.0,,marciana,,7,idle,,5,think,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,marciana
event_ce004_2_02_s_24,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_24,True,,70,70,1.0,,marciana,,7,idle,,5,think,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,marciana
event_ce004_2_02_s_25,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_25,True,,130,130,1.0,,zwei,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,zwei
event_ce004_2_02_s_26,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_26,True,,50,50,1.0,,ce004_04,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,ce004_04
event_ce004_2_02_s_27,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_27,True,,50,50,1.0,,ce004_04,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,ce004_04
event_ce004_2_02_s_28,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_28,True,,50,50,1.0,,ce004_04,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,ce004_04
event_ce004_2_02_s_29,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_29,True,,50,50,1.0,,ce004_04,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,ce004_04
event_ce004_2_02_s_30,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_30,True,,50,50,1.0,,ce004_04,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,ce004_04
event_ce004_2_02_s_31,40056,event_ce004_2_02_s,Speech,Locale_SubScenario:event_ce004_2_02_s_31,True,,50,500,1.0,,ce004_04,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,surprise,,17,angry,,19,delight,,ce004_04
