id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade
event_coinsinrush2_05_s_11,40089,event_coinsinrush2_05_s,Monologue,Locale_MainScenario:event_coinsinrush2_05_s_11,False,,3,smile_02,,1,angry1,,13,no,,30,30,1.0,,,velvet,,,,,
event_coinsinrush2_05_s_12,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_12,True,,3,smile_02,,1,good,,13,no,,10,10,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_13,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_13,True,,3,smile_02,,1,angry1,,13,no,,10,100,0.5,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_14,40089,event_coinsinrush2_05_s,Narration,Locale_MainScenario:event_coinsinrush2_05_s_14,False,,3,smile_02,,1,angry1,,13,no,,black,black,1.0,sfx_scn_hitwall,,,,,,,
event_coinsinrush2_05_s_15,40089,event_coinsinrush2_05_s,Monologue,Locale_MainScenario:event_coinsinrush2_05_s_15,False,,3,smile_02,,1,angry1,,13,no,,black,black,1.0,,,,,,,,
event_coinsinrush2_05_s_16,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_16,True,,3,delight_02,,1,angry1,,13,no,,2,2,1.0,,,velvet,velvet,,,,
event_coinsinrush2_05_s_17,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_17,True,,3,delight_02,,1,angry1,,13,no,,2,2,1.0,,,velvet,velvet,,,,
event_coinsinrush2_05_s_18,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_18,True,,3,delight_02,,1,angry1,,13,no,,2,2,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_19,40089,event_coinsinrush2_05_s,Narration,Locale_MainScenario:event_coinsinrush2_05_s_19,False,,3,delight_02,,1,angry1,,13,no,,black,black,1.0,sfx_scn_hitwall2,,,,,,,
event_coinsinrush2_05_s_20,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_20,True,,3,no_02,,1,angry1,,13,no,,300,300,1.0,,,velvet,velvet,,,,
event_coinsinrush2_05_s_21,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_21,True,,3,idle_02,,1,angry1,,13,no,,300,300,1.0,,,velvet,velvet,,,,
event_coinsinrush2_05_s_22,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_22,True,,3,idle_02,,1,angry1,,13,no,,300,30,0.5,,,velvet,velvet,,,,
event_coinsinrush2_05_s_23,40089,event_coinsinrush2_05_s,Narration,Locale_MainScenario:event_coinsinrush2_05_s_23,False,,3,idle_02,,1,angry1,,13,no,,black,black,1.0,sfx_scn_steelrope,,,,velvet,,,
event_coinsinrush2_05_s_24,40089,event_coinsinrush2_05_s,Monologue,Locale_MainScenario:event_coinsinrush2_05_s_24,False,,,,,1,angry1,,13,no,,black,black,1.0,,,,,,,,
event_coinsinrush2_05_s_25,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_25,True,,,,,1,angry1,,13,no,,130,1300,0.5,,,ade_b,ade_b,,,,
event_coinsinrush2_05_s_26,40089,event_coinsinrush2_05_s,Narration,Locale_MainScenario:event_coinsinrush2_05_s_26,False,,,,,1,angry1,,13,no,EventScene_coinsinrush_06_2,black,black,1.0,sfx_scn_steelrope,,,,,milk_b,ade_b,
event_coinsinrush2_05_s_27,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_27,True,,,,,,,,,,,coinsinrush_14,coinsinrush_14,1.0,,,,milk_b,,,,black
event_coinsinrush2_05_s_28,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_28,True,,,,,,,,,,,coinsinrush_14,coinsinrush_14,1.0,,,,velvet,,,,
event_coinsinrush2_05_s_29,40089,event_coinsinrush2_05_s,Narration,Locale_MainScenario:event_coinsinrush2_05_s_29,False,,,,,,,,,,EventScene_coinsinrush_06_1,black,black,1.0,sfx_scn_bodyhit,,,,,,,
event_coinsinrush2_05_s_30,40089,event_coinsinrush2_05_s,Monologue,Locale_MainScenario:event_coinsinrush2_05_s_30,False,,,,,,,,,,,coinsinrush_10,coinsinrush_10,1.0,,,,,,,,
event_coinsinrush2_05_s_31,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_31,True,,,,,,,,,,,coinsinrush_10,coinsinrush_10,1.0,,,,velvet,,,,
event_coinsinrush2_05_s_32,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_32,True,,,,,,,,,,,coinsinrush_10,coinsinrush_10,1.0,,,,velvet,,,,
event_coinsinrush2_05_s_33,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_33,True,,,,,,,,,,,coinsinrush_10,coinsinrush_10,1.0,,,,ade_b,,,,
event_coinsinrush2_05_s_34,40089,event_coinsinrush2_05_s,Narration,Locale_MainScenario:event_coinsinrush2_05_s_34,False,,,,,,,,,,,black,black,1.0,sfx_scn_medhit2,,,,,,,
event_coinsinrush2_05_s_35,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_35,True,,,,,,,,,,,coinsinrush_11,coinsinrush_11,1.0,,,,ade_b,,,,
event_coinsinrush2_05_s_36,40089,event_coinsinrush2_05_s,Monologue,Locale_MainScenario:event_coinsinrush2_05_s_36,False,,,,,,,,,,,coinsinrush_11,coinsinrush_11,1.0,,,,,,,,
event_coinsinrush2_05_s_37,40089,event_coinsinrush2_05_s,Monologue,Locale_MainScenario:event_coinsinrush2_05_s_37,False,,,,,,,,,,,coinsinrush_11,coinsinrush_11,1.0,,,,,,,,
event_coinsinrush2_05_s_38,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_38,True,,,,,,,,,,,coinsinrush_11,coinsinrush_12,0.5,,,,velvet,,,,
event_coinsinrush2_05_s_39,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_39,True,,,,,,,,,,,coinsinrush_12,coinsinrush_12,,,,,ade_b,,,,
event_coinsinrush2_05_s_40,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_40,True,,,,,,,,,,,coinsinrush_12,coinsinrush_12,1.0,,,,velvet,,,,
event_coinsinrush2_05_s_41,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_41,True,,,,,,,,,,,coinsinrush_12,coinsinrush_10,1.0,,,,ade_b,,,,
event_coinsinrush2_05_s_42,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_42,True,,,,,,,,,,,coinsinrush_10,coinsinrush_10,1.0,,,,velvet,,,,
event_coinsinrush2_05_s_43,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_43,True,,,,,,,,,,,coinsinrush_10,coinsinrush_10,1.0,,,,velvet,,,,
event_coinsinrush2_05_s_44,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_44,False,,,,,,,,,,EventScene_coinsinrush_06_2,black,black,1.0,,,,ade_b,,,,
event_coinsinrush2_05_s_45,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_45,True,,,,,,,,,,,coinsinrush_15,coinsinrush_13,1.0,,,,milk_b,,,,
event_coinsinrush2_05_s_46,40089,event_coinsinrush2_05_s,Self,Locale_MainScenario:event_coinsinrush2_05_s_46,False,,,,,,,,,,,coinsinrush_13,coinsinrush_13,1.0,,,,,,,,
event_coinsinrush2_05_s_47,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_47,True,,,,,,,,,,,coinsinrush_13,coinsinrush_13,1.0,,,,velvet,,,,
event_coinsinrush2_05_s_48,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_48,True,,,,,,,,,,,coinsinrush_13,coinsinrush_13,1.0,,,,milk_b,,,,
event_coinsinrush2_05_s_49,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_49,True,,,,,,,,,,,coinsinrush_13,coinsinrush_13,1.0,,,,milk_b,,,,
event_coinsinrush2_05_s_50,40089,event_coinsinrush2_05_s,Narration,Locale_MainScenario:event_coinsinrush2_05_s_50,False,milk_b,1,idle,,,,,,,CoinRushMainHall,black,black,1.0,sfx_scn_skid,,,,,,,
event_coinsinrush2_05_s_51,40089,event_coinsinrush2_05_s,Self,Locale_MainScenario:event_coinsinrush2_05_s_51,False,,1,idle,,,,,,,,10,10,1.0,,,milk_b,,,,,
event_coinsinrush2_05_s_52,40089,event_coinsinrush2_05_s,Monologue,Locale_MainScenario:event_coinsinrush2_05_s_52,False,,1,idle,,,,,,,,10,10,1.0,,,milk_b,,,,,
event_coinsinrush2_05_s_53,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_53,True,,1,angry1,,,,,,,,10,10,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_54,40089,event_coinsinrush2_05_s,Self,Locale_MainScenario:event_coinsinrush2_05_s_54,False,,1,angry1,,,,,,,,10,10,1.0,,,milk_b,,,,,
event_coinsinrush2_05_s_55,40089,event_coinsinrush2_05_s,Monologue,Locale_MainScenario:event_coinsinrush2_05_s_55,False,,1,angry1,,,,,,,,black,black,1.0,,,,,,,,
event_coinsinrush2_05_s_56,40089,event_coinsinrush2_05_s,Monologue,Locale_MainScenario:event_coinsinrush2_05_s_56,False,,1,angry1,,,,,,,,black,black,1.0,,,,,,,,
event_coinsinrush2_05_s_57,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_57,False,,1,surprise2,,,,,,,,10,10,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_58,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_58,True,,1,surprise2,,,,,,,,10,10,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_59,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_59,True,,1,surprise2,,,,,,,,10,10,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_60,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_60,False,,1,surprise2,,,,,,,,10,10,1.0,,,,announcement,,,,
event_coinsinrush2_05_s_61,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_61,False,,1,surprise2,,,,,,,,10,10,1.0,,,,announcement,,,,
event_coinsinrush2_05_s_62,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_62,False,,1,surprise2,,,,,,,,10,10,1.0,,,,announcement,,,,
event_coinsinrush2_05_s_63,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_63,False,,1,surprise3,,,,,,,,10,10,1.0,,,,coinrushguests,,,,
event_coinsinrush2_05_s_64,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_64,False,,1,surprise3,,,,,,,,10,10,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_65,40089,event_coinsinrush2_05_s,Self,Locale_MainScenario:event_coinsinrush2_05_s_65,False,,1,surprise3,,,,,,,,10,10,1.0,,,milk_b,,,,,
event_coinsinrush2_05_s_66,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_66,True,,1,angry1,,,,,,,,10,10,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_67,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_67,True,,1,good,,,,,,,,10,10,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_68,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_68,True,,1,good,,,,,,,,10,10,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_69,40089,event_coinsinrush2_05_s,Self,Locale_MainScenario:event_coinsinrush2_05_s_69,False,,1,good,,,,,,,,10,10,1.0,,,milk_b,,,,,
event_coinsinrush2_05_s_70,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_70,True,,1,delight3,,,,,,,,10,100,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_71,40089,event_coinsinrush2_05_s,Narration,Locale_MainScenario:event_coinsinrush2_05_s_71,False,,1,delight3,,,,,,,,black,black,1.0,sfx_scn_bikerpm,,,,,,,
event_coinsinrush2_05_s_72,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_72,True,,1,good,,,,,,,,100,100,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_73,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_73,False,,1,good,,,,,,,,100,100,1.0,,,,coinrushguests,,,,
event_coinsinrush2_05_s_74,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_74,False,,1,surprise3,,,,,,,,100,100,1.0,,,milk_b,milk_b,,,,
event_coinsinrush2_05_s_75,40089,event_coinsinrush2_05_s,Speech,Locale_MainScenario:event_coinsinrush2_05_s_75,True,,1,delight2,,,,,,,,100,100,1.0,,,milk_b,milk_b,,,,
