id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_darkhero_05_e_44,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_44,True,,S_20,1,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_45,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_45,True,,1,1,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_46,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_46,True,,1,1,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_47,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_47,True,,1,1,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_48,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_48,True,,1,1,1.0,,maiden,,,,2,idle,,12,idle
event_darkhero_05_e_49,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_49,True,,1,1,1.0,,elegg,,,,2,idle,,12,idle
event_darkhero_05_e_50,40047,event_darkhero_05_e,Speech,maiden,Locale_SubScenario:event_darkhero_05_e_50,True,,1,S_1200,0.7,,maiden,,,,2,idle,,12,angry
event_darkhero_05_e_51,40047,event_darkhero_05_e,Narration,maiden,Locale_SubScenario:event_darkhero_05_e_51,False,,S_20,S_20,1.0,,,,,,2,idle,,12,angry
event_darkhero_05_e_52,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_52,True,,S_20,S_20,1.0,,elegg,,,,2,idle,,12,angry
event_darkhero_05_e_53,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_53,True,,S_20,S_20,1.0,,elegg,,,,2,idle,,12,angry
event_darkhero_05_e_54,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_54,False,,S_20,S_20,1.0,,maiden,,,,2,idle,,12,angry
event_darkhero_05_e_55,40047,event_darkhero_05_e,Narration,elegg,Locale_SubScenario:event_darkhero_05_e_55,False,,S_20,S_20,1.0,,,,,,2,idle,,12,angry
event_darkhero_05_e_56,40047,event_darkhero_05_e,Narration,elegg,Locale_SubScenario:event_darkhero_05_e_56,False,,S_20,1,0.5,none,,sfx_scn_8bitexplosion,Low_2,,2,idle,,12,angry
event_darkhero_05_e_57,40047,event_darkhero_05_e,Narration,elegg,Locale_SubScenario:event_darkhero_05_e_57,False,,1,1,1.0,bgm_story_armageddon,,,,,2,idle,,12,angry
event_darkhero_05_e_58,40047,event_darkhero_05_e,Narration,elegg,Locale_SubScenario:event_darkhero_05_e_58,False,,1,1,1.0,,,,,,2,idle,,12,angry
event_darkhero_05_e_59,40047,event_darkhero_05_e,Narration,elegg,Locale_SubScenario:event_darkhero_05_e_59,False,,1,1,1.0,,,,,,2,idle,,12,angry
event_darkhero_05_e_60,40047,event_darkhero_05_e,Speech,elegg,Locale_SubScenario:event_darkhero_05_e_60,True,,1,S_20,1.0,,elegg,,,,2,pain,,12,angry
