id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_ce004_2_01_s_29,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_29,True,,S_130,S_130,1.0,,,,syuen,syuen,,5,idle,,3,think,,1,angry,,OP_leftup,special,,13,angry,,,,,,,,,
event_ce004_2_01_s_30,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_30,True,,L_10,L_10,1.0,,,,mustang,mustang,,5,idle,,3,think,,1,angry,,OP_leftup,special,,13,angry,,,,,,,,,
event_ce004_2_01_s_31,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_31,True,,L_50,L_50,1.0,,,,andersen,andersen,,5,think,,3,think,,1,angry,,OP_leftup,special,,13,angry,,,,,,,,,
event_ce004_2_01_s_32,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_32,True,,L_50,L_50,1.0,,,,andersen,andersen,,5,think,,3,think,,1,angry,,OP_leftup,special,,13,angry,,,,,,,,,
event_ce004_2_01_s_33,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_33,False,,L_30,L_30,1.0,,,,ingrid,ingrid,,5,think,,3,think,,1,angry,,OP_leftup,special,,13,angry,,,,,,,,,
event_ce004_2_01_s_34,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_34,False,,S_130,S_130,1.0,,,,syuen,syuen,,5,think,,3,think,,1,angry,,OP_leftup,special,,13,think,,,,,,,,,
event_ce004_2_01_s_35,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_35,False,,L_10,L_10,1.0,,,,mustang,mustang,,5,think,,3,think,,1,angry,,OP_leftup,special,,13,think,,,,,,,,,
event_ce004_2_01_s_36,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_36,True,,L_50,L_50,1.0,,,,andersen,andersen,,5,idle,,3,think,,1,angry,,OP_leftup,special,,13,think,,,,,,,,,
event_ce004_2_01_s_37,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_37,True,,L_50,L_30,1.0,,,,ingrid,ingrid,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,think,,,,,,,,,
event_ce004_2_01_s_38,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_38,True,,L_30,L_30,1.0,,,,ingrid,ingrid,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,think,,,,,,,,,
event_ce004_2_01_s_39,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_39,True,,L_30,L_30,1.0,,,,ingrid,ingrid,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_40,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_40,True,,S_130,S_130,1.0,,,,syuen,syuen,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_41,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_41,True,,S_130,S_130,1.0,,,,syuen,syuen,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_42,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_42,True,,S_130,S_130,1.0,,,,syuen,syuen,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_43,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_43,True,,L_50,L_50,1.0,,,,andersen,andersen,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_44,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_44,True,,L_50,L_50,1.0,,,,andersen,andersen,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_45,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_45,True,,L_50,L_50,1.0,,,,andersen,andersen,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_46,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_46,True,,L_50,L_50,1.0,,,,andersen,andersen,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_47,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_47,True,,L_50,L_50,1.0,,,,andersen,andersen,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_48,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_48,True,,L_50,L_50,1.0,,,,enikk_op_l,enikk_op_l,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,,,
event_ce004_2_01_s_49,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_49,True,,12,12,1.0,,,,syuen,syuen,,5,idle,,3,idle,,1,angry,,OP_leftup,special,,13,idle,,,,,,,enikk_op_l,,
event_ce004_2_01_s_50,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_50,True,,12,12,1.0,,,,mustang,mustang,,5,idle,,3,idle,,1,idle,,,,,13,idle,,,,,,,,,
event_ce004_2_01_s_51,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_51,True,,12,L_10,1.0,,,,mustang,mustang,,5,idle,,3,idle,,1,idle,,,,,13,idle,,,,,,,,,
event_ce004_2_01_s_52,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_52,True,,L_10,L_30,1.0,,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,,,,13,idle,,,,,,,,,
event_ce004_2_01_s_53,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_53,True,,L_30,L_30,1.0,,,,ingrid,ingrid,,5,idle,,3,idle,,1,idle,,,,,13,idle,,,,,,,,,
event_ce004_2_01_s_54,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_54,True,,L_30,L_50,1.0,,,,andersen,andersen,,5,idle,,3,idle,,1,idle,,,,,13,idle,,,,,,,,,
event_ce004_2_01_s_55,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_55,True,,L_50,L_50,1.0,,,,andersen,andersen,,5,idle,,3,idle,,1,idle,,,,,13,idle,,,,,,,,,
event_ce004_2_01_s_56,40056,event_ce004_2_01_s,Speech,Locale_SubScenario:event_ce004_2_01_s_56,True,,L_50,L_500,1.0,,,,andersen,andersen,,5,idle,,3,idle,,1,idle,,,,,13,idle,,,,,,,,,
