id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/3/hide_char_id,play_sound,characters/4/hide_char_id,set_camera_shake,fade,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_ex_seayouagain_07_19,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_19,False,,9,think,,7,idle,,5,idle,,,,,,,,black,black,1.0,,,,,,,,,,
d_ex_seayouagain_07_20,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_20,True,,9,worry,,7,idle,,5,idle,,,,,,,,9,9,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_21,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_21,True,,9,idle,,7,idle,,5,idle,,,,,,,,9,7,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_22,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_22,False,,9,idle,,7,idle,,5,idle,,,,,,,,7,1,0.5,,,,sfx_scn_bigwavebreak,,Low_2,,,,
d_ex_seayouagain_07_23,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_23,False,,9,idle,,7,idle,,5,idle,,,,,,,,1,1,1.0,,,,,,,,,,
d_ex_seayouagain_07_24,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_24,True,,9,idle,,7,idle,,5,no,,,,,,,,5,5,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_25,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_25,True,,9,idle,,7,no,,5,no,,,,,,,,5,7,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_26,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_26,True,,9,idle,,7,worry,,5,idle,,,,,,,,7,7,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_27,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_27,False,,9,idle,,7,idle,,5,idle,,,,,,,,7,1,0.5,,,,sfx_scn_rain,,Low_2,,,,
d_ex_seayouagain_07_28,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_28,False,,9,idle,,7,idle,,5,idle,,,,,,,,1,1,1.0,,,,,,,,,,
d_ex_seayouagain_07_29,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_29,True,,9,idle,,7,idle,,5,worry,,,,,,,,5,5,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_30,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_30,True,,9,worry,,7,idle,,5,worry,,,,,,,,5,8,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_31,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_31,True,,9,worry,,7,idle,,5,worry,,,,,,,,8,8,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_32,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_32,True,,9,worry,,7,idle,,5,idle,,,,,,,,8,8,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_33,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_33,True,,9,worry,,7,idle,,5,idle,,,,,,,,8,8,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_34,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_34,False,,9,idle,,7,idle,,5,idle,,,,,,,,black,black,1.0,,,,sfx_scn_down,,,,,,
d_ex_seayouagain_07_35,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_35,True,,9,idle,,7,idle,,5,idle,,,,,,,,5,5,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_36,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_36,True,,9,idle,,7,idle,,5,no,,,,,,,,5,5,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_37,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_37,True,,9,idle,,7,idle,,5,no,,,,,,,,5,XS_50,0.3,,neon_s,,,,Low_2,,,,
d_ex_seayouagain_07_38,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_38,False,,9,idle,,7,idle,,5,idle,,,,,,,,black,black,1.0,,,,sfx_scn_down,,,,,,
d_ex_seayouagain_07_39,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_39,True,,9,think,,7,idle,,5,idle,,,,,,,,9,90,0.5,,rapi_s,,,,,,,,
d_ex_seayouagain_07_40,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_40,True,,9,think,,7,idle,,5,idle,,,,,,,,7,7,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_41,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_41,True,,9,idle,,7,idle,,5,idle,,,,,,,,7,7,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_42,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_42,True,,9,idle,,7,delight,,5,idle,,,,,,,,7,7,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_43,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_43,False,,9,idle,,7,idle,,5,idle,,,,,,,,7,9,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_44,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_44,True,,9,think,,7,idle,,5,idle,,,,,,,,9,9,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_45,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_45,False,,9,idle,,7,idle,,5,idle,,,,,,,,black,black,1.0,,,,,,,,,,
d_ex_seayouagain_07_46,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_46,False,,9,idle,,7,idle,,5,idle,,,,,,,,1,1,1.0,,,,,,,black,,,
d_ex_seayouagain_07_47,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_47,False,,9,idle,,7,idle,,5,idle,,,,,,,,1,1,1.0,,,,,,Low_2,,,,
d_ex_seayouagain_07_48,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_48,True,,9,idle,,7,angry,,5,idle,,,,,,,,7,XS_70,0.3,,anis_s,,,,Low_2,,,,
d_ex_seayouagain_07_49,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_49,False,,9,idle,,7,idle,,5,idle,,,,,,,,black,black,1.0,,,,,,,,,,
d_ex_seayouagain_07_50,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_50,True,,9,delight,,7,idle,,5,idle,,,,,,,,9,9,1.0,,rapi_s,,,,Low_2,,,,
d_ex_seayouagain_07_51,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_51,True,,9,idle,,7,idle,,5,shy,,,,,,,,5,XS_50,0.5,,neon_s,,,,Low_2,,,,
d_ex_seayouagain_07_52,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_52,True,,9,idle,,7,idle,,5,shy,,,,,,,,XS_50,XS_50,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_53,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_53,True,,9,idle,,7,angry,,5,idle,,,,,,,,1,1,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_54,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_54,False,,9,idle,,7,angry,,5,idle,,,,,,,,1,1,1.0,,,,,,,,,,
d_ex_seayouagain_07_55,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_55,True,,9,idle,,7,idle,,5,surprise,,,,,,,,6,6,1.0,,neon_s,,sfx_scn_emptywind,,,black,,,
d_ex_seayouagain_07_56,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_56,True,,9,idle,,7,idle,,5,surprise,,,,,,,,6,6,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_57,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_57,True,,9,idle,,7,no,,5,surprise,,,,,,,,6,6,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_58,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_58,True,,9,idle,,7,no,,5,worry,,,,,,,,1,1,1.0,,neon_s,,sfx_scn_emptywind,,,black,,,
d_ex_seayouagain_07_59,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_59,False,,9,idle,,7,idle,,5,worry,,,,,,,,1,15,0.3,,,,sfx_scn_nikkelanding,,Low_1,,,,
d_ex_seayouagain_07_60,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_60,True,,9,idle,,7,angry,,5,idle,,,,,,,,7,XS_70,0.3,,anis_s,,,,,,,,
d_ex_seayouagain_07_61,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_61,True,,9,worry,,7,angry,,5,idle,,,,,,,,XS_70,8,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_62,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_62,True,,9,worry,,7,worry,,5,idle,,,,,,,,8,8,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_63,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_63,True,,9,idle,,7,angry,,5,worry,,,,,,,,6,6,1.0,,anis_s,,sfx_scn_emptywind,,,black,,,
d_ex_seayouagain_07_64,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_64,True,,9,idle,,7,angry,,5,worry,,,,,,,,6,6,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_65,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_65,True,,9,idle,,7,angry,,5,worry,,,,,,,,6,6,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_66,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_66,True,,9,idle,,7,angry,,5,worry,,,,,,,,6,8,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_67,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_67,True,,9,idle,,7,void,,5,no,,,,,,,,8,7,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_68,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_68,True,,9,idle,,7,void,,5,no,,,,,,,,7,5,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_69,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_69,False,,9,think,,7,no,,5,no,,,,,,,,7,XS_70,0.7,,anis_s,,,,,,,,
d_ex_seayouagain_07_70,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_70,False,,9,think,,7,no,,5,no,,,,,,,,5,XS_50,0.7,,neon_s,,,,,,,,
d_ex_seayouagain_07_71,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_71,False,,9,think,,7,no,,5,no,,,,,,,,9,90,0.7,,rapi_s,,,,,,,,
d_ex_seayouagain_07_72,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_72,True,,9,idle,,7,idle,,5,idle,,,,,,,,90,8,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_73,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_73,True,,9,idle,,7,idle,,5,idle,,,,,,,,8,8,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_74,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_74,True,,9,idle,,7,idle,,5,idle,,,,,,,,8,6,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_75,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_75,True,,9,idle,,7,idle,,5,idle,,,,,,,,7,XS_70,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_76,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_76,True,,9,idle,,7,idle,,5,idle,,,,,,,,5,XS_50,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_77,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_77,True,,9,idle,,7,idle,,5,idle,,,,,,,,9,90,0.5,,rapi_s,,,,,,,,
d_ex_seayouagain_07_78,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_78,False,,9,idle,,7,idle,,5,idle,,,,,,,,black,black,1.0,,,,,,,,,,
d_ex_seayouagain_07_79,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_79,True,,9,worry,,7,angry,,5,angry,,,,,,,,XS_70,XS_700,0.5,,anis_s,,,,,,,,
d_ex_seayouagain_07_80,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_80,True,,9,worry,,7,angry,,5,angry,,,,,,,,XS_50,XS_500,0.5,,neon_s,,,,,,,,
d_ex_seayouagain_07_81,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_81,True,,9,worry,,7,angry,,5,angry,,,,,,,,90,90,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_82,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_82,True,,9,idle,,7,angry,,5,angry,,,,,,,,90,900,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_83,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_83,False,,9,idle,,7,idle,,5,idle,,,,,,,,black,black,1.0,,,,,,,,,,
d_ex_seayouagain_07_84,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_84,True,,9,idle,,7,idle,,5,idle,,,,,,,,8,8,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_85,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_85,True,,9,idle,,7,idle,,5,idle,,,,,,,,8,8,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_86,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_86,True,,9,idle,,7,worry,,5,worry,,,,,,,,8,6,1.0,,anis_s,,sfx_scn_emptywind,,,,,,
d_ex_seayouagain_07_87,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_87,True,,9,idle,,7,worry,,5,worry,,,,,,,,6,6,1.0,,neon_s,,sfx_scn_emptywind,,,,frima_s,15,sleep_02
d_ex_seayouagain_07_88,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_88,False,,9,idle,,7,worry,,5,worry,,,,,,,,6,1,0.5,,,,,,,,,15,sleep_02
d_ex_seayouagain_07_89,80600,d_ex_seayouagain_07,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_07_89,True,,9,idle,,7,idle,,5,surprise,,,,,,,,1,15,0.5,,frima_s,,,,,,,15,sleep_02
d_ex_seayouagain_07_90,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_90,False,,9,idle,,7,idle,,5,surprise,,,,,,,,15,15,1.0,,,,,,,,,15,sleep_02
d_ex_seayouagain_07_91,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_91,True,,9,idle,,7,no,,5,surprise,,,,,,,,6,6,1.0,,anis_s,,,,,,,15,sleep_02
d_ex_seayouagain_07_92,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_92,True,,9,idle,,7,no,,5,surprise,,,,,,,,6,6,1.0,,anis_s,,,,,,,15,sleep_02
d_ex_seayouagain_07_93,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_93,True,,9,idle,,7,no,,5,surprise,,,,,,,,6,6,1.0,,anis_s,,,,,,,15,sleep_02
d_ex_seayouagain_07_94,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_94,True,,9,idle,,7,no,,5,surprise,,,,,,,,6,6,1.0,,neon_s,,,,,,,15,sleep_02
d_ex_seayouagain_07_95,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_95,True,,9,idle,,7,no,,5,no,,,,,,,,6,6,1.0,,neon_s,,,,,,,15,sleep_02
d_ex_seayouagain_07_96,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_96,True,,9,idle,,7,no,,5,no,,,,,,,,6,6,1.0,,neon_s,,,,,,,15,sleep_02
d_ex_seayouagain_07_97,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_97,False,,9,idle,,7,no,,5,no,,,,,,,,9,90,0.5,,rapi_s,,,,,,,15,sleep_02
d_ex_seayouagain_07_98,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_98,True,,9,think,,7,no,,5,no,,,,,,,,90,90,1.0,,rapi_s,,,,,,,15,sleep_02
d_ex_seayouagain_07_99,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_99,False,,9,idle,,7,no,,5,no,,,,,,,,150,150,1.0,,,,sfx_scn_emptywind,,,,,15,sleep_02
d_ex_seayouagain_07_100,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_100,False,,9,idle,,7,no,,5,idle,,,,,,,,black,black,1.0,,,,,,,,,15,sleep_02
