id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,highlight,speaker,play_sound
snowfall_speech_noirblanc_10_11,80903,snowfall_speech_noirblanc_10,Narration,Locale_SubScenario:snowfall_speech_noirblanc_10_11,False,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,,sfx_scn_grab
snowfall_speech_noirblanc_10_12,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_12,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c,
snowfall_speech_noirblanc_10_13,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_13,True,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,noir_c,
snowfall_speech_noirblanc_10_14,80903,snowfall_speech_noirblanc_10,Choice,Locale_SubScenario:snowfall_speech_noirblanc_10_14,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_10_16,,noir_c,,
snowfall_speech_noirblanc_10_15,80903,snowfall_speech_noirblanc_10,Choice,Locale_SubScenario:snowfall_speech_noirblanc_10_15,False,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_10_18,,noir_c,,
snowfall_speech_noirblanc_10_16,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_16,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c,
snowfall_speech_noirblanc_10_17,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_17,True,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_10_20,,noir_c,noir_c,
snowfall_speech_noirblanc_10_18,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_18,True,,1,delight,,13,delight,,12,12,1.0,,,,,blanc_c,blanc_c,
snowfall_speech_noirblanc_10_19,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_19,True,,1,idle,,13,idle,,12,12,1.0,,,snowfall_speech_noirblanc_10_20,,noir_c,noir_c,
snowfall_speech_noirblanc_10_20,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_20,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c,
snowfall_speech_noirblanc_10_21,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_21,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c,
snowfall_speech_noirblanc_10_22,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_22,True,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,noir_c,
snowfall_speech_noirblanc_10_23,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_23,True,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,noir_c,
snowfall_speech_noirblanc_10_24,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_24,True,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,noir_c,
snowfall_speech_noirblanc_10_25,80903,snowfall_speech_noirblanc_10,Self,Locale_SubScenario:snowfall_speech_noirblanc_10_25,False,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,,
snowfall_speech_noirblanc_10_26,80903,snowfall_speech_noirblanc_10,Self,Locale_SubScenario:snowfall_speech_noirblanc_10_26,False,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,,
snowfall_speech_noirblanc_10_27,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_27,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c,
snowfall_speech_noirblanc_10_28,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_28,True,,1,idle,,13,idle,,12,12,1.0,,,,,blanc_c,blanc_c,
snowfall_speech_noirblanc_10_29,80903,snowfall_speech_noirblanc_10,Speech,Locale_SubScenario:snowfall_speech_noirblanc_10_29,True,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,noir_c,
snowfall_speech_noirblanc_10_30,80903,snowfall_speech_noirblanc_10,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_10_30,False,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,,
snowfall_speech_noirblanc_10_31,80903,snowfall_speech_noirblanc_10,Self,Locale_SubScenario:snowfall_speech_noirblanc_10_31,False,,1,idle,,13,idle,,12,12,1.0,,,,,noir_c,,
snowfall_speech_noirblanc_10_32,80903,snowfall_speech_noirblanc_10,Narration,Locale_SubScenario:snowfall_speech_noirblanc_10_32,False,,1,idle,,13,idle,,black,black,1.0,,,,,noir_c,,
