id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound
event_ce02_1_03_s_29,40026,event_ce02_1_03_s,Narration,,,Locale_SubScenario:event_ce02_1_03_s_29,False,,1,idle,,3,void,,5,angry,,13,idle,,15,idle,,17,idle,,black,black,1.0,none,,sfx_scn_rapturehowl
event_ce02_1_03_s_30,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_30,False,,1,idle,,3,angry,,5,angry,,13,idle,,15,idle,,17,idle,,3,30,1.0,,,
event_ce02_1_03_s_31,40026,event_ce02_1_03_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_03_s_31,False,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,5,S_50,1.0,,,
event_ce02_1_03_s_32,40026,event_ce02_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_03_s_32,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,1,10,1.0,event_bgm_ce002_field,,
event_ce02_1_03_s_33,40026,event_ce02_1_03_s,Speech,6000d_02,6000d_02,Locale_SubScenario:event_ce02_1_03_s_33,False,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,170,170,1.0,,,
event_ce02_1_03_s_34,40026,event_ce02_1_03_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_03_s_34,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,
event_ce02_1_03_s_35,40026,event_ce02_1_03_s,Speech,b0006_02,b0006_02,Locale_SubScenario:event_ce02_1_03_s_35,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,150,150,1.0,,,
event_ce02_1_03_s_36,40026,event_ce02_1_03_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_03_s_36,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,30,30,1.0,,,
event_ce02_1_03_s_37,40026,event_ce02_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_03_s_37,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,
event_ce02_1_03_s_38,40026,event_ce02_1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_03_s_38,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,10,100,1.0,,,
