id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/6/hide_char_id,characters/7/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_neverland1_03_s_11,40034,event_neverland1_03_s,Monologue,,,Locale_MainScenario:event_neverland1_03_s_11,False,,1,idle,,3,idle,,5,idle,,7,idle,,black,black,1.0,,,9,idle,,13,delight,,15,idle,,,,,,,,,,,
event_neverland1_03_s_12,40034,event_neverland1_03_s,Monologue,,,Locale_MainScenario:event_neverland1_03_s_12,False,,1,idle,,3,idle,,5,idle,,7,idle,,black,black,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_13,40034,event_neverland1_03_s,Speech,delta,delta,Locale_MainScenario:event_neverland1_03_s_13,True,,1,idle,,3,idle,,5,idle,,7,idle,,15,15,1.0,,,9,idle,,13,idle,,15,delight,,,,,,,,,,,
event_neverland1_03_s_14,40034,event_neverland1_03_s,Speech,blanc,blanc,Locale_MainScenario:event_neverland1_03_s_14,True,,1,idle,,3,idle,,5,idle,,7,idle,,2,2,1.0,,,9,idle,,13,idle,,15,delight,,,,,,,,,,,
event_neverland1_03_s_15,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_15,True,,1,idle,,3,idle,,5,idle,,7,idle,,2,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_16,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_16,True,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_17,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_17,True,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_18,40034,event_neverland1_03_s,Self,,,Locale_MainScenario:event_neverland1_03_s_18,False,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_19,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_19,True,,1,idle,,3,idle,,5,idle,,7,idle,,10,1,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_20,40034,event_neverland1_03_s,Speech,blanc,blanc,Locale_MainScenario:event_neverland1_03_s_20,True,,1,idle,,3,idle,,5,idle,,7,idle,,1,2,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_21,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_21,True,,1,smile,,3,idle,,5,idle,,7,idle,,2,2,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_22,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_22,True,,1,smile,,3,idle,,5,idle,,7,idle,,2,2,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_23,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_23,True,,1,smile,,3,idle,,5,idle,,7,idle,,2,2,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_24,40034,event_neverland1_03_s,Speech,blanc,blanc,Locale_MainScenario:event_neverland1_03_s_24,True,,1,smile,,3,delight,,5,idle,,7,idle,,2,2,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_25,40034,event_neverland1_03_s,Speech,emma,emma,Locale_MainScenario:event_neverland1_03_s_25,True,,1,idle,,3,delight,,5,idle,,7,idle,,70,70,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_26,40034,event_neverland1_03_s,Speech,blanc,blanc,Locale_MainScenario:event_neverland1_03_s_26,True,,1,idle,,3,delight,,5,idle,,7,idle,,2,2,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_27,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_27,True,,1,delight,,3,delight,,5,idle,,7,idle,,2,2,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_28,40034,event_neverland1_03_s,Speech,blanc,blanc,Locale_MainScenario:event_neverland1_03_s_28,True,,1,delight,,3,idle,,5,idle,,7,idle,,2,2,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_29,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_29,True,,1,smile,,3,idle,,5,idle,,7,idle,,2,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_30,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_30,True,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_31,40034,event_neverland1_03_s,Self,,,Locale_MainScenario:event_neverland1_03_s_31,False,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_32,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_32,True,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_33,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_33,True,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_34,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_34,True,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_35,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_35,True,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_36,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_36,True,,1,idle,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_37,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_37,True,,1,idle,,3,idle,,5,idle,,7,idle,,10,1,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_38,40034,event_neverland1_03_s,Self,,,Locale_MainScenario:event_neverland1_03_s_38,False,,1,idle,,3,idle,,5,idle,,7,idle,,1,1,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_39,40034,event_neverland1_03_s,Speech,blanc,blanc,Locale_MainScenario:event_neverland1_03_s_39,True,,1,idle,,3,idle,,5,idle,,7,idle,,4,4,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_40,40034,event_neverland1_03_s,Speech,noir,noir,Locale_MainScenario:event_neverland1_03_s_40,True,,1,idle,,3,idle,,5,surprise,,7,idle,,4,4,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_41,40034,event_neverland1_03_s,Speech,noir,noir,Locale_MainScenario:event_neverland1_03_s_41,True,,1,idle,,3,idle,,5,surprise,,7,idle,,4,4,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_42,40034,event_neverland1_03_s,Speech,blanc,blanc,Locale_MainScenario:event_neverland1_03_s_42,True,,1,idle,,3,idle,,5,surprise,,7,idle,,4,4,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_43,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_43,True,,1,think,,3,idle,,5,surprise,,7,idle,,1,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_44,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_44,True,,1,think,,3,idle,,5,surprise,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_45,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_45,True,,1,think,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_46,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_46,True,,1,think,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_47,40034,event_neverland1_03_s,Speech,signal,signal,Locale_MainScenario:event_neverland1_03_s_47,True,,1,think,,3,idle,,5,idle,,7,idle,,14,14,1.0,,,9,idle,,13,idle,,15,idle,,,,,,,,,,,
event_neverland1_03_s_48,40034,event_neverland1_03_s,Speech,signal,signal,Locale_MainScenario:event_neverland1_03_s_48,True,,1,idle,,3,idle,,5,idle,,7,idle,,14,14,1.0,,,9,idle,,13,idle,,15,idle,eunhwa,19,angry,,,,,,,,
event_neverland1_03_s_49,40034,event_neverland1_03_s,Speech,delta,delta,Locale_MainScenario:event_neverland1_03_s_49,True,,1,idle,,3,idle,,5,idle,,7,idle,,14,14,1.0,,,9,idle,,13,idle,,15,idle,,19,angry,,,,,,,,
event_neverland1_03_s_50,40034,event_neverland1_03_s,Speech,eunhwa,eunhwa,Locale_MainScenario:event_neverland1_03_s_50,True,,1,idle,,3,idle,,5,idle,,7,idle,,19,19,1.0,,,9,idle,,13,idle,,15,idle,,19,angry,,,,,,,,
event_neverland1_03_s_51,40034,event_neverland1_03_s,Speech,emma,emma,Locale_MainScenario:event_neverland1_03_s_51,True,,1,idle,,3,idle,,5,idle,,7,delight,,8,8,1.0,,,9,idle,,13,idle,,15,idle,,19,angry,,,,,,,,
event_neverland1_03_s_52,40034,event_neverland1_03_s,Speech,emma,emma,Locale_MainScenario:event_neverland1_03_s_52,True,,1,idle,,3,idle,,5,idle,,7,delight,,8,8,1.0,,,9,idle,,13,idle,,15,idle,,19,angry,delta,,,,,,,
event_neverland1_03_s_53,40034,event_neverland1_03_s,Speech,vesti,vesti,Locale_MainScenario:event_neverland1_03_s_53,True,,1,idle,,3,idle,,5,idle,,7,delight,,8,8,1.0,,,9,idle,,13,idle,,,,,19,angry,,eunhwa,,,,,,
event_neverland1_03_s_54,40034,event_neverland1_03_s,Speech,vesti,vesti,Locale_MainScenario:event_neverland1_03_s_54,True,,1,idle,,3,idle,,5,idle,,7,delight,,8,8,1.0,,,9,idle,,13,idle,,,,,,,,,,,,,,
event_neverland1_03_s_55,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_55,True,,1,surprise,,3,idle,,5,idle,,7,delight,,10,10,1.0,,,9,idle,,13,idle,,,,,,,,,,,,,,
event_neverland1_03_s_56,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_56,True,,1,think,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,mica,15,idle,belorta,17,idle,,,,,,,,
event_neverland1_03_s_57,40034,event_neverland1_03_s,Speech,mica,mica,Locale_MainScenario:event_neverland1_03_s_57,False,,1,think,,3,idle,,5,idle,,7,idle,,16,16,1.0,,,9,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_neverland1_03_s_58,40034,event_neverland1_03_s,Speech,mica,mica,Locale_MainScenario:event_neverland1_03_s_58,True,,1,think,,3,idle,,5,idle,,7,idle,,16,16,1.0,,,9,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_neverland1_03_s_59,40034,event_neverland1_03_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland1_03_s_59,True,,1,think,,3,idle,,5,idle,,7,idle,,16,16,1.0,,,9,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_neverland1_03_s_60,40034,event_neverland1_03_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland1_03_s_60,True,,1,idle,,3,idle,,5,idle,,7,idle,,16,16,1.0,,,9,idle,,13,idle,,15,idle,,17,delight,,,,,,,,
event_neverland1_03_s_61,40034,event_neverland1_03_s,Speech,mica,mica,Locale_MainScenario:event_neverland1_03_s_61,True,,1,idle,,3,idle,,5,idle,,7,idle,,16,16,1.0,,,9,idle,,13,idle,,15,worry,,17,delight,,,,,,,,
event_neverland1_03_s_62,40034,event_neverland1_03_s,Speech,mica,mica,Locale_MainScenario:event_neverland1_03_s_62,True,,1,idle,,3,idle,,5,idle,,7,idle,,16,16,1.0,,,9,idle,,13,idle,,15,idle,,17,delight,,,,,,,,
event_neverland1_03_s_63,40034,event_neverland1_03_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland1_03_s_63,True,,1,idle,,3,idle,,5,idle,,7,idle,,16,16,1.0,,,9,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_neverland1_03_s_64,40034,event_neverland1_03_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland1_03_s_64,True,,1,idle,,3,idle,,5,idle,,7,idle,,16,16,1.0,,,9,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_neverland1_03_s_65,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_65,True,,1,idle,,3,idle,,5,idle,,7,idle,,10,1,1.0,,,9,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_neverland1_03_s_66,40034,event_neverland1_03_s,Speech,blanc,blanc,Locale_MainScenario:event_neverland1_03_s_66,True,,1,idle,,3,idle,,5,surprise,,7,idle,,4,4,1.0,,,9,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_neverland1_03_s_67,40034,event_neverland1_03_s,Speech,noir,noir,Locale_MainScenario:event_neverland1_03_s_67,True,,1,idle,,3,idle,,5,surprise,,7,idle,,4,4,1.0,,,9,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_neverland1_03_s_68,40034,event_neverland1_03_s,Speech,mica,mica,Locale_MainScenario:event_neverland1_03_s_68,True,,1,idle,,3,idle,,5,surprise,,7,idle,,15,15,1.0,,,9,idle,,13,idle,,15,idle,,17,idle,,,,,,,,
event_neverland1_03_s_69,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_69,True,,1,smile,,3,idle,,5,surprise,,7,idle,,1,10,1.0,,,9,idle,,13,idle,,15,idle,,17,idle,mica,,,,,,,
event_neverland1_03_s_70,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_70,True,,1,smile,,3,idle,,5,idle,,7,idle,,10,10,1.0,,,9,idle,,13,idle,,,,,17,idle,,,,,,,,
event_neverland1_03_s_71,40034,event_neverland1_03_s,Narration,,,Locale_MainScenario:event_neverland1_03_s_71,False,,1,smile,,3,idle,,5,idle,,7,idle,HotSpringInnIn_d,black,black,1.0,none,,9,idle,,13,idle,,,,,17,idle,,,blanc,noir,,,,
event_neverland1_03_s_72,40034,event_neverland1_03_s,Speech,emma,emma,Locale_MainScenario:event_neverland1_03_s_72,True,,1,idle,,,,,,,,7,idle,,8,8,1.0,event_bgm_neverland_hugme_sunset,,9,delight,,13,idle,,,,,17,idle,,,,,,,,
event_neverland1_03_s_73,40034,event_neverland1_03_s,Speech,vesti,vesti,Locale_MainScenario:event_neverland1_03_s_73,True,,1,idle,,,,,,,,7,idle,,8,8,1.0,,,9,delight,,13,delight,,,,,17,idle,,,,,,,,
event_neverland1_03_s_74,40034,event_neverland1_03_s,Speech,signal,signal,Locale_MainScenario:event_neverland1_03_s_74,True,,1,idle,,,,,,,,7,idle,,13,13,1.0,,,9,delight,,13,delight,,,,,17,idle,,,,,,,,
event_neverland1_03_s_75,40034,event_neverland1_03_s,Narration,,,Locale_MainScenario:event_neverland1_03_s_75,False,,1,idle,,,,,,,,7,idle,,13,4,1.0,,,9,delight,,13,delight,,,,,17,idle,,,,,sfx_scn_slidingdoor,,,
event_neverland1_03_s_76,40034,event_neverland1_03_s,Speech,blanc_c,blanc_c,Locale_MainScenario:event_neverland1_03_s_76,True,,1,idle,blanc_c,3,delight,noir_c,5,surprise,,7,idle,,4,4,1.0,,,9,idle,,13,delight,mica_w,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_77,40034,event_neverland1_03_s,Speech,noir_c,noir_c,Locale_MainScenario:event_neverland1_03_s_77,True,,1,idle,,3,delight,,5,surprise,,7,idle,,4,4,1.0,,,9,idle,,13,idle,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_78,40034,event_neverland1_03_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_03_s_78,True,,1,idle,,3,delight,,5,surprise,,7,idle,,19,19,1.0,,,9,idle,,13,idle,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_79,40034,event_neverland1_03_s,Monologue,,,Locale_MainScenario:event_neverland1_03_s_79,False,,1,idle,,3,idle,,5,surprise,,7,idle,,19,19,1.0,,,9,idle,,13,idle,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_80,40034,event_neverland1_03_s,Speech,emma,emma,Locale_MainScenario:event_neverland1_03_s_80,True,,1,idle,,3,idle,,5,idle,,7,delight,,70,70,1.0,,,9,idle,,13,delight,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_81,40034,event_neverland1_03_s,Speech,signal,signal,Locale_MainScenario:event_neverland1_03_s_81,True,,1,idle,,3,idle,,5,idle,,7,delight,,XS_130,XS_130,1.0,,,9,idle,,13,delight,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_82,40034,event_neverland1_03_s,Speech,vesti,vesti,Locale_MainScenario:event_neverland1_03_s_82,True,,1,idle,,3,idle,,5,idle,,7,delight,,XS_90,XS_90,1.0,,,9,shy,,13,delight,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_83,40034,event_neverland1_03_s,Speech,blanc_c,blanc_c,Locale_MainScenario:event_neverland1_03_s_83,True,,1,idle,,3,delight,,5,surprise,,7,idle,,4,4,1.0,,,9,shy,,13,idle,,19,surprise,,17,idle,,,,,,emma,vesti,signal
event_neverland1_03_s_84,40034,event_neverland1_03_s,Speech,noir_c,noir_c,Locale_MainScenario:event_neverland1_03_s_84,True,,1,idle,,3,delight,,5,surprise,,,,,4,4,1.0,,,,,,,,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_85,40034,event_neverland1_03_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland1_03_s_85,True,,1,idle,,3,delight,,5,surprise,,,,,18,18,1.0,,,,,,,,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_86,40034,event_neverland1_03_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_03_s_86,True,,1,idle,,3,delight,,5,surprise,,,,,18,18,1.0,,,,,,,,,19,sad,,17,idle,,,,,,,,
event_neverland1_03_s_87,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_87,True,,1,delight,,3,idle,,5,idle,,,,,10,10,1.0,,,,,,,,,19,sad,,17,idle,,,,,,,,
event_neverland1_03_s_88,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_88,True,,1,smile,,3,idle,,5,idle,,,,,10,10,1.0,,,,,,,,,19,sad,,17,idle,,,,,,,,
event_neverland1_03_s_89,40034,event_neverland1_03_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_03_s_89,True,,1,smile,,3,idle,,5,idle,,,,,18,18,1.0,,,,,,,,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_90,40034,event_neverland1_03_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland1_03_s_90,True,,1,smile,,3,idle,,5,idle,,,,,18,18,1.0,,,,,,,,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_91,40034,event_neverland1_03_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland1_03_s_91,True,,1,idle,,3,idle,,5,idle,,,,,18,18,1.0,,,,,,,,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_92,40034,event_neverland1_03_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland1_03_s_92,True,,1,idle,,3,idle,,5,idle,,,,,18,18,1.0,,,,,,,,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_93,40034,event_neverland1_03_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_03_s_93,True,,1,idle,,3,idle,,5,idle,,,,,18,18,1.0,,,,,,,,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_94,40034,event_neverland1_03_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_03_s_94,True,,1,idle,,3,idle,,5,idle,,,,,18,18,1.0,,,,,,,,,19,surprise,,17,idle,,,,,,,,
event_neverland1_03_s_95,40034,event_neverland1_03_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland1_03_s_95,True,,1,idle,,3,idle,,5,idle,,,,,18,18,1.0,,,,,,,,,19,surprise,,17,delight,,,,,,,,
event_neverland1_03_s_96,40034,event_neverland1_03_s,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_03_s_96,True,,1,idle,,3,idle,,5,idle,,,,,18,18,1.0,,,,,,,,,19,sad,,17,delight,,,,,,,,
event_neverland1_03_s_97,40034,event_neverland1_03_s,Speech,belorta,belorta,Locale_MainScenario:event_neverland1_03_s_97,True,,1,idle,,3,idle,,5,idle,,,,,18,18,1.0,,,,,,,,,19,sad,,17,idle,,,,,,,,
event_neverland1_03_s_98,40034,event_neverland1_03_s,Self,,,Locale_MainScenario:event_neverland1_03_s_98,False,,1,idle,,3,idle,,5,idle,,,,,10,10,1.0,,,,,,,,,19,sad,,17,idle,,,,,,,,
event_neverland1_03_s_99,40034,event_neverland1_03_s,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_s_99,True,,1,idle,,3,idle,,5,idle,,,,,10,1,1.0,,,,,,,,,19,sad,,17,idle,,,,,,,,
