id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,set_camera_shake
d_nikke_guilty_04_22,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_22,True,,black,black,1.0,,,,guilty,guilty,,1,think,,13,idle,,,,
d_nikke_guilty_04_23,d_nikke_guilty_04,Choice,Locale_NikkeEpisode:d_nikke_guilty_04_23,False,,10,10,1.0,,,,rapi,,,1,think,,13,idle,d_nikke_guilty_04_25,,,
d_nikke_guilty_04_24,d_nikke_guilty_04,Choice,Locale_NikkeEpisode:d_nikke_guilty_04_24,False,,10,10,1.0,,,,rapi,,,1,think,,13,idle,d_nikke_guilty_04_26,,,
d_nikke_guilty_04_25,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_25,True,,10,10,1.0,,,,rapi,rapi,,1,worry,,13,idle,d_nikke_guilty_04_27,,,
d_nikke_guilty_04_26,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_26,True,,10,10,1.0,,,,rapi,rapi,,1,worry,,13,idle,,,,
d_nikke_guilty_04_27,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_27,False,,10,10,1.0,,,,rapi,,,1,worry,,13,idle,,,,
d_nikke_guilty_04_28,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_28,True,,XS_130,XS_130,1.0,,,,mary,mary,,1,idle,,13,idle,,,,
d_nikke_guilty_04_29,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_29,False,,10,10,1.0,,,,mary,,,1,idle,,13,idle,,,,
d_nikke_guilty_04_30,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_30,True,,10,10,1.0,,,,rapi,rapi,,1,worry,,13,idle,,,,
d_nikke_guilty_04_31,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_31,False,,10,10,1.0,,,,rapi,,,1,worry,,13,idle,,,,
d_nikke_guilty_04_32,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_32,True,,10,10,1.0,,,,rapi,rapi,,1,worry,,13,idle,,,,
d_nikke_guilty_04_33,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_33,False,,10,10,1.0,,,,rapi,,,1,worry,,13,idle,,,,
d_nikke_guilty_04_34,d_nikke_guilty_04,Narration,Locale_NikkeEpisode:d_nikke_guilty_04_34,False,Jail,black,black,1.0,,none,,,,guilty,1,idle,,13,idle,,rapi,mary,
d_nikke_guilty_04_35,d_nikke_guilty_04,Choice,Locale_NikkeEpisode:d_nikke_guilty_04_35,False,,1,1,1.0,,,,,,,1,idle,,,,d_nikke_guilty_04_37,,,
d_nikke_guilty_04_36,d_nikke_guilty_04,Choice,Locale_NikkeEpisode:d_nikke_guilty_04_36,False,,1,1,1.0,,,,,,,1,idle,,,,d_nikke_guilty_04_37,,,
d_nikke_guilty_04_37,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_37,True,,1,10,2.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_38,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_38,True,,10,10,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_39,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_39,True,,10,10,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_40,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_40,False,,10,10,1.0,,,,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_41,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_41,True,,10,10,1.0,,bgm_recognition,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_42,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_42,True,,10,10,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_43,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_43,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_44,d_nikke_guilty_04,Choice,Locale_NikkeEpisode:d_nikke_guilty_04_44,False,,10,10,1.0,,,,guilty,,,1,idle,,,,d_nikke_guilty_04_46,,,
d_nikke_guilty_04_45,d_nikke_guilty_04,Choice,Locale_NikkeEpisode:d_nikke_guilty_04_45,False,,10,10,1.0,,,,guilty,,,1,idle,,,,d_nikke_guilty_04_47,,,
d_nikke_guilty_04_46,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_46,True,,10,10,1.0,,,,guilty,guilty,,1,angry,,,,d_nikke_guilty_04_48,,,
d_nikke_guilty_04_47,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_47,True,,10,10,1.0,,,,guilty,guilty,,1,angry,,,,,,,
d_nikke_guilty_04_48,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_48,True,,10,100,2.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_49,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_49,True,,100,100,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_50,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_50,True,,100,100,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_51,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_51,False,,100,100,1.0,,,,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_52,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_52,True,,100,10,0.5,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_53,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_53,False,,black,black,1.0,sfx_scn_remotesignal,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_54,d_nikke_guilty_04,Narration,Locale_NikkeEpisode:d_nikke_guilty_04_54,False,,black,black,1.0,sfx_scn_bookdrop,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_55,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_55,False,,black,black,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_56,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_56,True,,10,10,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_57,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_57,False,,10,10,1.0,,,,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_58,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_58,True,,10,100,2.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_59,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_59,False,,100,100,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_60,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_60,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_61,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_61,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_62,d_nikke_guilty_04,Choice,Locale_NikkeEpisode:d_nikke_guilty_04_62,False,,100,100,1.0,,,,guilty,,,1,idle,,,,d_nikke_guilty_04_64,,,
d_nikke_guilty_04_63,d_nikke_guilty_04,Choice,Locale_NikkeEpisode:d_nikke_guilty_04_63,False,,100,100,1.0,,,,guilty,,,1,idle,,,,d_nikke_guilty_04_65,,,
d_nikke_guilty_04_64,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_64,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,d_nikke_guilty_04_66,,,
d_nikke_guilty_04_65,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_65,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_66,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_66,True,,100,100,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_67,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_67,False,,100,100,1.0,,,,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_68,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_68,True,,100,10,2.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_69,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_69,False,,10,10,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_70,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_70,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_71,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_71,False,,10,10,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_72,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_72,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_73,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_73,True,,10,10,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_74,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_74,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_75,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_75,False,,10,100,2.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_76,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_76,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_77,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_77,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_78,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_78,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_79,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_79,False,,100,100,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_80,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_80,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_81,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_81,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_82,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_82,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_83,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_83,False,,100,100,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_84,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_84,False,,100,100,1.0,sfx_scn_press,,,guilty,,,1,idle,,,,,,,Low_2
d_nikke_guilty_04_85,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_85,False,,100,100,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_86,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_86,True,,100,100,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_87,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_87,False,,100,100,1.0,,,,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_88,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_88,True,,100,100,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_89,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_89,True,,100,100,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_90,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_90,True,,100,100,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_91,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_91,True,,100,100,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_92,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_92,False,,100,100,1.0,,,,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_93,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_93,True,,100,10,2.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_94,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_94,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_95,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_95,True,,10,10,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_96,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_96,False,,10,10,1.0,,,,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_97,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_97,False,,10,10,1.0,,,,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_98,d_nikke_guilty_04,Choice,Locale_NikkeEpisode:d_nikke_guilty_04_98,False,,10,10,1.0,,,,guilty,,,1,surprise,,,,d_nikke_guilty_04_100,,,
d_nikke_guilty_04_99,d_nikke_guilty_04,Choice,Locale_NikkeEpisode:d_nikke_guilty_04_99,False,,10,10,1.0,,,,guilty,,,1,surprise,,,,d_nikke_guilty_04_100,,,
d_nikke_guilty_04_100,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_100,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_101,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_101,True,,10,10,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_102,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_102,False,,10,10,1.0,,,,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_103,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_103,True,,10,10,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_104,d_nikke_guilty_04,Narration,Locale_NikkeEpisode:d_nikke_guilty_04_104,False,,10,100,2.0,sfx_scn_press,,Vignetting,guilty,,,1,surprise,,,,,,,Low_2
d_nikke_guilty_04_105,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_105,False,,100,100,1.0,,,Vignetting,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_106,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_106,False,,100,100,1.0,,,Vignetting,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_107,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_107,True,,100,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_108,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_108,False,,10,10,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_109,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_109,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_110,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_110,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_111,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_111,False,,10,100,0.5,sfx_scn_press,,,guilty,,,1,idle,,,,,,,Low_2
d_nikke_guilty_04_112,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_112,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_113,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_113,False,,100,100,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_114,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_114,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_115,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_115,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_116,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_116,False,,100,100,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_117,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_117,True,,100,100,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_118,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_118,True,,100,100,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_119,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_119,True,,100,100,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_120,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_120,True,,100,10,2.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_121,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_121,False,,10,10,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_122,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_122,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_123,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_123,False,,10,10,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_124,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_124,True,,10,10,1.0,,,,guilty,guilty,,1,angry,,,,,,,
d_nikke_guilty_04_125,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_125,True,,10,10,1.0,,,,guilty,guilty,,1,angry,,,,,,,
d_nikke_guilty_04_126,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_126,False,,10,10,1.0,,,,guilty,,,1,angry,,,,,,,
d_nikke_guilty_04_127,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_127,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_128,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_128,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_129,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_129,False,,10,100,2.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_130,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_130,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_131,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_131,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_132,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_132,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_133,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_133,True,,100,100,1.0,,,,guilty,guilty,,1,shy,,,,,,,
d_nikke_guilty_04_134,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_134,True,,100,100,1.0,,,,guilty,guilty,,1,shy,,,,,,,
d_nikke_guilty_04_135,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_135,True,,100,100,1.0,,,,guilty,guilty,,1,shy,,,,,,,
d_nikke_guilty_04_136,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_136,False,,100,100,1.0,,,,guilty,,,1,shy,,,,,,,
d_nikke_guilty_04_137,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_137,True,,100,100,1.0,,,,guilty,guilty,,1,shy,,,,,,,
d_nikke_guilty_04_138,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_138,False,,100,100,1.0,,,,guilty,,,1,shy,,,,,,,
d_nikke_guilty_04_139,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_139,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_140,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_140,True,,100,100,1.0,,,,guilty,guilty,,1,shy,,,,,,,
d_nikke_guilty_04_141,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_141,False,,100,100,1.0,,,,guilty,,,1,shy,,,,,,,
d_nikke_guilty_04_142,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_142,True,,100,100,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_143,d_nikke_guilty_04,Monologue,Locale_NikkeEpisode:d_nikke_guilty_04_143,False,,100,10,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_144,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_144,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_145,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_145,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
