id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_viper_04_17,treasurestory_viper_04,Speech,viper,viper,Locale_NikkeEpisode:treasurestory_viper_04_17,True,,12,idle,,20,20,1.0,,,2,idle
treasurestory_viper_04_18,treasurestory_viper_04,Speech,viper,viper,Locale_NikkeEpisode:treasurestory_viper_04_18,True,,12,idle,,20,20,1.0,,,2,idle
treasurestory_viper_04_19,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_19,True,,12,idle,,20,1,1.0,,,2,idle
treasurestory_viper_04_20,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_20,True,,12,idle,,1,1,1.0,,,2,idle
treasurestory_viper_04_21,treasurestory_viper_04,Speech,viper,viper,Locale_NikkeEpisode:treasurestory_viper_04_21,True,,12,idle,,1,1,1.0,,,2,idle
treasurestory_viper_04_22,treasurestory_viper_04,Speech,viper,viper,Locale_NikkeEpisode:treasurestory_viper_04_22,True,,12,idle,,1,1,1.0,,,2,delight
treasurestory_viper_04_23,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_23,True,,12,angry,,1,XS_120,0.5,,,2,delight
treasurestory_viper_04_24,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_24,True,,12,angry,,XS_120,XS_120,1.0,,,2,delight
treasurestory_viper_04_25,treasurestory_viper_04,Speech,viper,viper,Locale_NikkeEpisode:treasurestory_viper_04_25,True,,12,angry,,XS_120,20,1.0,,,2,angry
treasurestory_viper_04_26,treasurestory_viper_04,Speech,viper,viper,Locale_NikkeEpisode:treasurestory_viper_04_26,True,,12,angry,,20,20,1.0,,,2,angry
treasurestory_viper_04_27,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_27,True,,12,angry,,20,1,1.0,,,2,angry
treasurestory_viper_04_28,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_28,True,,12,idle,,1,1,1.0,,,2,angry
treasurestory_viper_04_29,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_29,True,,12,idle,,1,1,1.0,,,2,angry
treasurestory_viper_04_30,treasurestory_viper_04,Speech,viper,viper,Locale_NikkeEpisode:treasurestory_viper_04_30,True,,12,idle,,1,1,1.0,,,2,idle
treasurestory_viper_04_31,treasurestory_viper_04,Speech,viper,viper,Locale_NikkeEpisode:treasurestory_viper_04_31,True,,12,idle,,1,1,1.0,,,2,idle
treasurestory_viper_04_32,treasurestory_viper_04,Speech,viper,viper,Locale_NikkeEpisode:treasurestory_viper_04_32,True,,12,idle,,1,1,1.0,,,2,idle
treasurestory_viper_04_33,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_33,True,,12,sorrow,,1,XS_120,1.0,,,2,idle
treasurestory_viper_04_34,treasurestory_viper_04,Speech,liter,liter,Locale_NikkeEpisode:treasurestory_viper_04_34,True,,12,idle,,XS_120,XS_1200,1.0,,,2,idle
