id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,fade,jump_target
d_nikke_ludmilla_05_70,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_70,False,,,,,10,10,1.0,,,1,delight,,,
d_nikke_ludmilla_05_71,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_71,True,,,,,10,10,1.0,bgm_story_shapeofhope,,1,delight,,,
d_nikke_ludmilla_05_72,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_72,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_73,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_73,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_74,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_74,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_75,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_75,True,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_76,d_nikke_ludmilla_05,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_76,False,,,,,10,10,1.0,,,1,idle,,,
d_nikke_ludmilla_05_77,d_nikke_ludmilla_05,Narration,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_77,False,,,,,10,100,1.0,,,1,idle,,,
d_nikke_ludmilla_05_78,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_78,True,,,,,100,100,1.0,,,1,idle,,,
d_nikke_ludmilla_05_79,d_nikke_ludmilla_05,Self,ludmilla,,Locale_NikkeEpisode:d_nikke_ludmilla_05_79,False,,,,,100,100,1.0,,,1,idle,,,
d_nikke_ludmilla_05_80,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_80,True,,,,,100,100,1.0,,,1,idle,,,
d_nikke_ludmilla_05_81,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_81,True,,,,,100,100,1.0,,,1,idle,,,
d_nikke_ludmilla_05_82,d_nikke_ludmilla_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_ludmilla_05_82,True,,,,,100,100,1.0,,,1,idle,,,
d_nikke_ludmilla_05_83,d_nikke_ludmilla_05,Narration,,,Locale_NikkeEpisode:d_nikke_ludmilla_05_83,False,,,,,black,black,1.0,,,1,idle,,,
d_nikke_ludmilla_05_84,d_nikke_ludmilla_05,Narration,,,Locale_NikkeEpisode:d_nikke_ludmilla_05_84,False,,,,,black,black,1.0,,,1,idle,,,
d_nikke_ludmilla_05_85,d_nikke_ludmilla_05,Narration,,,Locale_NikkeEpisode:d_nikke_ludmilla_05_85,False,,,,,black,black,1.0,,,1,idle,,,
d_nikke_ludmilla_05_86,d_nikke_ludmilla_05,Narration,,,Locale_NikkeEpisode:d_nikke_ludmilla_05_86,False,,,,,black,black,1.0,,,1,idle,,,
