id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker
d_nikke_ce004_03_02_18,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_18,True,,12,idle,,2,surprise,,1,1,1.0,,none,rei
d_nikke_ce004_03_02_19,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_19,True,,12,idle,,2,surprise,,1,1,1.0,,,ce004_03_s
d_nikke_ce004_03_02_20,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_20,True,,12,idle,,2,idle,,1,XS_20,1.0,,bgm_story_fairytalesend_if,rei
d_nikke_ce004_03_02_21,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_21,True,,12,idle,,2,idle,,XS_20,XS_20,1.0,,,rei
d_nikke_ce004_03_02_22,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_22,True,,12,idle,,2,idle,,XS_20,XS_20,1.0,,,rei
d_nikke_ce004_03_02_23,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_23,True,,12,idle,,2,idle,,XS_20,XS_20,1.0,,,rei
d_nikke_ce004_03_02_24,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_24,True,,12,idle,,2,idle,,XS_20,XS_20,1.0,,,rei
d_nikke_ce004_03_02_25,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_25,True,,12,idle,,2,idle,,XS_20,XS_20,1.0,,,rei
d_nikke_ce004_03_02_26,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_26,True,,12,idle,,2,idle,,XS_20,1,1.0,,,ce004_03_s
d_nikke_ce004_03_02_27,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_27,True,,12,idle,,2,idle,,1,1,1.0,,,ce004_03_s
d_nikke_ce004_03_02_28,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_28,True,,12,delight,,2,idle,,1,1,1.0,,,ce004_03_s
d_nikke_ce004_03_02_29,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_29,True,,12,delight,,2,idle,,1,1,1.0,,,ce004_03_s
d_nikke_ce004_03_02_30,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_30,True,,12,delight,,2,idle,,1,1,1.0,,,rei
d_nikke_ce004_03_02_31,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_31,True,,12,idle,,2,idle,,1,1,1.0,,,ce004_03_s
d_nikke_ce004_03_02_32,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_32,True,,12,idle,,2,surprise,,1,1,1.0,,,rei
d_nikke_ce004_03_02_33,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_33,True,,12,idle,,2,idle,,1,1,1.0,,,rei
d_nikke_ce004_03_02_34,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_34,True,,12,idle,,2,idle,,1,120,1.0,,,ce004_03_s
d_nikke_ce004_03_02_35,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_35,True,,12,idle,,2,idle,,120,120,1.0,,,ce004_03_s
d_nikke_ce004_03_02_36,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_36,True,,12,idle,,2,idle,,120,120,1.0,,,ce004_03_s
d_nikke_ce004_03_02_37,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_37,True,,12,idle,,2,idle,,120,1,1.0,,,rei
d_nikke_ce004_03_02_38,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_38,True,,12,idle,,2,idle,,1,1,1.0,,,rei
d_nikke_ce004_03_02_39,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_39,True,,12,idle,,2,no,,1,XS_20,1.0,,,rei
d_nikke_ce004_03_02_40,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_40,True,,12,idle,,2,no,,XS_20,XS_20,1.0,,,rei
d_nikke_ce004_03_02_41,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_41,True,,12,idle,,2,no,,120,120,1.0,,,ce004_03_s
d_nikke_ce004_03_02_42,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_42,True,,12,idle,,2,delight,,2,XS_20,1.0,,,rei
d_nikke_ce004_03_02_43,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_43,True,,12,surprise,,2,delight,,XS_20,1,1.0,,,ce004_03_s
d_nikke_ce004_03_02_44,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_44,True,,12,surprise,,2,delight,,1,1,1.0,,,ce004_03_s
d_nikke_ce004_03_02_45,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_45,False,,12,surprise,,2,delight,,1,1,1.0,,none,femaleemployee
d_nikke_ce004_03_02_46,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_46,True,,12,surprise,,2,delight,,1,1,1.0,,bgm_story_orangepop,rei
d_nikke_ce004_03_02_47,d_nikke_ce004_03_02,Speech,rei,Locale_NikkeEpisode:d_nikke_ce004_03_02_47,True,,12,surprise,,2,delight,,1,1,1.0,,,rei
d_nikke_ce004_03_02_48,d_nikke_ce004_03_02,Speech,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_02_48,True,,12,idle,,2,delight,,1,1,1.0,,,ce004_03_s
