id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,set_filter_01,speaker,jump_target,conversation_id,set_camera_shake
d_nikke_harran_01_33,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_33,True,,1,rage,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_34,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_34,True,,1,rage,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_35,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_35,True,,1,rage,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_36,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_36,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_37,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_37,True,,1,special,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_38,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_38,True,,1,special,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_39,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_39,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_40,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_40,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_41,d_nikke_harran_01,Narration,Locale_NikkeEpisode:d_nikke_harran_01_41,False,,1,idle,,10,harran_crow_02,1.0,,sfx_scn_crow2,harran,,,,,
d_nikke_harran_01_42,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_42,False,,1,idle,,harran_crow_02,harran_crow_02,1.0,,,harran,,,,,
d_nikke_harran_01_43,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_43,True,,1,idle,,harran_crow_02,10,2.0,,,harran,,harran,,,
d_nikke_harran_01_44,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_44,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_45,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_45,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_46,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_46,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_47,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_47,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_48,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_48,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_49,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_49,True,,1,rage,,10,100,0.5,,,harran,,harran,,,
d_nikke_harran_01_50,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_50,True,,1,rage,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_51,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_51,True,,1,rage,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_52,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_52,True,,1,rage,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_53,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_53,True,,1,rage,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_54,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_54,True,,1,rage,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_55,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_55,True,,1,idle,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_56,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_56,True,,1,idle,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_57,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_57,False,,1,idle,,100,100,1.0,,,harran,,,,,
d_nikke_harran_01_58,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_58,True,,1,idle,,100,1,1.0,,,harran,,harran,,,
d_nikke_harran_01_59,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_59,True,,1,idle,,1,1,1.0,,,harran,,harran,,,
d_nikke_harran_01_60,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_60,True,,1,idle,,1,1,1.0,,,harran,,harran,,,
d_nikke_harran_01_61,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_61,False,,1,idle,,1,1,1.0,,,harran,,,,,
d_nikke_harran_01_62,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_62,True,,1,idle,,1,1,1.0,,,harran,,harran,,,
d_nikke_harran_01_63,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_63,True,,1,idle,,1,1,1.0,,,harran,,harran,,,
d_nikke_harran_01_64,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_64,True,,1,idle,,1,10,2.0,,,harran,,harran,,,
d_nikke_harran_01_65,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_65,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_66,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_66,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_67,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_67,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_68,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_68,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_69,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_69,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_70,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_70,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_71,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_71,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_72,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_72,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_73,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_73,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_74,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_74,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_75,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_75,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_76,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_76,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_77,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_77,True,,1,idle,,10,100,2.0,,,harran,,harran,,,
d_nikke_harran_01_78,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_78,True,,1,idle,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_79,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_79,False,,1,idle,,100,100,1.0,,,harran,,,,,
d_nikke_harran_01_80,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_80,True,,1,idle,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_81,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_81,False,,1,idle,,100,100,1.0,,,harran,,,,,
d_nikke_harran_01_82,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_82,True,,1,idle,,100,10,0.5,,,harran,,harran,,,
d_nikke_harran_01_83,d_nikke_harran_01,Monologue,Locale_NikkeEpisode:d_nikke_harran_01_83,False,,1,idle,,10,10,1.0,,,harran,,,,m_nikke_harran_01,
d_nikke_harran_01_84,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_84,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_85,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_85,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_86,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_86,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_87,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_87,False,,1,idle,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_88,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_88,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_89,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_89,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_90,d_nikke_harran_01,Monologue,Locale_NikkeEpisode:d_nikke_harran_01_90,False,,1,idle,,10,90,2.0,,,harran,,,,,
d_nikke_harran_01_91,d_nikke_harran_01,Narration,Locale_NikkeEpisode:d_nikke_harran_01_91,False,,1,idle,,90,L_90,1.0,,sfx_scn_tyrantnormal,harran,,,,,Low_2
d_nikke_harran_01_92,d_nikke_harran_01,Monologue,Locale_NikkeEpisode:d_nikke_harran_01_92,False,,1,idle,,L_90,L_90,2.0,,,harran,,,,,
d_nikke_harran_01_93,d_nikke_harran_01,Narration,Locale_NikkeEpisode:d_nikke_harran_01_93,False,,1,idle,,L_90,XS_90,2.0,,sfx_scn_rapturerun,harran,,,,,Low_2
d_nikke_harran_01_94,d_nikke_harran_01,Monologue,Locale_NikkeEpisode:d_nikke_harran_01_94,False,,1,idle,,XS_90,XS_90,1.0,,,harran,,,,,
d_nikke_harran_01_95,d_nikke_harran_01,Monologue,Locale_NikkeEpisode:d_nikke_harran_01_95,False,,1,idle,,XS_90,XS_90,1.0,,,harran,,,,,
d_nikke_harran_01_96,d_nikke_harran_01,Monologue,Locale_NikkeEpisode:d_nikke_harran_01_96,False,,1,idle,,black,black,2.0,,,harran,,,,,
d_nikke_harran_01_97,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_97,False,,1,idle,,90,90,1.0,,,harran,,,,,
d_nikke_harran_01_98,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_98,True,,1,rage,,90,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_99,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_99,True,,1,rage,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_100,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_100,True,,1,rage,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_101,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_101,False,,1,rage,,10,10,1.0,,,harran,,,,,
d_nikke_harran_01_102,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_102,True,,1,idle,,10,10,1.0,,,harran,,harran,,,
d_nikke_harran_01_103,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_103,True,,1,idle,,10,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_104,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_104,True,,1,idle,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_105,d_nikke_harran_01,Choice,Locale_NikkeEpisode:d_nikke_harran_01_105,False,,1,idle,,100,100,1.0,,,harran,,,d_nikke_harran_01_109,,
d_nikke_harran_01_106,d_nikke_harran_01,Choice,Locale_NikkeEpisode:d_nikke_harran_01_106,False,,1,idle,,100,100,1.0,,,harran,,,d_nikke_harran_01_107,,
d_nikke_harran_01_107,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_107,True,,1,idle,,100,100,1.0,,,harran,,harran,,,
d_nikke_harran_01_108,d_nikke_harran_01,Self,Locale_NikkeEpisode:d_nikke_harran_01_108,False,,1,idle,,100,100,1.0,,,harran,,,,,
d_nikke_harran_01_109,d_nikke_harran_01,Speech,Locale_NikkeEpisode:d_nikke_harran_01_109,True,,1,idle,,100,10,1.0,,,harran,,harran,,,
