id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_n102_01_77,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_77,True,,1,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_78,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_78,False,,XS_10,9,1.0,,,,,,1,delight,
d_nikke_n102_01_79,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_79,False,,9,9,1.0,,,,,,1,delight,
d_nikke_n102_01_80,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_80,False,,9,9,1.0,,,,,,1,delight,
d_nikke_n102_01_81,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_81,False,,9,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_82,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_82,False,,XS_10,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_01_83,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_83,True,,black,black,1.0,,,,,,1,delight,
d_nikke_n102_01_84,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_84,True,,black,black,1.0,,,,,,1,delight,n102
d_nikke_n102_01_85,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_85,True,,black,black,1.0,,,,,,,,
d_nikke_n102_01_86,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_86,True,,black,black,1.0,,,,,,,,
d_nikke_n102_01_87,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_87,True,,black,black,1.0,,,,,,,,
d_nikke_n102_01_88,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_88,True,,1,1,1.0,,,,sfx_scn_fanfare,n102,1,delight,
d_nikke_n102_01_89,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_89,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_90,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_90,False,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_91,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_91,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_92,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_92,False,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_93,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_93,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_94,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_94,False,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_95,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_95,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_96,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_96,True,City,XS_10,XS_10,1.0,,black,,,,1,delight,
d_nikke_n102_01_97,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_97,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_98,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_98,False,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_99,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_99,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_100,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_100,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_101,d_nikke_n102_01,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_01_101,False,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_102,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_102,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_103,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_103,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_01_104,d_nikke_n102_01,Narration,n102,Narration,Locale_NikkeEpisode:d_nikke_n102_01_104,False,,XS_10,XS_10,1.0,,,,sfx_scn_smallalarm,,1,delight,
d_nikke_n102_01_105,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_105,False,,XS_10,1,1.0,,,,,,1,delight,
d_nikke_n102_01_106,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_106,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_107,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_107,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_108,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_108,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_109,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_109,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_110,d_nikke_n102_01,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_01_110,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_01_111,d_nikke_n102_01,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_01_111,False,,1,1,1.0,,,,,,1,delight,n102
