id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_ce006_03_01_14,d_nikke_ce006_03_01,Speech,ce006_npc_01,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_01_14,True,,12,12,1.0,,,,,,7,idle,,,1,surprise,,13,no
d_nikke_ce006_03_01_15,d_nikke_ce006_03_01,Speech,ce006_npc_01,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_01_15,True,,12,12,1.0,,,,,,7,idle,,,1,surprise,,13,no
d_nikke_ce006_03_01_16,d_nikke_ce006_03_01,Speech,ce006_npc_01,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_01_16,True,,12,12,1.0,,,,,,7,idle,,,1,surprise,,13,no
d_nikke_ce006_03_01_17,d_nikke_ce006_03_01,Narration,elegg,,Locale_NikkeEpisode:d_nikke_ce006_03_01_17,False,,S_70,S_70,1.0,,sfx_scn_heavymetaldrop,Low_2,,,7,surprise,elegg,,1,surprise,,13,no
d_nikke_ce006_03_01_18,d_nikke_ce006_03_01,Narration,elegg,,Locale_NikkeEpisode:d_nikke_ce006_03_01_18,False,,black,black,1.0,,sfx_scn_bodyfall_down,,,,,,,,3,idle,,1,no
d_nikke_ce006_03_01_19,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_19,True,,black,black,1.0,,,,,elegg,13,delight,,,3,idle,,1,no
d_nikke_ce006_03_01_20,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_20,True,,S_130,S_130,1.0,none,,,black,,13,delight,,,3,idle,,1,no
d_nikke_ce006_03_01_21,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_21,True,,S_130,S_130,1.0,,,,,,13,delight,,,3,idle,,1,no
d_nikke_ce006_03_01_22,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_22,True,,S_130,S_130,1.0,,,,,,13,delight,,,3,idle,,1,no
d_nikke_ce006_03_01_23,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_23,True,,S_130,S_130,1.0,,,,,,13,delight,,,3,idle,,1,no
d_nikke_ce006_03_01_24,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_24,True,,S_130,12,1.3,,,,,,13,delight,,,3,idle,,1,think
d_nikke_ce006_03_01_25,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_25,True,,12,12,1.0,,,,,,13,special,,,3,idle,,1,think
d_nikke_ce006_03_01_26,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_26,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,think
d_nikke_ce006_03_01_27,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_27,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_28,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_28,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_29,d_nikke_ce006_03_01,Speech,ce006_npc_01,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_01_29,True,,30,30,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_30,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_30,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_31,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_31,True,,12,12,1.0,,,,,,13,delight,,,3,idle,,1,no
d_nikke_ce006_03_01_32,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_32,True,,12,S_10,1.3,,,,,,13,delight,,,3,idle,,1,sad
d_nikke_ce006_03_01_33,d_nikke_ce006_03_01,Narration,ce006_03,,Locale_NikkeEpisode:d_nikke_ce006_03_01_33,False,,black,black,1.0,,sfx_scn_drill,,black,,13,idle,,,3,idle,,1,sad
d_nikke_ce006_03_01_34,d_nikke_ce006_03_01,Narration,ce006_03,,Locale_NikkeEpisode:d_nikke_ce006_03_01_34,False,,black,black,1.0,,sfx_scn_tools,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_35,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_35,True,,S_10,S_10,1.0,bgm_chapter32_field_advance,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_36,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_36,True,,S_10,S_10,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_37,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_37,True,,S_10,12,1.3,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_38,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_38,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_39,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_39,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_40,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_40,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_41,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_41,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_42,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_42,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_43,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_43,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_44,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_44,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_45,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_45,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_46,d_nikke_ce006_03_01,Speech,ce006_npc_01,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_01_46,True,,30,30,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_47,d_nikke_ce006_03_01,Speech,ce006_npc_01,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_01_47,True,,30,30,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_48,d_nikke_ce006_03_01,Speech,ce006_npc_01,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_01_48,True,,30,30,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_49,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_49,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_50,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_50,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_51,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_51,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,special
d_nikke_ce006_03_01_52,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_52,False,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_53,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_53,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_54,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_54,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_55,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_55,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_56,d_nikke_ce006_03_01,Speech,elegg,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_01_56,True,,12,12,1.0,,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_57,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_57,True,,12,S_10,1.3,none,,,,,13,idle,,,3,idle,,1,no
d_nikke_ce006_03_01_58,d_nikke_ce006_03_01,Speech,ce006_03,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_01_58,True,,S_10,S_10,1.0,,,,,,13,idle,,,3,idle,,1,no
