id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target
d_nikke_arcana_03_42,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_42,True,,1,shy,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_43,d_nikke_arcana_03,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_43,False,,1,shy,,L_100,L_100,1.0,,,
d_nikke_arcana_03_44,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_44,False,,1,shy,,L_100,L_100,1.0,,,
d_nikke_arcana_03_45,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_45,True,,1,idle,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_46,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_46,False,,1,idle,,L_100,L_100,1.0,,,
d_nikke_arcana_03_47,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_47,False,,1,think,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_48,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_48,False,,1,think,,L_100,L_100,1.0,,,
d_nikke_arcana_03_49,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_49,True,,1,surprise,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_50,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_50,False,,1,surprise,,L_100,L_100,1.0,,,
d_nikke_arcana_03_51,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_51,True,,1,angry,,L_100,L_10,1.0,,arcana,
d_nikke_arcana_03_52,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_52,True,,1,angry,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_53,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_53,False,,1,angry,,L_10,L_10,1.0,,,
d_nikke_arcana_03_54,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_54,True,,1,angry,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_55,d_nikke_arcana_03,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_55,False,,1,idle,,black,black,1.0,,,
d_nikke_arcana_03_56,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_56,True,,1,idle,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_57,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_57,True,,1,idle,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_58,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_58,False,,1,idle,,L_10,L_10,1.0,,,
d_nikke_arcana_03_59,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_59,True,,1,idle,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_60,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_60,False,,1,idle,,L_10,L_10,1.0,,,
d_nikke_arcana_03_61,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_61,True,,1,idle,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_62,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_62,True,,1,idle,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_63,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_63,False,,1,idle,,L_10,L_10,1.0,,,
d_nikke_arcana_03_64,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_64,True,,1,idle,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_65,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_65,True,,1,idle,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_66,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_66,True,,1,idle,,L_10,L_10,1.0,,arcana,
d_nikke_arcana_03_67,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_67,True,,1,surprise,,L_10,L_100,1.3,,arcana,
d_nikke_arcana_03_68,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_68,False,,1,surprise,,L_100,L_100,1.0,,,
d_nikke_arcana_03_69,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_69,True,,1,idle,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_70,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_70,True,,1,delight,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_71,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_71,False,,1,delight,,L_100,L_100,1.0,,,
d_nikke_arcana_03_72,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_72,True,,1,idle,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_73,d_nikke_arcana_03,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_73,False,,1,idle,,L_100,L_100,1.0,,,
d_nikke_arcana_03_74,d_nikke_arcana_03,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_74,False,,1,smile,,L_100,L_100,1.0,,arcana,
d_nikke_arcana_03_75,d_nikke_arcana_03,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_03_75,False,,1,smile,,black,black,1.0,,,
