id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/0/hide_char_id,set_camera_shake,fade,set_filter_01,set_filter_02,conversation_id
d_nikke_poli_05_12,d_nikke_poli_05,Speech,miranda_op,Locale_NikkeEpisode:d_nikke_poli_05_12,True,,XS_10,XS_10,1.0,,,miranda,,1,angry,,OP_leftup,"expression_0,idle",,,,,,,
d_nikke_poli_05_13,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_13,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,OP_leftup,idle,miranda_op,,,,,,
d_nikke_poli_05_14,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_14,False,,XS_10,XS_100,0.5,,,,,1,idle,,,,,,,,,,
d_nikke_poli_05_15,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_15,True,Restaurant,black,black,1.0,,sfx_scn_doorrun,poli,,5,angry,,,,,,,,,,
d_nikke_poli_05_16,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_16,True,,1,1,1.0,bgm_spot_counterattack,,poli,,1,angry,,,,,,,,,,
d_nikke_poli_05_17,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_17,True,,1,1,1.0,,,poli,,1,angry,,,,,,,,,,
d_nikke_poli_05_18,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_18,False,,1,XS_10,0.5,,,unknown,,1,angry,,,,,,,,,,
d_nikke_poli_05_19,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_19,False,,XS_10,XS_10,1.0,,,unknown,,1,angry,,,,,,,,,,
d_nikke_poli_05_20,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_20,True,,XS_10,XS_100,0.5,,,poli,,1,angry,,,,,,,,,,
d_nikke_poli_05_21,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_21,False,,XS_100,1,0.5,,sfx_scn_heavytrip,,,1,angry,,,,,poli,Low_2,,,,
d_nikke_poli_05_22,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_22,False,,1,1,1.0,,,unknown,,1,angry,,,,,,Low_2,,,,
d_nikke_poli_05_23,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_23,False,,1,XS_10,0.5,,sfx_scn_aim,,,,,,,,,,,,,,
d_nikke_poli_05_24,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_24,True,,XS_10,XS_10,1.0,,,poli,poli,1,angry,,,,,,,,,,
d_nikke_poli_05_25,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_25,True,,XS_10,XS_10,1.0,,,poli,,1,angry,,,,,,,,,,
d_nikke_poli_05_26,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_26,True,,XS_10,XS_10,1.0,,,poli,,1,angry,,,,,,,,,,
d_nikke_poli_05_27,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_27,True,,XS_10,XS_100,0.5,,sfx_scn_handcuffs,poli,,1,angry,,,,,,,,,,
d_nikke_poli_05_28,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_28,True,Office,L_30,L_30,1.0,bgm_inark,,ingrid,,1,angry,ingrid,3,idle,,poli,,black,,,
d_nikke_poli_05_29,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_29,True,,L_30,2,2.0,,,ingrid,poli,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_30,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_30,True,,2,2,1.0,,,poli,,1,surprise,,3,idle,,,,,,,
d_nikke_poli_05_31,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_31,True,,2,XS_10,1.0,,,poli,,1,angry,,3,idle,,,,,,,
d_nikke_poli_05_32,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_32,False,,XS_10,XS_10,2.0,,,,,1,angry,,3,idle,,,,,,,
d_nikke_poli_05_33,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_33,True,,L_30,L_30,1.0,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_34,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_34,True,,L_30,L_30,1.0,,,ingrid,,1,idle,,3,good,,,,,,,
d_nikke_poli_05_35,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_35,False,,L_30,XS_10,2.0,,,poli,,1,idle,,3,good,,,,,,,
d_nikke_poli_05_36,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_36,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,3,good,,,,,,,
d_nikke_poli_05_37,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_37,True,,L_30,L_30,1.0,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_38,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_38,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_39,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_39,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_40,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_40,False,,XS_10,2,1.0,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_41,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_41,True,,2,2,1.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_42,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_42,True,,2,2,1.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_43,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_43,True,,2,2,1.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_44,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_44,True,,2,2,1.0,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_45,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_45,True,,2,XS_10,2.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_46,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_46,True,,L_30,L_30,1.0,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_47,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_47,True,,L_30,L_30,1.0,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_48,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_48,True,,L_30,L_300,0.5,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_49,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_49,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_50,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_50,True,,XS_10,XS_10,1.0,,,poli,,1,angry,,3,idle,,,,,,,
d_nikke_poli_05_51,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_51,True,,XS_10,XS_10,1.0,,,poli,,1,angry,,3,idle,,,,,,,
d_nikke_poli_05_52,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_52,True,,XS_10,XS_10,1.0,,,poli,,1,angry,,3,idle,,,,,,,
d_nikke_poli_05_53,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_53,True,,XS_10,XS_10,0.5,,,poli,,1,angry,,3,idle,,,,,,,
d_nikke_poli_05_54,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_54,True,,XS_10,L_30,2.0,,,ingrid,,1,angry,,3,idle,,,,,,,
d_nikke_poli_05_55,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_55,True,,L_30,L_30,1.0,,,ingrid,,1,angry,,3,think,,,,,,,
d_nikke_poli_05_56,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_56,True,,L_30,L_30,1.0,,,ingrid,,1,angry,,3,think,,,,,,,
d_nikke_poli_05_57,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_57,True,,L_30,L_300,2.0,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_58,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_58,True,OutpostOut,3,L_30,0.5,,,ingrid,,1,idle,,3,angry,,,,black,Grey,Blur_Low,
d_nikke_poli_05_59,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_59,True,,L_30,XS_10,2.0,,,poli,,1,sad,,3,angry,,,,,Grey,Blur_Low,
d_nikke_poli_05_60,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_60,True,,XS_10,XS_10,1.0,,,poli,,1,sad,,3,angry,,,,,Grey,Blur_Low,
d_nikke_poli_05_61,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_61,True,,XS_10,XS_100,2.0,,,poli,,1,sad,,3,angry,,,,,Grey,Blur_Low,
d_nikke_poli_05_62,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_62,True,,L_30,L_300,0.5,,,ingrid,,1,sad,,3,angry,,,,,Grey,Blur_Low,
d_nikke_poli_05_63,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_63,True,,XS_100,XS_100,1.0,,,poli,,1,sad,,3,angry,,,,,Grey,Blur_Low,
d_nikke_poli_05_64,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_64,True,,XS_100,XS_10,2.0,,,poli,,1,sad,,3,angry,,,,,Grey,Blur_Low,
d_nikke_poli_05_65,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_65,False,,L_300,L_30,2.0,,,ingrid,,1,sad,,3,think,,,,,Grey,Blur_Low,
d_nikke_poli_05_66,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_66,True,,L_30,L_30,1.0,,,ingrid,,1,sad,,3,idle,,,,,Grey,Blur_Low,
d_nikke_poli_05_67,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_67,True,,L_30,L_30,1.0,,,ingrid,,1,sad,,3,idle,,poli,,,Grey,Blur_Low,
d_nikke_poli_05_68,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_68,True,,L_30,L_300,2.0,,,ingrid,,1,sad,,3,idle,,,,,Grey,Blur_Low,
d_nikke_poli_05_69,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_69,False,Office,XS_10,XS_10,0.5,,,poli,poli,1,surprise,,3,idle,,,,black,,,
d_nikke_poli_05_70,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_70,True,,XS_10,XS_10,1.0,,,poli,,1,surprise,,3,idle,,,,,,,
d_nikke_poli_05_71,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_71,False,,XS_10,XS_100,2.0,,,poli,,1,surprise,,3,idle,,,,,,,
d_nikke_poli_05_72,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_72,True,,XS_100,XS_100,1.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_73,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_73,True,,XS_100,XS_100,1.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_74,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_74,True,,L_30,L_30,1.0,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_75,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_75,True,,L_30,L_30,1.0,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_76,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_76,True,,L_30,L_30,1.0,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_77,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_77,True,,L_30,2,1.0,,,poli,,1,sad,,3,idle,,,,,,,
d_nikke_poli_05_78,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_78,True,,2,2,1.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_79,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_79,True,,2,XS_10,0.5,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_80,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_80,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_81,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_81,False,,L_30,L_300,0.5,,,ingrid,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_82,d_nikke_poli_05,Narration,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_82,False,,XS_10,XS_100,0.5,,,,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_83,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_83,True,,XS_100,XS_100,1.0,,,poli,,1,idle,,3,idle,,,,,,,
d_nikke_poli_05_84,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_84,False,,XS_100,L_300,1.0,,,,,1,idle,,3,good,,,,,,,
d_nikke_poli_05_85,d_nikke_poli_05,Speech,ingrid,Locale_NikkeEpisode:d_nikke_poli_05_85,True,,L_300,L_300,1.0,,,ingrid,,1,idle,,3,good,,poli,,,,,
d_nikke_poli_05_86,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_86,True,CommanderRoom,XS_10,XS_10,1.0,bgm_story_breakaway,,poli,poli,1,delight,,3,good,ingrid,,,black,,,
d_nikke_poli_05_87,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_87,True,,XS_10,XS_10,1.0,,,poli,,1,delight,,,,,,,,,,
d_nikke_poli_05_88,d_nikke_poli_05,Self,poli,Locale_NikkeEpisode:d_nikke_poli_05_88,False,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,,,,
d_nikke_poli_05_89,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_89,False,,XS_10,XS_100,2.0,,,,,1,idle,,,,,,,,,,
d_nikke_poli_05_90,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_90,True,,XS_100,XS_100,1.0,,,poli,,1,idle,,,,,,,,,,
d_nikke_poli_05_91,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_91,False,,XS_100,XS_100,1.0,,,poli,,1,"expression_0,idle",,,,,,,,,,
d_nikke_poli_05_92,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_92,False,,XS_100,XS_10,2.0,,,poli,,1,idle,,,,,,,,,,
d_nikke_poli_05_93,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_93,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,,,,,,,,,
d_nikke_poli_05_94,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_94,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,,,,,,,,,
d_nikke_poli_05_95,d_nikke_poli_05,Self,poli,Locale_NikkeEpisode:d_nikke_poli_05_95,False,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,
d_nikke_poli_05_96,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_96,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,,,,,,,,,
d_nikke_poli_05_97,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_97,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,,,,,,,,,
d_nikke_poli_05_98,d_nikke_poli_05,Self,poli,Locale_NikkeEpisode:d_nikke_poli_05_98,False,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,
d_nikke_poli_05_99,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_99,True,,XS_10,XS_100,2.0,,,poli,,1,surprise,,,,,,,,,,
d_nikke_poli_05_100,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_100,False,,XS_100,XS_100,1.0,,,,,1,surprise,,,,,,,,,,
d_nikke_poli_05_101,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_101,False,,XS_100,XS_10,0.5,,,poli,,1,surprise,,,,,,,,,,
d_nikke_poli_05_102,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_102,True,,XS_10,XS_10,1.0,,,poli,,1,angry,,,,,,,,,,
d_nikke_poli_05_103,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_103,True,,XS_10,XS_10,1.0,,,poli,,1,angry,,,,,,,,,,
d_nikke_poli_05_104,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_104,False,,XS_10,XS_100,1.0,,,,,1,angry,,,,,,,,,,
d_nikke_poli_05_105,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_105,True,,XS_100,XS_100,1.0,,,poli,,1,sad,,,,,,,,,,
d_nikke_poli_05_106,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_106,True,,XS_100,XS_100,1.0,,,poli,,1,sad,,,,,,,,,,
d_nikke_poli_05_107,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_107,False,,XS_100,XS_100,1.0,,,,,1,sad,,,,,,,,,,
d_nikke_poli_05_108,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_108,True,,XS_100,XS_10,2.0,,,poli,,1,sad,,,,,,,,,,
d_nikke_poli_05_109,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_109,True,,XS_10,XS_10,1.0,,,poli,,1,sad,,,,,,,,,,
d_nikke_poli_05_110,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_110,False,,black,black,0.5,,,,,1,sad,,,,,poli,,,,,
d_nikke_poli_05_111,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_111,True,,XS_100,XS_100,1.0,,,poli,poli,1,idle,,,,,,,,,,
d_nikke_poli_05_112,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_112,True,,XS_100,XS_100,1.0,,,poli,,1,idle,,,,,,,,,,
d_nikke_poli_05_113,d_nikke_poli_05,Self,poli,Locale_NikkeEpisode:d_nikke_poli_05_113,False,,XS_100,XS_100,1.0,,,,,1,idle,,,,,,,,,,
d_nikke_poli_05_114,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_114,True,,XS_100,XS_10,1.0,,,poli,,1,delight,,,,,,,,,,
d_nikke_poli_05_115,d_nikke_poli_05,Self,poli,Locale_NikkeEpisode:d_nikke_poli_05_115,False,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,,,,
d_nikke_poli_05_116,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_116,True,,XS_10,XS_10,1.0,,,poli,,1,delight,,,,,,,,,,
d_nikke_poli_05_117,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_117,True,,XS_10,XS_10,1.0,,,poli,,1,delight,,,,,,,,,,
d_nikke_poli_05_118,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_118,True,,XS_10,XS_10,1.0,,,poli,,1,delight,,,,,,,,,,
d_nikke_poli_05_119,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_119,False,,XS_10,XS_100,2.0,,,,,1,idle,,,,,,,,,,
d_nikke_poli_05_120,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_120,True,,XS_100,XS_100,1.0,,,poli,,1,idle,,,,,,,,,,
d_nikke_poli_05_121,d_nikke_poli_05,Narration,poli,Locale_NikkeEpisode:d_nikke_poli_05_121,False,,XS_100,XS_100,1.0,,sfx_scn_phonevibration,,,1,idle,,,,,,,,,,m_nikke_poli_05
d_nikke_poli_05_122,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_122,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,,,,,,,,,
d_nikke_poli_05_123,d_nikke_poli_05,Speech,poli,Locale_NikkeEpisode:d_nikke_poli_05_123,True,,XS_10,XS_10,1.0,,,poli,,1,idle,,,,,,,,,,
d_nikke_poli_05_124,d_nikke_poli_05,Self,poli,Locale_NikkeEpisode:d_nikke_poli_05_124,False,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,
d_nikke_poli_05_125,d_nikke_poli_05,Self,poli,Locale_NikkeEpisode:d_nikke_poli_05_125,False,,black,black,1.0,,,,,1,idle,,,,,,,,,,
