id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake
d_nikke_noise_04_24,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_24,True,,1,idle,,100,10,1.0,,,
d_nikke_noise_04_25,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_25,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_26,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_26,False,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_27,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_27,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_28,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_28,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_29,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_29,False,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_30,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_30,True,,1,sad,,100,100,1.0,,,
d_nikke_noise_04_31,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_31,False,,1,sad,,100,100,1.0,,,
d_nikke_noise_04_32,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_32,True,,1,sad,,100,100,1.0,,,
d_nikke_noise_04_33,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_33,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_34,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_34,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_35,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_35,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_36,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_36,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_37,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_37,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_38,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_38,False,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_39,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_39,False,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_40,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_40,False,,1,idle,,100,10,1.0,,,
d_nikke_noise_04_41,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_41,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_42,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_42,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_43,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_43,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_44,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_44,False,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_45,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_45,True,,1,sad,,10,10,1.0,,,
d_nikke_noise_04_46,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_46,True,,1,sad,,10,10,1.0,,,
d_nikke_noise_04_47,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_47,True,,1,sad,,10,10,1.0,,,
d_nikke_noise_04_48,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_48,True,,1,sad,,10,10,1.0,,,
d_nikke_noise_04_49,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_49,False,,1,sad,,10,10,1.0,,,
d_nikke_noise_04_50,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_50,False,,1,sad,,10,10,1.0,,,
d_nikke_noise_04_51,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_51,True,,1,sad,,10,100,1.0,none,,
d_nikke_noise_04_52,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_52,True,,1,sad,,100,100,1.0,,,
d_nikke_noise_04_53,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_53,True,,1,sad,,100,100,1.0,,,
d_nikke_noise_04_54,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_54,False,,1,sad,,100,1,1.0,,,
d_nikke_noise_04_55,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_55,True,,1,sad,,1,1,1.0,,,
d_nikke_noise_04_56,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_56,False,,1,sad,,1,1,1.0,,,
d_nikke_noise_04_57,d_nikke_noise_04,Narration,,Narration,Locale_NikkeEpisode:d_nikke_noise_04_57,False,,1,sad,Cafe,black,black,1.0,,,
d_nikke_noise_04_58,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_58,True,,1,idle,,1,1,1.0,bgm_story_backtonormal,,
d_nikke_noise_04_59,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_59,True,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_60,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_60,False,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_61,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_61,True,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_62,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_62,True,,1,idle,,1,10,0.5,,,
d_nikke_noise_04_63,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_63,False,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_64,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_64,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_65,d_nikke_noise_04,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_noise_04_65,False,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_66,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_66,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_67,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_67,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_68,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_68,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_69,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_69,False,,1,idle,,10,100,1.0,,,
d_nikke_noise_04_70,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_70,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_71,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_71,True,,1,idle,,100,100,1.0,none,,
d_nikke_noise_04_72,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_72,False,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_73,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_73,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_74,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_74,False,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_75,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_75,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_76,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_76,False,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_77,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_77,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_78,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_78,False,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_79,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_79,True,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_80,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_80,False,,1,idle,,100,100,1.0,,,
d_nikke_noise_04_81,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_81,False,,1,sad,,100,1,1.0,,,
d_nikke_noise_04_82,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_82,True,,1,sad,,1,1,1.0,,,
d_nikke_noise_04_83,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_83,True,,1,sad,,1,1,1.0,,,
d_nikke_noise_04_84,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_84,False,,1,think,,1,1,1.0,,,
d_nikke_noise_04_85,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_85,True,,1,angry,,1,100,0.5,,,Low_2
d_nikke_noise_04_86,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_86,False,,1,angry,,100,100,1.0,bgm_story_herecomestrouble,,
d_nikke_noise_04_87,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_87,True,,1,angry,,100,100,1.0,,,
d_nikke_noise_04_88,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_88,True,,1,angry,,100,100,1.0,,,
d_nikke_noise_04_89,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_89,True,,1,angry,,100,100,1.0,,,
d_nikke_noise_04_90,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_90,True,,1,angry,,100,100,1.0,,,
d_nikke_noise_04_91,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_91,False,,1,angry,,100,100,1.0,,,
d_nikke_noise_04_92,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_92,True,,1,angry,,100,100,1.0,,,Low_2
d_nikke_noise_04_93,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_93,True,,1,angry,,100,10,1.0,,,
d_nikke_noise_04_94,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_94,False,,1,angry,,10,10,1.0,,,
d_nikke_noise_04_95,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_95,False,,1,angry,,10,10,1.0,,,
d_nikke_noise_04_96,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_96,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_97,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_97,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_98,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_98,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_99,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_99,True,,1,idle,,10,10,1.0,,,
d_nikke_noise_04_100,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_100,False,,1,think,,10,10,1.0,,,
d_nikke_noise_04_101,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_101,True,,1,sad,,10,100,0.5,,,
d_nikke_noise_04_102,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_102,True,,1,angry,,100,100,1.0,,,
d_nikke_noise_04_103,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_103,False,,1,angry,,100,100,1.0,,,
d_nikke_noise_04_104,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_104,True,,1,angry,,100,100,1.0,,,
d_nikke_noise_04_105,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_105,False,,1,angry,,100,100,1.0,,,
d_nikke_noise_04_106,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_106,True,,1,angry,,100,100,1.0,,,
d_nikke_noise_04_107,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_107,True,,1,sad,,100,1,0.5,,,
d_nikke_noise_04_108,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_108,True,,1,sad,,1,1,1.0,,,
d_nikke_noise_04_109,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_109,True,,1,sad,,1,1,1.0,,,
d_nikke_noise_04_110,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_110,False,,1,sad,,1,1,1.0,,,
d_nikke_noise_04_111,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_111,False,,1,sad,,1,1,1.0,,,
d_nikke_noise_04_112,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_112,False,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_113,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_113,True,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_114,d_nikke_noise_04,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_04_114,False,,1,idle,,1,1,1.0,,,
d_nikke_noise_04_115,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_115,True,,1,idle,,1,100,1.0,,,
d_nikke_noise_04_116,d_nikke_noise_04,Choice,,,Locale_NikkeEpisode:d_nikke_noise_04_116,False,,1,idle,,100,100,1.0,,d_nikke_noise_04_118,
d_nikke_noise_04_117,d_nikke_noise_04,Choice,,,Locale_NikkeEpisode:d_nikke_noise_04_117,False,,1,idle,,100,100,1.0,,d_nikke_noise_04_120,
d_nikke_noise_04_118,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_118,True,,1,angry,,100,100,1.0,,,
d_nikke_noise_04_119,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_119,True,,1,sad,,100,100,1.0,,d_nikke_noise_04_121,
d_nikke_noise_04_120,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_120,True,,1,angry,,100,100,1.0,,d_nikke_noise_04_121,
d_nikke_noise_04_121,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_121,True,,1,idle,,100,10,1.0,,,
d_nikke_noise_04_122,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_122,True,,1,angry,,10,10,1.0,,,
d_nikke_noise_04_123,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_123,True,,1,angry,,10,10,1.0,,,
d_nikke_noise_04_124,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_124,True,,1,angry,,10,10,1.0,,,
d_nikke_noise_04_125,d_nikke_noise_04,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_04_125,True,,1,angry,,10,10,1.0,,,
