id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,set_filter_01,fade
d_nikke_tia_05_12,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_12,True,,2,sad,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_13,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_13,False,,2,sad,,12,idle,,1,20,1.0,,,,
d_nikke_tia_05_14,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_14,False,,2,sad,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_15,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_15,True,,2,idle,,12,delight,,120,120,1.0,,,,
d_nikke_tia_05_16,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_16,True,,2,idle,,12,delight,,120,120,1.0,,,,
d_nikke_tia_05_17,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_17,False,,2,idle,,12,idle,,black,black,1.0,,,,
d_nikke_tia_05_18,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_18,False,,2,idle,,12,idle,,black,black,1.0,,,,
d_nikke_tia_05_19,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_19,True,,2,sad,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_20,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_20,True,,2,sad,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_21,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_21,True,,2,sad,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_22,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_22,True,,2,sad,,12,delight,,20,1,1.0,,,,
d_nikke_tia_05_23,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_23,True,,2,sad,,12,delight,,1,1,1.0,,,,
d_nikke_tia_05_24,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_24,True,,2,delight,,12,delight,,1,1,1.0,,,,
d_nikke_tia_05_25,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_25,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_26,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_26,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_27,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_27,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_28,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_28,True,,2,idle,,12,idle,,1,120,1.0,,,,
d_nikke_tia_05_29,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_29,True,,2,idle,,12,delight,,120,120,1.0,,,,
d_nikke_tia_05_30,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_30,True,,2,idle,,12,delight,,120,120,1.0,,,,
d_nikke_tia_05_31,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_31,True,,2,idle,,12,idle,,120,20,0.7,,,,
d_nikke_tia_05_32,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_32,True,,2,idle,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_33,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_33,True,,2,idle,,12,idle,,20,120,1.0,,,,
d_nikke_tia_05_34,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_34,True,,2,idle,,12,idle,,120,120,1.0,,,,
d_nikke_tia_05_35,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_35,True,,2,idle,,12,idle,,120,120,1.0,,,,
d_nikke_tia_05_36,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_36,True,,2,delight,,12,idle,,120,1,1.0,,,,
d_nikke_tia_05_37,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_37,True,,2,delight,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_38,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_38,True,,2,sad,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_39,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_39,True,,2,sad,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_40,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_40,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_41,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_41,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_42,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_42,True,,2,delight,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_43,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_43,True,,2,delight,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_44,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_44,False,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_45,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_45,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_46,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_46,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_47,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_47,True,,2,idle,,12,idle,,1,120,1.0,,,,
d_nikke_tia_05_48,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_48,True,,2,idle,,12,idle,,120,120,1.0,,,,
d_nikke_tia_05_49,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_49,True,,2,idle,,12,idle,,120,120,1.0,,,,
d_nikke_tia_05_50,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_50,False,,2,idle,,12,idle,,black,black,1.0,,,,
d_nikke_tia_05_51,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_51,False,,2,idle,,12,idle,,black,black,1.0,,,,
d_nikke_tia_05_52,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_52,False,,2,idle,,12,idle,,120,120,1.0,,,,
d_nikke_tia_05_53,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_53,False,,2,idle,,12,idle,,120,120,1.0,,,,
d_nikke_tia_05_54,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_54,True,,2,idle,,12,idle,,120,1,1.0,,,,
d_nikke_tia_05_55,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_55,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_56,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_56,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_57,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_57,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_58,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_58,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_59,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_59,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_60,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_60,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_61,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_61,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_62,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_62,False,,2,idle,,12,idle,,1,20,1.0,,,,
d_nikke_tia_05_63,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_63,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_64,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_64,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_65,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_65,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_66,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_66,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_67,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_67,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_68,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_68,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_69,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_69,False,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_70,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_70,False,,2,delight,,12,idle,,black,black,1.0,,,,
d_nikke_tia_05_71,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_71,False,,2,delight,,12,idle,,black,black,1.0,,,,
d_nikke_tia_05_72,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_72,True,,2,delight,,12,idle,,1,1,1.0,,,,
d_nikke_tia_05_73,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_73,False,,2,delight,,12,idle,,black,black,1.0,,,,
d_nikke_tia_05_74,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_74,True,,2,delight,,12,delight,,1,1,1.0,,,,
d_nikke_tia_05_75,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_75,False,,2,delight,,12,delight,,1,20,1.0,,,,
d_nikke_tia_05_76,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_76,True,,2,delight,,12,worry,,20,120,1.0,,,,
d_nikke_tia_05_77,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_77,True,,2,delight,,12,worry,,120,20,0.7,,,,
d_nikke_tia_05_78,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_78,True,,2,delight,,12,worry,,20,20,1.0,,,,
d_nikke_tia_05_79,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_79,False,,2,delight,,12,surprise,,20,120,1.5,,,,
d_nikke_tia_05_80,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_80,True,,2,delight,,12,delight,,120,120,1.0,,,,
d_nikke_tia_05_81,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_81,True,,2,delight,,12,delight,,120,120,1.0,,,,
d_nikke_tia_05_82,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_82,True,,2,delight,,12,delight,,120,120,1.0,,,,
d_nikke_tia_05_83,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_83,True,,2,delight,,12,delight,,120,20,1.0,,,,
d_nikke_tia_05_84,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_84,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_85,d_nikke_tia_05,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_05_85,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_05_86,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_86,False,,2,delight,,12,idle,,black,black,1.0,,,,
d_nikke_tia_05_87,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_87,True,,2,delight,,12,idle,,120,120,1.0,none,tia,Grey,black
d_nikke_tia_05_88,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_88,True,,,,,12,idle,,120,120,1.0,,,Grey,
d_nikke_tia_05_89,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_89,False,,,,,12,idle,,black,black,1.0,,,Grey,
d_nikke_tia_05_90,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_90,True,,,,,12,delight,,120,120,1.0,,,Grey,
d_nikke_tia_05_91,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_91,True,,,,,12,delight,,120,120,1.0,,,Grey,
d_nikke_tia_05_92,d_nikke_tia_05,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_05_92,True,,,,,12,delight,,120,120,1.0,,,Grey,
d_nikke_tia_05_93,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_93,False,,,,,12,idle,,black,black,1.0,,,Grey,
d_nikke_tia_05_94,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_94,False,,,,,12,idle,,black,black,1.0,,,Grey,
d_nikke_tia_05_95,d_nikke_tia_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_05_95,False,,,,,12,idle,,black,black,1.0,,,Grey,
