id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,conversation_id,set_camera_shake
d_nikke_pepper_05_14,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_14,False,,7,special,,XS_700,XS_700,1.0,,,,,
d_nikke_pepper_05_15,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_15,True,,7,shy,,XS_700,XS_700,1.0,,,,,
d_nikke_pepper_05_16,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_16,False,,7,shy,,XS_700,XS_700,1.0,,,,,
d_nikke_pepper_05_17,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_17,False,,7,surprise,,XS_700,XS_70,1.0,,,,,
d_nikke_pepper_05_18,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_18,False,,7,surprise,,XS_70,XS_70,1.0,,,,,
d_nikke_pepper_05_19,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_19,False,,7,surprise,,XS_70,XS_70,1.0,,,,,
d_nikke_pepper_05_20,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_20,True,,7,shy,,XS_70,XS_70,1.0,,,,,
d_nikke_pepper_05_21,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_21,False,,7,shy,,XS_70,XS_70,1.0,,,,,
d_nikke_pepper_05_22,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_22,False,,7,shy,,XS_70,XS_70,1.0,,,,,
d_nikke_pepper_05_23,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_23,False,,7,shy,,XS_70,XS_70,1.0,,,,,
d_nikke_pepper_05_24,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_24,True,,7,idle,,XS_70,XS_700,0.5,,,,,
d_nikke_pepper_05_25,d_nikke_pepper_05,Speech,orangegirl,orangegirl,Locale_NikkeEpisode:d_nikke_pepper_05_25,False,,7,idle,,XS_700,XS_700,1.0,,,,,
d_nikke_pepper_05_26,d_nikke_pepper_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_pepper_05_26,False,,3,idle,,XS_700,7,1.0,,pepper,,,
d_nikke_pepper_05_27,d_nikke_pepper_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_pepper_05_27,False,,3,idle,Park,7,5,1.0,none,,,,
d_nikke_pepper_05_28,d_nikke_pepper_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_pepper_05_28,False,,3,idle,,5,5,1.0,,,sfx_scn_phonevibration,,
d_nikke_pepper_05_29,d_nikke_pepper_05,Self,,Self,Locale_NikkeEpisode:d_nikke_pepper_05_29,False,,3,idle,,5,5,1.0,,,,m_nikke_pepper_05,
d_nikke_pepper_05_30,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_30,True,pepper,1,idle,,5,5,1.0,,,,,Low_2
d_nikke_pepper_05_31,d_nikke_pepper_05,Self,,Self,Locale_NikkeEpisode:d_nikke_pepper_05_31,False,,1,idle,,5,5,1.0,,,,,
d_nikke_pepper_05_32,d_nikke_pepper_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_pepper_05_32,False,,1,idle,,5,1,1.0,,,,,
d_nikke_pepper_05_33,d_nikke_pepper_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_pepper_05_33,False,,1,idle,,1,1,1.0,,,,,
d_nikke_pepper_05_34,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_34,True,,1,idle,,1,1,1.0,bgm_story_impression,,,,
d_nikke_pepper_05_35,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_35,True,,1,idle,,1,1,1.0,,,,,
d_nikke_pepper_05_36,d_nikke_pepper_05,Self,,Self,Locale_NikkeEpisode:d_nikke_pepper_05_36,False,,1,idle,,1,1,1.0,,,,,
d_nikke_pepper_05_37,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_37,True,,1,idle,,1,1,1.0,,,,,
d_nikke_pepper_05_38,d_nikke_pepper_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_pepper_05_38,False,,1,idle,,1,1,1.0,,,,,
d_nikke_pepper_05_39,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_39,True,,1,surprise,,1,1,1.0,,,,,
d_nikke_pepper_05_40,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_40,True,,1,surprise,,1,1,1.0,,,,,
d_nikke_pepper_05_41,d_nikke_pepper_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_pepper_05_41,False,,3,surprise,,1,3,1.0,,,,,
d_nikke_pepper_05_42,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_42,True,,3,surprise,,3,3,1.0,,,,,
d_nikke_pepper_05_43,d_nikke_pepper_05,Self,,Self,Locale_NikkeEpisode:d_nikke_pepper_05_43,False,,3,surprise,,3,3,1.0,,,,,
d_nikke_pepper_05_44,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_44,True,,3,surprise,,3,XS_30,1.0,,,,,
d_nikke_pepper_05_45,d_nikke_pepper_05,Self,,Self,Locale_NikkeEpisode:d_nikke_pepper_05_45,False,,3,surprise,,XS_30,XS_30,1.0,,,,,
d_nikke_pepper_05_46,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_46,False,,3,surprise,,XS_30,XS_30,1.0,,,,,
d_nikke_pepper_05_47,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_47,True,,3,special,,XS_30,XS_30,1.0,,,,,
d_nikke_pepper_05_48,d_nikke_pepper_05,Self,,Self,Locale_NikkeEpisode:d_nikke_pepper_05_48,False,,3,special,,XS_30,XS_30,1.0,,,,,
d_nikke_pepper_05_49,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_49,True,,3,special,,XS_30,XS_30,1.0,,,,,
d_nikke_pepper_05_50,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_50,True,,3,idle,,XS_30,XS_30,1.0,,,,,
d_nikke_pepper_05_51,d_nikke_pepper_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_pepper_05_51,False,,3,idle,,XS_30,XS_300,1.0,,,,,
d_nikke_pepper_05_52,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_52,True,,3,idle,,XS_300,XS_300,1.0,,,,,
d_nikke_pepper_05_53,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_53,True,,3,idle,,XS_300,XS_300,1.0,,,,,
d_nikke_pepper_05_54,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_54,True,,3,idle,,XS_300,XS_300,1.0,,,,,
d_nikke_pepper_05_55,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_55,True,,3,idle,,XS_300,XS_300,1.0,,,,,
d_nikke_pepper_05_56,d_nikke_pepper_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_pepper_05_56,False,,3,idle,,XS_300,XS_300,1.0,,,,,
d_nikke_pepper_05_57,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_57,True,,3,delight,,XS_300,XS_30,1.0,,,,,
d_nikke_pepper_05_58,d_nikke_pepper_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_pepper_05_58,False,,3,delight,,XS_30,XS_30,1.0,,,,,
d_nikke_pepper_05_59,d_nikke_pepper_05,Speech,pepper,pepper,Locale_NikkeEpisode:d_nikke_pepper_05_59,True,,3,delight,,XS_30,XS_30,1.0,,,,,
