id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/hide_char_id,play_sound,characters/1/set_char_anim
d_nikke_d_03_52,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_52,True,,1,think,,10,100,1.0,none,d,d,,,,,,,
d_nikke_d_03_53,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_53,True,,1,think,,100,100,1.0,,d,d,,,,,,,
d_nikke_d_03_54,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_54,True,,1,think,,100,100,1.0,,d,d,,,,,,,
d_nikke_d_03_55,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_55,False,,1,idle,,100,100,1.0,,d,,,,,,,,
d_nikke_d_03_56,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_56,True,,1,idle,,100,1300,1.0,bgm_story_epicjazzymoods,unknown,unknown,,,suspiciousdeveloper,13,,,
d_nikke_d_03_57,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_57,True,,1,idle,,1300,1300,1.0,,unknown,unknown,,,,13,,,
d_nikke_d_03_58,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_58,False,,1,idle,,1300,1300,1.0,,,,d_nikke_d_03_60,,,13,,,
d_nikke_d_03_59,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_59,False,,1,idle,,1300,1300,1.0,,,,d_nikke_d_03_60,,,13,,,
d_nikke_d_03_60,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_60,False,,1,idle,,1300,113,2.0,,d,d,,,,13,,,
d_nikke_d_03_61,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_61,True,,1,idle,,113,113,1.0,,unknown,unknown,,,,13,,,
d_nikke_d_03_62,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_62,True,,1,idle,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,
d_nikke_d_03_63,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_63,True,,1,idle,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,
d_nikke_d_03_64,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_64,True,,1,angry,,113,113,1.0,,d,d,,,,13,,,
d_nikke_d_03_65,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_65,True,,1,angry,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,
d_nikke_d_03_66,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_66,True,,1,angry,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,
d_nikke_d_03_67,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_67,True,,1,angry,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,
d_nikke_d_03_68,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_68,False,,1,angry,,113,113,1.0,,,,,,,13,,,
d_nikke_d_03_69,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_69,True,,1,angry,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,
d_nikke_d_03_70,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_70,False,,1,angry,,113,113,1.0,,,,d_nikke_d_03_72,,,13,,,
d_nikke_d_03_71,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_71,False,,1,angry,,113,113,1.0,,,,d_nikke_d_03_74,,,13,,,
d_nikke_d_03_72,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_72,True,,1,angry,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,
d_nikke_d_03_73,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_73,True,,1,angry,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,d_nikke_d_03_74,,,13,,,
d_nikke_d_03_74,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_74,False,,1,think,,113,113,1.0,,d,d,,,,13,,,
d_nikke_d_03_75,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_75,False,,1,think,,113,113,1.0,,,,,,,13,,,
d_nikke_d_03_76,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_76,True,,1,think,,113,113,1.0,none,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,
d_nikke_d_03_77,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_77,True,,1,think,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,
d_nikke_d_03_78,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_78,True,,1,think,,113,1,1.5,bgm_mystery,d,d,,,,13,suspiciousdeveloper,,
d_nikke_d_03_79,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_79,True,,1,angry,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_80,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_80,True,,1,angry,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_81,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_81,True,,1,angry,,1,10,1.0,,d,d,,,,,,,
d_nikke_d_03_82,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_82,True,,1,angry,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_83,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_83,True,,1,angry,,10,100,1.0,,d,d,,,,,,,
d_nikke_d_03_84,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_84,True,,1,angry,,100,100,1.0,,d,d,,,,,,,
d_nikke_d_03_85,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_85,True,,1,angry,,100,100,1.0,,d,d,,,,,,,
d_nikke_d_03_86,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_86,True,,1,angry,,100,10,1.0,,d,d,,,,,,,
d_nikke_d_03_87,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_87,True,,1,angry,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_88,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_88,True,,1,angry,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_89,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_89,True,,1,angry,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_90,d_nikke_d_03,Monologue,Locale_NikkeEpisode:d_nikke_d_03_90,False,,1,angry,,10,10,1.0,,d,,,,,,,,
d_nikke_d_03_91,d_nikke_d_03,Monologue,Locale_NikkeEpisode:d_nikke_d_03_91,False,,1,angry,,10,10,1.0,,d,,,,,,,,
d_nikke_d_03_92,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_92,False,,1,angry,,10,10,1.0,,d,,d_nikke_d_03_94,,,,,,
d_nikke_d_03_93,d_nikke_d_03,Choice,Locale_NikkeEpisode:d_nikke_d_03_93,False,,1,angry,,10,10,1.0,,d,,d_nikke_d_03_94,,,,,,
d_nikke_d_03_94,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_94,False,,1,angry,,10,100,1.0,,d,d,,,,,,,
d_nikke_d_03_95,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_95,True,,1,angry,,100,100,1.0,,d,d,,,,,,,
d_nikke_d_03_96,d_nikke_d_03,Narration,Locale_NikkeEpisode:d_nikke_d_03_96,False,,1,angry,,100,100,1.0,none,,,,,,,,sfx_scn_run,
d_nikke_d_03_97,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_97,True,,1,angry,,100,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,suspiciousdeveloper,13,,,idle
d_nikke_d_03_98,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_98,True,,1,surprise,,113,113,1.0,bgm_story_herecomestrouble,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,idle
d_nikke_d_03_99,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_99,True,,1,surprise,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,idle
d_nikke_d_03_100,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_100,True,,1,surprise,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,idle
d_nikke_d_03_101,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_101,True,,1,surprise,,113,113,1.0,,suspiciousdeveloper,suspiciousdeveloper,,,,13,,,idle
d_nikke_d_03_102,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_102,False,,1,think,,113,1,1.0,,d,d,,,,13,suspiciousdeveloper,,idle
d_nikke_d_03_103,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_103,True,,1,think,,1,1,1.0,,d,d,,,,,,,
d_nikke_d_03_104,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_104,False,,1,think,,1,1,1.0,,d,,,,,,,,
d_nikke_d_03_105,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_105,False,,1,think,,1,1,1.0,,d,,,,,,,,
d_nikke_d_03_106,d_nikke_d_03,Monologue,Locale_NikkeEpisode:d_nikke_d_03_106,False,,1,think,,black,black,1.0,,d,,,,,,,,
d_nikke_d_03_107,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_107,False,,1,think,,1,1,1.0,,d,,,,,,,,
d_nikke_d_03_108,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_108,True,,1,idle,,1,10,1.0,,d,d,,,,,,,
d_nikke_d_03_109,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_109,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_110,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_110,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
d_nikke_d_03_111,d_nikke_d_03,Self,Locale_NikkeEpisode:d_nikke_d_03_111,False,,1,idle,,10,10,1.0,,d,,,,,,,,
d_nikke_d_03_112,d_nikke_d_03,Speech,Locale_NikkeEpisode:d_nikke_d_03_112,True,,1,idle,,10,10,1.0,,d,d,,,,,,,
