id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,play_sound
treasurestory_viper_05_18,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_18,True,,S_120,20,1.0,,viper,,12,idle,viper,,2,delight,,
treasurestory_viper_05_19,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_19,True,,20,20,1.0,,viper,,12,idle,viper,,2,idle,,
treasurestory_viper_05_20,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_20,True,,20,1,1.0,,elegg,,12,idle,elegg,,2,idle,,
treasurestory_viper_05_21,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_21,True,,1,1,1.0,,elegg,,12,idle,elegg,,2,idle,,
treasurestory_viper_05_22,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_22,True,,1,1,1.0,,viper,,12,idle,viper,,2,idle,,
treasurestory_viper_05_23,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_23,True,,1,1,1.0,none,elegg,,12,pain,elegg,,2,idle,,
treasurestory_viper_05_24,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_24,True,,1,1,1.0,,elegg,,12,pain,elegg,,2,idle,,
treasurestory_viper_05_25,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_25,True,,1,1,1.0,,viper,,12,pain,viper,,2,idle,,
treasurestory_viper_05_26,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_26,True,,1,S_120,1.0,,elegg,,12,pain,elegg,,2,idle,,
treasurestory_viper_05_27,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_27,False,,S_120,S_120,1.0,,elegg,,12,pain,elegg,,2,idle,,
treasurestory_viper_05_28,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_28,True,,S_120,S_1200,1.0,bgm_story_herecomestrouble,elegg,,12,delight,elegg,,2,idle,,
treasurestory_viper_05_29,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_29,True,,S_1200,200,1.0,,viper,,12,delight,viper,,2,idle,,
treasurestory_viper_05_30,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_30,True,,200,S_120,0.5,,elegg,,12,delight,elegg,,2,idle,,
treasurestory_viper_05_31,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_31,True,,S_120,S_120,1.0,,elegg,,12,delight,elegg,,2,idle,,
treasurestory_viper_05_32,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_32,True,,S_120,S_1200,0.5,,elegg,,12,delight,elegg,,2,idle,,
treasurestory_viper_05_33,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_33,True,,S_1200,S_1200,1.0,,elegg,,12,delight,elegg,,2,idle,,
treasurestory_viper_05_34,treasurestory_viper_05,Self,Locale_NikkeEpisode:treasurestory_viper_05_34,False,,S_1200,S_1200,1.0,,elegg,,12,delight,,,2,idle,,
treasurestory_viper_05_35,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_35,True,,S_1200,200,1.0,,viper,,12,delight,viper,,2,delight,,
treasurestory_viper_05_36,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_36,True,,200,200,1.0,,viper,,12,delight,viper,,2,idle,,
treasurestory_viper_05_37,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_37,True,,200,200,1.0,,viper,,12,delight,viper,,2,idle,,
treasurestory_viper_05_38,treasurestory_viper_05,Self,Locale_NikkeEpisode:treasurestory_viper_05_38,False,,200,200,1.0,,viper,,12,delight,,,2,idle,,
treasurestory_viper_05_39,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_39,True,,200,200,1.0,,viper,,12,delight,viper,,2,idle,,
treasurestory_viper_05_40,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_40,True,,200,200,1.0,,viper,,12,delight,viper,,2,idle,,
treasurestory_viper_05_41,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_41,True,,200,200,1.0,,viper,,12,delight,viper,,2,idle,,
treasurestory_viper_05_42,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_42,True,,200,1,1.0,,elegg,,12,special,elegg,,2,idle,,
treasurestory_viper_05_43,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_43,True,,1,1,1.0,,elegg,,12,special,elegg,,2,idle,,
treasurestory_viper_05_44,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_44,True,,1,1,1.0,,viper,,12,special,viper,,2,idle,,
treasurestory_viper_05_45,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_45,True,,1,S_120,1.0,,elegg,,12,idle,elegg,,2,idle,,
treasurestory_viper_05_46,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_46,True,,S_120,S_120,1.0,,elegg,,12,idle,elegg,,2,idle,,
treasurestory_viper_05_47,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_47,True,,S_120,S_120,1.0,,elegg,,12,idle,elegg,,2,idle,,
treasurestory_viper_05_48,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_48,True,,S_120,S_120,1.0,,elegg,,12,idle,elegg,,2,idle,,
treasurestory_viper_05_49,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_49,True,,S_120,S_120,1.0,,elegg,,12,idle,elegg,,2,idle,,
treasurestory_viper_05_50,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_50,True,,S_120,20,1.0,,viper,,12,idle,viper,,2,idle,,
treasurestory_viper_05_51,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_51,True,,20,S_120,0.5,,elegg,,12,surprise,elegg,,2,idle,,
treasurestory_viper_05_52,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_52,True,,S_120,S_1200,1.0,,elegg,,12,idle,elegg,,2,idle,,
treasurestory_viper_05_53,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_53,True,,S_1200,S_1200,1.0,,elegg,,12,idle,elegg,,2,idle,,
treasurestory_viper_05_54,treasurestory_viper_05,Narration,Locale_NikkeEpisode:treasurestory_viper_05_54,False,,S_1200,S_1200,1.0,,elegg,,12,idle,,,2,idle,elegg,sfx_scn_autodooropen
treasurestory_viper_05_55,treasurestory_viper_05,Monologue,Locale_NikkeEpisode:treasurestory_viper_05_55,False,,S_1200,S_1200,1.0,none,viper,,,,,,2,idle,,
treasurestory_viper_05_56,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_56,True,,S_1200,200,1.0,bgm_story_languor,viper,,,,viper,,2,idle,,
treasurestory_viper_05_57,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_57,True,,200,200,1.0,,viper,,,,viper,,2,idle,,
treasurestory_viper_05_58,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_58,True,,200,200,1.0,,viper,,,,viper,,2,idle,,
treasurestory_viper_05_59,treasurestory_viper_05,Monologue,Locale_NikkeEpisode:treasurestory_viper_05_59,False,,200,200,1.0,,viper,,,,,,2,idle,,
treasurestory_viper_05_60,treasurestory_viper_05,Self,Locale_NikkeEpisode:treasurestory_viper_05_60,False,,200,200,1.0,,viper,,,,,,2,idle,,
treasurestory_viper_05_61,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_61,True,,200,20,1.0,,viper,,,,viper,,2,delight,,
treasurestory_viper_05_62,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_62,True,,20,20,1.0,,viper,,,,viper,,2,delight,,
treasurestory_viper_05_63,treasurestory_viper_05,Self,Locale_NikkeEpisode:treasurestory_viper_05_63,False,,20,20,1.0,,viper,,,,,,2,delight,,
treasurestory_viper_05_64,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_64,True,,20,20,1.0,,viper,,,,viper,,2,idle,,
treasurestory_viper_05_65,treasurestory_viper_05,Speech,Locale_NikkeEpisode:treasurestory_viper_05_65,True,,20,200,1.0,,viper,,,,viper,,2,idle,,
