id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_elegg_02_31,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_31,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_32,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_32,False,,S_100,S_100,1.0,,,,,,1,idle,
d_nikke_elegg_02_33,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_33,True,,S_100,S_10,1.0,,elegg,,,,1,think,
d_nikke_elegg_02_34,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_34,True,,S_10,S_10,1.0,,elegg,,,,1,think,
d_nikke_elegg_02_35,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_35,True,,S_10,S_10,1.0,,elegg,,,,1,think,
d_nikke_elegg_02_36,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_36,True,,S_10,S_10,1.0,,elegg,,,,1,think,
d_nikke_elegg_02_37,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_37,True,,S_10,S_10,1.0,,elegg,,,,1,think,
d_nikke_elegg_02_38,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_38,True,,S_10,S_10,1.0,,elegg,,,,1,think,
d_nikke_elegg_02_39,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_39,True,,S_10,S_10,1.0,,elegg,,,,1,think,
d_nikke_elegg_02_40,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_40,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_elegg_02_41,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_41,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_elegg_02_42,d_nikke_elegg_02,Monologue,,Locale_NikkeEpisode:d_nikke_elegg_02_42,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_elegg_02_43,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_43,True,,S_10,S_10,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_44,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_44,True,,S_10,S_10,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_45,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_45,True,,S_10,S_10,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_46,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_46,True,,S_10,S_10,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_47,d_nikke_elegg_02,Monologue,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_47,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_elegg_02_48,d_nikke_elegg_02,Choice,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_48,False,,S_10,S_10,1.0,,,,d_nikke_elegg_02_50,,1,idle,
d_nikke_elegg_02_49,d_nikke_elegg_02,Choice,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_49,False,,S_10,S_10,1.0,,,,d_nikke_elegg_02_52,,1,idle,
d_nikke_elegg_02_50,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_50,True,,S_10,S_100,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_51,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_51,True,,S_100,S_100,1.0,,elegg,,d_nikke_elegg_02_59,,1,delight,
d_nikke_elegg_02_52,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_52,True,,S_10,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_53,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_53,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_54,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_54,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_55,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_55,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_56,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_56,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_57,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_57,True,,S_100,S_100,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_58,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_58,True,,S_100,S_100,1.0,,elegg,,d_nikke_elegg_02_59,,1,delight,
d_nikke_elegg_02_59,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_59,False,,S_100,S_100,1.0,,,,,,1,idle,
d_nikke_elegg_02_60,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_60,True,,S_100,S_10,1.0,,elegg,,,,1,think,
d_nikke_elegg_02_61,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_61,True,,S_10,S_10,1.0,,elegg,,,,1,think,
d_nikke_elegg_02_62,d_nikke_elegg_02,Monologue,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_62,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_elegg_02_63,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_63,True,Park,S_10,S_10,1.0,,elegg,black,,,1,idle,
d_nikke_elegg_02_64,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_64,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_elegg_02_65,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_65,True,,S_10,S_10,1.0,,elegg,,,,1,idle,
d_nikke_elegg_02_66,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_66,True,,S_10,S_10,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_67,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_67,True,,S_10,S_10,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_68,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_68,True,,S_10,S_10,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_69,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_69,False,,S_10,S_10,1.0,,,,,,1,idle,
d_nikke_elegg_02_70,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_70,True,,S_10,S_100,0.7,,elegg,,,,1,surprise,
d_nikke_elegg_02_71,d_nikke_elegg_02,Self,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_71,False,,S_100,S_100,1.0,,,,,,1,idle,
d_nikke_elegg_02_72,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_72,True,,S_100,S_100,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_73,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_73,True,,S_100,S_100,1.0,,elegg,,,,1,delight,
d_nikke_elegg_02_74,d_nikke_elegg_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_elegg_02_74,True,,S_100,S_100,1.0,,elegg,,,,1,delight,
