id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,set_filter_02,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
treasurestory_helm_01_37,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_37,True,,10,10,1.0,,,,,helm,helm,,,1,angry,treasurestory_helm_01_43
treasurestory_helm_01_38,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_38,True,,10,10,1.0,,,,,helm,helm,,,1,angry,
treasurestory_helm_01_39,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_39,True,,10,10,1.0,,,,,helm,helm,,,1,angry,
treasurestory_helm_01_40,treasurestory_helm_01,Self,Locale_NikkeEpisode:treasurestory_helm_01_40,False,,10,10,1.0,,,,,helm,,,,1,angry,
treasurestory_helm_01_41,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_41,False,,10,10,1.0,,,,,helm,helm,,,1,angry,
treasurestory_helm_01_42,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_42,True,,10,10,1.0,,,,,helm,helm,,,1,angry,treasurestory_helm_01_43
treasurestory_helm_01_43,treasurestory_helm_01,Self,Locale_NikkeEpisode:treasurestory_helm_01_43,False,,10,10,1.0,,,,,helm,,,,1,angry,
treasurestory_helm_01_44,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_44,False,,10,10,1.0,,,,,helm,,,,1,angry,
treasurestory_helm_01_45,treasurestory_helm_01,Choice,Locale_NikkeEpisode:treasurestory_helm_01_45,False,,10,10,1.0,,,,,helm,,,,1,angry,treasurestory_helm_01_47
treasurestory_helm_01_46,treasurestory_helm_01,Choice,Locale_NikkeEpisode:treasurestory_helm_01_46,False,,10,10,1.0,,,,,helm,,,,1,angry,treasurestory_helm_01_47
treasurestory_helm_01_47,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_47,False,,10,10,1.0,,,,,helm,helm,,,1,idle,
treasurestory_helm_01_48,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_48,False,,10,100,1.5,sfx_scn_sit,,,,helm,,,,1,delight,
treasurestory_helm_01_49,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_49,False,,100,100,1.0,,,,,helm,,,,1,delight,
treasurestory_helm_01_50,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_50,False,,100,100,1.0,,,,,helm,,,,1,delight,
treasurestory_helm_01_51,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_51,True,,100,100,1.0,,,,,helm,helm,,,1,delight,
treasurestory_helm_01_52,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_52,False,,100,100,1.0,,,,,helm,,,,1,delight,
