id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,characters/0/hide_char_id,play_sound,set_camera_shake
d_nikke_brid_05_12,d_nikke_brid_05,Monologue,Locale_NikkeEpisode:d_nikke_brid_05_12,False,,black,black,1.0,none,brid,,,,,,brid,,
d_nikke_brid_05_13,d_nikke_brid_05,Narration,Locale_NikkeEpisode:d_nikke_brid_05_13,False,,black,black,1.0,,brid,,,,,,,sfx_scn_trainrun,Low_2
d_nikke_brid_05_14,d_nikke_brid_05,Monologue,Locale_NikkeEpisode:d_nikke_brid_05_14,False,,black,black,1.0,,brid,,,,,,,,
d_nikke_brid_05_15,d_nikke_brid_05,Monologue,Locale_NikkeEpisode:d_nikke_brid_05_15,False,,black,black,1.0,,brid,,,,,,,,
d_nikke_brid_05_16,d_nikke_brid_05,Monologue,Locale_NikkeEpisode:d_nikke_brid_05_16,False,,black,black,1.0,,brid,,,,,,,,
d_nikke_brid_05_17,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_17,False,,1,L_10,0.5,,brid,,,,,,,,
d_nikke_brid_05_18,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_18,True,,L_10,L_10,1.0,bgm_story_breakaway,brid,brid,brid,1,idle,,,,
d_nikke_brid_05_19,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_19,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_20,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_20,False,,L_10,L_10,1.0,,brid,,,1,idle,,,,
d_nikke_brid_05_21,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_21,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_22,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_22,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_23,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_23,False,,L_10,L_10,1.0,,brid,,,1,idle,,,,
d_nikke_brid_05_24,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_24,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_25,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_25,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_26,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_26,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_27,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_27,False,,L_10,L_10,1.0,,brid,,,1,idle,,,,
d_nikke_brid_05_28,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_28,True,,L_10,L_10,1.0,none,brid,brid,,1,idle,,,,
d_nikke_brid_05_29,d_nikke_brid_05,Narration,Locale_NikkeEpisode:d_nikke_brid_05_29,False,White,L_10,L_30,1.0,,brid,,,1,idle,,brid,,
d_nikke_brid_05_30,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_30,False,RoyalRoad,L_30,L_50,1.0,bgm_story_impression,brid,,,,,,,,
d_nikke_brid_05_31,d_nikke_brid_05,Monologue,Locale_NikkeEpisode:d_nikke_brid_05_31,False,,L_50,5,3.0,,brid,,,,,,,,
d_nikke_brid_05_32,d_nikke_brid_05,Monologue,Locale_NikkeEpisode:d_nikke_brid_05_32,False,,5,5,1.0,,brid,,,,,,,,
d_nikke_brid_05_33,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_33,False,,5,5,1.0,,brid,brid,,,,,,,
d_nikke_brid_05_34,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_34,True,,5,5,2.0,,brid,brid,,,,,,,
d_nikke_brid_05_35,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_35,True,,5,5,1.0,,brid,brid,,,,,,,
d_nikke_brid_05_36,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_36,True,,5,5,1.0,,brid,brid,,,,,,,
d_nikke_brid_05_37,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_37,True,,5,5,1.0,,brid,,,,,,,,
d_nikke_brid_05_38,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_38,True,,5,5,1.0,,brid,brid,,,,,,,
d_nikke_brid_05_39,d_nikke_brid_05,Narration,Locale_NikkeEpisode:d_nikke_brid_05_39,False,MachineRoom,5,1,2.0,,brid,,,,,,,,
d_nikke_brid_05_40,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_40,True,,1,L_10,1.0,,brid,brid,brid,1,idle,,,,
d_nikke_brid_05_41,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_41,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_42,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_42,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_43,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_43,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_44,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_44,False,,L_10,L_10,1.0,,brid,,,1,idle,,,,
d_nikke_brid_05_45,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_45,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_46,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_46,False,,L_10,L_10,1.0,,brid,,,1,idle,,,,
d_nikke_brid_05_47,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_47,False,,L_10,L_100,2.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_48,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_48,True,,L_100,L_100,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_49,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_49,True,,L_100,L_100,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_50,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_50,True,,L_100,L_100,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_51,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_51,False,,L_100,L_100,1.0,,brid,,,1,idle,,,,
d_nikke_brid_05_52,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_52,True,,L_100,L_100,1.0,,brid,brid,,1,delight,,,,
d_nikke_brid_05_53,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_53,True,,L_100,L_100,1.0,,brid,brid,,1,delight,,,,
d_nikke_brid_05_54,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_54,True,,L_100,L_100,1.0,,brid,brid,,1,delight,,,,
d_nikke_brid_05_55,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_55,True,,L_100,L_10,2.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_56,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_56,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_57,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_57,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_58,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_58,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_59,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_59,False,,L_10,L_10,1.0,,brid,,,1,idle,,,,
d_nikke_brid_05_60,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_60,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_61,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_61,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_62,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_62,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_63,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_63,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_64,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_64,False,,L_10,L_10,1.0,,brid,,,1,idle,,,,
d_nikke_brid_05_65,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_65,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_66,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_66,True,,L_10,L_10,1.0,,brid,brid,,1,idle,,,,
d_nikke_brid_05_67,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_67,False,,L_10,L_10,1.0,,brid,,,1,idle,,,,
d_nikke_brid_05_68,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_68,True,,L_10,L_10,1.0,,brid,brid,,1,delight,,,,
d_nikke_brid_05_69,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_69,True,,L_10,L_10,1.0,,brid,brid,,1,delight,,,,
d_nikke_brid_05_70,d_nikke_brid_05,Narration,Locale_NikkeEpisode:d_nikke_brid_05_70,False,,L_10,L_100,1.0,,brid,,,1,delight,,brid,,
d_nikke_brid_05_71,d_nikke_brid_05,Narration,Locale_NikkeEpisode:d_nikke_brid_05_71,False,White,L_100,1,2.0,,brid,,,,,,,,
d_nikke_brid_05_72,d_nikke_brid_05,Narration,Locale_NikkeEpisode:d_nikke_brid_05_72,False,,1,1,1.0,,brid,,,,,,,,
