id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id,set_filter_01,set_filter_02
d_nikke_trina_04_88,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_88,True,,10,10,1.0,,flora,,flora,,1,delight,,,Vignetting,Grey
d_nikke_trina_04_89,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_89,True,,10,100,1.3,,flora,,flora,,1,delight,,,Vignetting,Grey
d_nikke_trina_04_90,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_90,True,,100,100,1.0,,flora,,flora,,1,delight,,,Vignetting,Grey
d_nikke_trina_04_91,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_91,False,,black,black,1.0,,,,trina,trina,1,delight,,flora,Vignetting,Grey
d_nikke_trina_04_92,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_92,False,,L_10,L_10,1.0,,,,trina,,1,sad,,,,
d_nikke_trina_04_93,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_93,True,,L_10,L_10,1.0,,trina,,trina,,1,sad,,,,
d_nikke_trina_04_94,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_94,True,,L_10,L_10,1.0,,trina,,trina,,1,sad,,,,
d_nikke_trina_04_95,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_95,False,,L_10,L_10,1.0,,,,trina,,1,sad,,,,
d_nikke_trina_04_96,d_nikke_trina_04,Narration,Locale_NikkeEpisode:d_nikke_trina_04_96,False,,L_10,1,1.3,none,,sfx_scn_undress,trina,,1,sad,,,,
d_nikke_trina_04_97,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_97,False,,1,1,1.0,,trina,,trina,,1,think2,,,,
d_nikke_trina_04_98,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_98,False,,1,1,1.0,,,,trina,,1,think2,,,,
