id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_maiden_02_25,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_25,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_26,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_26,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_27,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_27,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_28,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_28,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_29,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_29,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_30,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_30,False,,S_10,S_10,1.0,,,,,maiden,,,1,idle
d_nikke_maiden_02_31,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_31,False,,S_10,S_10,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_32,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_32,False,,S_10,S_10,1.0,,,,,maiden,,,1,idle
d_nikke_maiden_02_33,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_33,True,,S_10,S_100,2.0,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_34,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_34,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_35,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_35,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_36,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_36,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_37,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_37,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_38,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_38,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_39,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_39,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_40,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_40,False,,S_100,S_100,1.0,,,,,maiden,,,1,idle
d_nikke_maiden_02_41,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_41,True,,S_100,S_10,0.5,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_42,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_42,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,angry
d_nikke_maiden_02_43,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_43,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_44,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_44,False,,S_10,S_10,1.0,,,,,maiden,,,1,shy
d_nikke_maiden_02_45,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_45,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_46,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_46,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_47,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_47,True,,S_10,S_100,0.5,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_48,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_48,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_49,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_49,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_50,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_50,False,,S_100,S_100,1.0,,,,,maiden,,,1,shy
d_nikke_maiden_02_51,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_51,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_52,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_52,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,delight
d_nikke_maiden_02_53,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_53,False,,S_100,S_100,1.0,,,,,maiden,,,1,delight
d_nikke_maiden_02_54,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_54,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_55,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_55,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_56,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_56,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_57,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_57,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_58,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_58,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_59,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_59,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_60,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_60,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_61,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_61,False,,S_100,S_100,1.0,,,,,maiden,,,1,idle
d_nikke_maiden_02_62,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_62,True,,S_100,S_10,2.0,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_63,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_63,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_64,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_64,False,,S_10,S_10,1.0,,,,,maiden,,,1,shy
d_nikke_maiden_02_65,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_65,False,,S_10,S_10,1.0,,,,,maiden,,,1,shy
d_nikke_maiden_02_66,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_66,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_67,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_67,False,,S_10,S_10,1.0,,,,,maiden,,,1,shy
d_nikke_maiden_02_68,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_68,False,,S_10,S_100,0.5,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_69,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_69,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,angry
d_nikke_maiden_02_70,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_70,False,,S_100,S_100,1.0,,,,,maiden,,,1,angry
d_nikke_maiden_02_71,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_71,True,,S_100,S_10,2.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_72,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_72,False,,S_10,S_10,1.0,,,,,maiden,,,1,idle
d_nikke_maiden_02_73,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_73,False,,S_10,S_10,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_74,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_74,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,shy
