id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_poli_04_12,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_12,True,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_13,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_13,False,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_14,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_14,True,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_15,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_15,True,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_16,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_16,False,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_17,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_17,True,,XS_100,XS_10,0.5,,,,,,,1,idle,,,,,
d_nikke_poli_04_18,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_18,True,Restaurant,30,30,1.0,,black,,,,,1,idle,poli,emma,3,surprise,
d_nikke_poli_04_19,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_19,True,,30,300,2.0,,,,,,poli,1,idle,,,3,delight,
d_nikke_poli_04_20,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_20,True,,XS_10,XS_100,0.5,,,,,,,1,angry,,,3,delight,
d_nikke_poli_04_21,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_21,True,,XS_100,2,2.0,,,,,,,1,idle,,,3,delight,
d_nikke_poli_04_22,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_22,True,,2,2,1.0,,,,,,,1,idle,,,3,idle,
d_nikke_poli_04_23,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_23,True,,2,30,1.0,,,,,,,1,idle,,,3,delight,
d_nikke_poli_04_24,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_24,True,,30,30,2.0,,,,,,,1,idle,,,3,special,
d_nikke_poli_04_25,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_25,True,,30,XS_10,2.0,,,,,,,1,surprise,,,3,idle,
d_nikke_poli_04_26,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_26,True,,30,30,1.0,,,,,,,1,surprise,,,3,idle,
d_nikke_poli_04_27,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_27,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,3,idle,
d_nikke_poli_04_28,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_28,False,,30,300,2.0,,,,,,,1,idle,,,3,worry,
d_nikke_poli_04_29,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_29,True,,300,300,1.0,,,,,,,1,idle,,,3,worry,
d_nikke_poli_04_30,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_30,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,3,worry,
d_nikke_poli_04_31,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_31,True,,300,300,1.0,,,,,,,1,idle,,,3,worry,
d_nikke_poli_04_32,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_32,True,,300,300,1.0,,,,,,,1,idle,,,3,worry,
d_nikke_poli_04_33,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_33,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,3,worry,
d_nikke_poli_04_34,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_34,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,3,worry,
d_nikke_poli_04_35,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_35,True,,300,30,2.0,,,,,,,1,idle,,,3,worry,
d_nikke_poli_04_36,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_36,True,,30,30,1.0,,,,,,,1,idle,,,3,worry,
d_nikke_poli_04_37,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_37,True,,30,30,1.0,none,,,,,,1,idle,,,3,worry,
d_nikke_poli_04_38,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_38,False,,30,XS_10,2.0,,,,,,,1,surprise,,,3,worry,
d_nikke_poli_04_39,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_39,False,,XS_10,XS_10,1.0,,,,,,,1,surprise,,,3,worry,
d_nikke_poli_04_40,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_40,True,,XS_10,2,1.0,,,,,,,1,angry,,,3,idle,
d_nikke_poli_04_41,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_41,True,,2,2,1.0,,,,,,,1,angry,,,3,idle,
d_nikke_poli_04_42,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_42,True,,2,2,1.0,,,,,,,1,angry,,,3,idle,
d_nikke_poli_04_43,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_43,True,,2,2,1.0,,,,,,,1,angry,,,3,idle,
d_nikke_poli_04_44,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_44,True,,2,XS_10,0.5,,,,,,,1,angry,,,3,idle,
d_nikke_poli_04_45,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_45,True,,30,30,1.0,,,,,,,1,angry,,,3,worry,
d_nikke_poli_04_46,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_46,True,,XS_10,XS_100,0.5,,,,,,,1,angry,,,3,worry,
d_nikke_poli_04_47,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_47,False,,XS_100,XS_100,1.0,,,,,,,1,angry,,,3,worry,
d_nikke_poli_04_48,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_48,True,,30,30,1.0,,,,,,,1,angry,,,3,worry,
d_nikke_poli_04_49,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_49,False,,30,2,1.0,,,,,,,1,angry,,,3,worry,
d_nikke_poli_04_50,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_50,True,,2,2,1.0,,,,,,,1,angry,,,3,worry,
d_nikke_poli_04_51,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_51,True,,2,2,1.0,,,,,,,1,angry,,,3,worry,
d_nikke_poli_04_52,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_52,True,,2,XS_10,2.0,bgm_story_tuffguys,,,,,,1,idle,,,3,worry,
d_nikke_poli_04_53,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_53,True,,30,30,1.0,,,,,,,1,idle,,,3,idle,
d_nikke_poli_04_54,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_54,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,3,idle,
d_nikke_poli_04_55,d_nikke_poli_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_poli_04_55,True,,XS_10,2,1.0,,,,,,,1,idle,,,3,delight,
d_nikke_poli_04_56,d_nikke_poli_04,Narration,poli,,Locale_NikkeEpisode:d_nikke_poli_04_56,False,,2,2,1.0,,,,,,,1,idle,,,,,emma
d_nikke_poli_04_57,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_57,False,,2,XS_10,2.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_58,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_58,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_59,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_59,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_60,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_60,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_61,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_61,True,,XS_10,XS_100,0.5,,,,,,,1,idle,,,,,
d_nikke_poli_04_62,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_62,True,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_63,d_nikke_poli_04,Choice,poli,,Locale_NikkeEpisode:d_nikke_poli_04_63,False,,XS_100,XS_100,1.0,,,d_nikke_poli_04_66,,,,1,idle,,,,,
d_nikke_poli_04_64,d_nikke_poli_04,Choice,poli,,Locale_NikkeEpisode:d_nikke_poli_04_64,False,,XS_100,XS_100,1.0,,,d_nikke_poli_04_70,,,,1,idle,,,,,
d_nikke_poli_04_65,d_nikke_poli_04,Choice,poli,,Locale_NikkeEpisode:d_nikke_poli_04_65,False,,XS_100,XS_100,1.0,,,d_nikke_poli_04_76,,,,1,idle,,,,,
d_nikke_poli_04_66,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_66,True,,XS_100,XS_10,0.5,,,,,,,1,delight,,,,,
d_nikke_poli_04_67,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_67,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,
d_nikke_poli_04_68,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_68,False,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,
d_nikke_poli_04_69,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_69,True,,XS_10,XS_10,1.0,,,d_nikke_poli_04_82,,,,1,idle,,,,,
d_nikke_poli_04_70,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_70,True,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_71,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_71,True,,XS_100,XS_10,0.5,,,,,,,1,idle,,,,,
d_nikke_poli_04_72,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_72,True,,XS_10,XS_10,1.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_73,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_73,True,,XS_10,XS_10,1.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_74,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_74,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_75,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_75,True,,XS_10,XS_10,1.0,,,d_nikke_poli_04_82,,,,1,idle,,,,,
d_nikke_poli_04_76,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_76,False,,XS_100,XS_10,2.0,,,,,,,1,surprise,,,,,
d_nikke_poli_04_77,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_77,False,,XS_10,XS_10,1.0,,,,,,,1,surprise,,,,,
d_nikke_poli_04_78,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_78,True,,XS_10,XS_10,1.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_79,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_79,False,,XS_10,XS_10,1.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_80,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_80,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_81,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_81,True,,XS_10,XS_10,1.0,,,d_nikke_poli_04_82,,,,1,idle,,,,,
d_nikke_poli_04_82,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_82,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_83,d_nikke_poli_04,Narration,poli,,Locale_NikkeEpisode:d_nikke_poli_04_83,False,,XS_10,XS_100,0.5,,,,sfx_scn_phonevibration,,,1,idle,,,,,
d_nikke_poli_04_84,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_84,True,,XS_100,XS_100,1.0,,,,,m_nikke_poli_04_01,,1,delight,,,,,
d_nikke_poli_04_85,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_85,True,,XS_100,XS_10,2.0,,,,,,,1,surprise,,,,,
d_nikke_poli_04_86,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_86,True,,XS_10,XS_10,1.0,,,,,,,1,surprise,,,,,
d_nikke_poli_04_87,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_87,False,,XS_10,XS_10,1.0,,,,,,,1,surprise,,,,,
d_nikke_poli_04_88,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_88,True,,XS_10,XS_100,0.5,,,,,,,1,angry,,,,,
d_nikke_poli_04_89,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_89,True,,XS_100,XS_100,1.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_90,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_90,False,,XS_100,XS_100,1.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_91,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_91,True,,XS_100,XS_10,2.0,,,,,,,1,surprise,,,,,
d_nikke_poli_04_92,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_92,True,,XS_10,XS_10,1.0,,,,,,,1,surprise,,,,,
d_nikke_poli_04_93,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_93,False,,XS_10,XS_10,1.0,,,,,,,1,surprise,,,,,
d_nikke_poli_04_94,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_94,True,,XS_10,XS_100,0.5,,,,,,,1,angry,,,,,
d_nikke_poli_04_95,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_95,False,,XS_100,XS_100,1.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_96,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_96,True,,XS_100,XS_100,1.0,,,,,m_nikke_poli_04_02,,1,delight,,,,,
d_nikke_poli_04_97,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_97,True,,XS_100,XS_10,2.0,,,,,,,1,surprise,,,,,
d_nikke_poli_04_98,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_98,False,,XS_10,XS_10,1.0,,,,,,,1,surprise,,,,,
d_nikke_poli_04_99,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_99,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_100,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_100,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_101,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_101,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_102,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_102,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_103,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_103,True,,XS_10,XS_100,0.5,,,,,,,1,delight,,,,,
d_nikke_poli_04_104,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_104,True,,black,black,1.0,bgm_story_fairytalesend_a,,,,,,1,delight,poli,,,,
d_nikke_poli_04_105,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_105,True,,black,black,1.0,,,,,,,,,,,,,
d_nikke_poli_04_106,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_106,True,,black,black,1.0,,,,,,,,,,,,,
d_nikke_poli_04_107,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_107,False,RoyalRoad,black,black,1.0,,,,,,,,,,,,,
d_nikke_poli_04_108,d_nikke_poli_04,Narration,poli,,Locale_NikkeEpisode:d_nikke_poli_04_108,False,,5,1,2.0,,,,,,,,,,,,,
d_nikke_poli_04_109,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_109,False,,1,XS_10,2.0,,,,,,poli,1,idle,,,,,
d_nikke_poli_04_110,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_110,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_111,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_111,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_112,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_112,True,,XS_10,XS_10,1.0,,,,,,,1,surprise,,,,,
d_nikke_poli_04_113,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_113,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_114,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_114,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_115,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_115,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_116,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_116,True,,XS_10,XS_100,0.5,,,,,,,1,delight,,,,,
d_nikke_poli_04_117,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_117,True,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_118,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_118,False,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_119,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_119,True,,XS_100,XS_10,0.5,,,,,,,1,idle,,,,,
