id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,fade,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,jump_target,effects/0/stop_effect_id,characters/0/hide_char_id
d_nikke_rupee_03_11,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_11,True,,,L_10,L_10,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_12,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_12,True,,,L_10,L_10,1.0,,,,rupee,,1,shy,,,,d_nikke_rupee_03_15,,
d_nikke_rupee_03_13,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_13,False,,,L_10,L_10,1.0,,,,rupee,,1,surprise,,,,,,
d_nikke_rupee_03_14,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_14,True,,,L_10,L_10,1.0,,,,rupee,,1,shy,,,,,,
d_nikke_rupee_03_15,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_15,True,,,L_10,1,2.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_16,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_16,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_17,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_17,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_18,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_18,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_19,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_19,True,,,1,15,2.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_20,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_20,True,,,15,15,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_21,d_nikke_rupee_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_03_21,False,Storage,,black,black,1.0,,,,,,1,idle,,,,,,
d_nikke_rupee_03_22,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_22,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_23,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_23,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_24,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_24,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_25,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_25,True,,,1,1,1.0,,,,rupee,,1,sad,,,,,,
d_nikke_rupee_03_26,d_nikke_rupee_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_03_26,False,,,1,1,1.0,,,,,,1,sad,,,,,fx_Eventscene_camera_recording,
d_nikke_rupee_03_27,d_nikke_rupee_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_rupee_03_27,False,,m_nikke_rupee_03_02,1,1,1.0,sfx_scn_phonevibration,none,,,,1,sad,,,,,,rupee
d_nikke_rupee_03_28,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_28,True,RoyalRoad,,1,1,1.0,,bgm_story_sundayintheark,black,rupee,rupee,1,idle,fx_Eventscene_camera_recording,rec,True,,,
d_nikke_rupee_03_29,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_29,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_30,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_30,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_31,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_31,True,,,1,L_10,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_32,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_32,True,,,L_10,L_10,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_33,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_33,True,,,L_10,1,2.0,,none,black,rupee,,1,idle,,,,,fx_Eventscene_camera_recording,
d_nikke_rupee_03_34,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_34,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_35,d_nikke_rupee_03,Choice,,Locale_NikkeEpisode:d_nikke_rupee_03_35,False,,,1,1,1.0,,,,rupee,,1,idle,,,,d_nikke_rupee_03_37,,
d_nikke_rupee_03_36,d_nikke_rupee_03,Choice,,Locale_NikkeEpisode:d_nikke_rupee_03_36,False,,,1,1,1.0,,,,rupee,,1,idle,,,,d_nikke_rupee_03_37,,
d_nikke_rupee_03_37,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_37,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_38,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_38,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_39,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_39,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_40,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_40,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_41,d_nikke_rupee_03,Choice,,Locale_NikkeEpisode:d_nikke_rupee_03_41,False,,,1,1,1.0,,,,rupee,,1,idle,,,,d_nikke_rupee_03_43,,
d_nikke_rupee_03_42,d_nikke_rupee_03,Choice,,Locale_NikkeEpisode:d_nikke_rupee_03_42,False,,,1,1,1.0,,,,rupee,,1,idle,,,,d_nikke_rupee_03_44,,
d_nikke_rupee_03_43,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_43,True,,,1,L_10,1.0,,,,rupee,,1,sad,,,,d_nikke_rupee_03_45,,
d_nikke_rupee_03_44,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_44,True,,,1,L_10,1.0,,,,rupee,,1,sad,,,,,,
d_nikke_rupee_03_45,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_45,True,,,L_10,L_10,1.0,,,,rupee,,1,sad,,,,,,
d_nikke_rupee_03_46,d_nikke_rupee_03,Self,Self,Locale_NikkeEpisode:d_nikke_rupee_03_46,False,,,L_10,L_10,1.0,,,,rupee,,1,sad,,,,,,
d_nikke_rupee_03_47,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_47,True,,,L_10,L_10,1.0,,bgm_story_fairytalesend_if,,rupee,,1,surprise,,,,,,
d_nikke_rupee_03_48,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_48,True,,,L_10,L_10,1.0,,,,rupee,,1,sad,,,,,,
d_nikke_rupee_03_49,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_49,True,,,L_10,L_10,1.0,,,,rupee,,1,sad,,,,,,
d_nikke_rupee_03_50,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_50,True,,,L_10,L_10,1.0,,,,rupee,,1,angry,,,,,,
d_nikke_rupee_03_51,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_51,False,,,L_10,L_10,1.0,,,,rupee,,1,angry,,,,,,
d_nikke_rupee_03_52,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_52,True,,,L_10,L_10,1.0,,,,rupee,,1,sad,,,,,,
