id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,set_camera_shake,play_sound,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_drake_03_108,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_108,False,,10,10,1.0,,,,,,,,drake,1,no
d_nikke_drake_03_109,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_109,False,,10,10,1.0,,,,,,,,,1,no
d_nikke_drake_03_110,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_110,True,ShoppingMall,black,black,1.0,,,,,,Grey,Vignetting,,1,delight
d_nikke_drake_03_111,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_111,True,,10,10,1.0,,,,,,Grey,Vignetting,,1,delight
d_nikke_drake_03_112,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_112,True,,10,10,1.0,,,,,,Grey,Vignetting,,1,delight
d_nikke_drake_03_113,d_nikke_drake_03,Narration,,,Locale_NikkeEpisode:d_nikke_drake_03_113,False,CommanderRoom,black,black,1.0,,,,,,,,,1,no
d_nikke_drake_03_114,d_nikke_drake_03,Narration,,,Locale_NikkeEpisode:d_nikke_drake_03_114,False,,black,black,1.0,,,,,,,,,1,no
d_nikke_drake_03_115,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_115,False,,10,10,1.0,,,,,,,,,1,no
d_nikke_drake_03_116,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_116,True,,10,10,1.0,,,,,,,,,1,no
d_nikke_drake_03_117,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_117,True,,10,100,1.0,,,,,,,,,1,no
d_nikke_drake_03_118,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_118,True,,100,100,1.0,,,,,,,,,1,no
d_nikke_drake_03_119,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_119,True,,100,100,1.0,,,,,,,,,1,no
d_nikke_drake_03_120,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_120,True,,100,10,1.0,,,,,,,,,1,no
d_nikke_drake_03_121,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_121,True,,10,10,1.0,,,,,,,,,1,no
d_nikke_drake_03_122,d_nikke_drake_03,Narration,,,Locale_NikkeEpisode:d_nikke_drake_03_122,False,,black,black,1.0,,,,,,,,,1,no
d_nikke_drake_03_123,d_nikke_drake_03,Narration,,,Locale_NikkeEpisode:d_nikke_drake_03_123,False,,black,black,1.0,,,,,,,,,1,no
d_nikke_drake_03_124,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_124,True,,black,black,1.0,,,,,,,,,1,no
d_nikke_drake_03_125,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_125,True,,10,10,1.0,,,,,,,,,1,angry
d_nikke_drake_03_126,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_126,True,,10,100,0.5,,,,Low_2,,,,,1,angry
d_nikke_drake_03_127,d_nikke_drake_03,Choice,,,Locale_NikkeEpisode:d_nikke_drake_03_127,False,,100,100,1.0,,d_nikke_drake_03_129,,,,,,,1,angry
d_nikke_drake_03_128,d_nikke_drake_03,Choice,,,Locale_NikkeEpisode:d_nikke_drake_03_128,False,,100,100,1.0,,d_nikke_drake_03_129,,,,,,,1,angry
d_nikke_drake_03_129,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_129,False,,100,100,1.0,none,,,,,,,,1,angry
d_nikke_drake_03_130,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_130,True,,100,100,1.0,,,,,,,,,1,angry
d_nikke_drake_03_131,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_131,True,,100,100,1.0,,,,,,,,,1,angry
