id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,fade
d_nikke_delta_04_36,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_36,True,,20,20,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_37,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_37,True,,20,1,0.8,,delta,delta,,2,idle,,12,delight,,,,,
d_nikke_delta_04_38,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_38,True,,1,1,1.0,,delta,delta,,2,idle,,12,idle,,,,,
d_nikke_delta_04_39,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_39,True,,1,1,1.0,,delta,delta,,2,idle,,12,idle,,,,,
d_nikke_delta_04_40,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_40,True,,1,1,1.0,,crow,crow,,2,smile,,12,idle,,,,,
d_nikke_delta_04_41,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_41,False,,1,1,1.0,,crow,,,2,smile,,12,idle,d_nikke_delta_04_43,,,,
d_nikke_delta_04_42,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_42,False,,1,1,1.0,,crow,,,2,smile,,12,idle,d_nikke_delta_04_43,,,,
d_nikke_delta_04_43,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_43,True,,1,1,1.0,,delta,delta,,2,smile,,12,think,,,,,
d_nikke_delta_04_44,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_44,True,,1,1,1.0,,delta,delta,,2,smile,,12,delight,,,,,
d_nikke_delta_04_45,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_45,True,,1,1,1.0,,delta,delta,,2,idle,,12,idle,,,,,
d_nikke_delta_04_46,d_nikke_delta_04,Monologue,Locale_NikkeEpisode:d_nikke_delta_04_46,False,OuterRim,black,black,1.0,,delta,,,,,,1,idle,,crow,,,
d_nikke_delta_04_47,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_47,True,,1,1,1.0,,delta,delta,,,,,1,idle,,,,,
d_nikke_delta_04_48,d_nikke_delta_04,Self,Locale_NikkeEpisode:d_nikke_delta_04_48,False,,1,1,1.0,,delta,,,,,,1,idle,,,,,
d_nikke_delta_04_49,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_49,True,,1,1,1.0,,delta,delta,,,,,1,idle,,,,,
d_nikke_delta_04_50,d_nikke_delta_04,Narration,Locale_NikkeEpisode:d_nikke_delta_04_50,False,Bar,black,black,1.0,none,,,,,,,1,idle,,,,sfx_scn_rustydooropen,
d_nikke_delta_04_51,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_51,True,,5,5,1.0,,trafficker,trafficker,,,,,1,idle,,,,,
d_nikke_delta_04_52,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_52,False,,5,5,1.0,,,,,,,,1,idle,d_nikke_delta_04_54,,,,
d_nikke_delta_04_53,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_53,False,,5,5,1.0,,,,,,,,1,idle,d_nikke_delta_04_54,,,,
d_nikke_delta_04_54,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_54,False,,5,1,1.0,,trafficker,trafficker,,,,,1,idle,,,,,
d_nikke_delta_04_55,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_55,False,,1,1,1.0,,trafficker,trafficker,,,,,1,idle,,,,,
d_nikke_delta_04_56,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_56,False,,1,8,1.0,,youngman,youngman,,,,,1,idle,,,,,
d_nikke_delta_04_57,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_57,False,,8,8,1.0,,youngman,youngman,,,,,1,idle,,,,,
d_nikke_delta_04_58,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_58,False,,8,5,0.5,,trafficker,trafficker,,,,,1,idle,,,,,
d_nikke_delta_04_59,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_59,False,,5,5,1.0,,trafficker,trafficker,,,,,1,idle,,,,,
d_nikke_delta_04_60,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_60,True,,5,1,0.5,bgm_story_tuffguys,delta,delta,,,,,1,idle,,,,,
d_nikke_delta_04_61,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_61,False,,1,1,1.0,,delta,trafficker,,,,,1,idle,,,,,
d_nikke_delta_04_62,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_62,True,,1,10,0.5,,delta,delta,,,,,1,angry,,,,,
d_nikke_delta_04_63,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_63,False,,10,10,1.0,,delta,trafficker,,,,,1,angry,,,,,
d_nikke_delta_04_64,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_64,True,,10,100,0.5,,delta,delta,,,,,1,idle,,,,,
d_nikke_delta_04_65,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_65,True,,100,100,1.0,,delta,delta,,,,,1,idle,,,,,
d_nikke_delta_04_66,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_66,False,,100,5,1.0,,delta,,,,,,1,idle,d_nikke_delta_04_68,,,,
d_nikke_delta_04_67,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_67,False,,5,5,1.0,,delta,,,,,,1,idle,d_nikke_delta_04_68,,,,
d_nikke_delta_04_68,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_68,False,,5,5,0.7,,youngman,youngman,,,,,1,idle,,,,,
d_nikke_delta_04_69,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_69,False,,5,5,1.0,,youngman,youngman,,,,,1,idle,,,,,
d_nikke_delta_04_70,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_70,True,,1,10,0.5,,delta,delta,,,,,1,angry,,,,,
d_nikke_delta_04_71,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_71,True,,10,10,1.0,,delta,delta,,,,,1,angry,,,,,
d_nikke_delta_04_72,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_72,True,,10,10,1.0,,delta,delta,,,,,1,angry,,,,,
d_nikke_delta_04_73,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_73,True,,10,10,1.0,,delta,delta,,,,,1,angry,,,,,
d_nikke_delta_04_74,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_74,False,,10,5,0.7,,youngman,youngman,,,,,1,angry,,,,,
d_nikke_delta_04_75,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_75,False,,5,5,1.0,,youngman,youngman,,,,,1,idle,,,,,
d_nikke_delta_04_76,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_76,False,,5,5,1.0,,,,,,,,1,idle,d_nikke_delta_04_78,,,,
d_nikke_delta_04_77,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_77,False,,5,5,1.0,,,,,,,,1,idle,d_nikke_delta_04_78,,,,
d_nikke_delta_04_78,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_78,False,,5,5,1.0,,trafficker,trafficker,,,,,1,idle,,,,,
d_nikke_delta_04_79,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_79,False,,5,8,0.5,,youngman,youngman,,,,,1,idle,,,,,
d_nikke_delta_04_80,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_80,False,,8,8,1.0,,youngman,youngman,,,,,1,idle,,,,,
d_nikke_delta_04_81,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_81,False,,8,5,0.5,,trafficker,trafficker,,,,,1,idle,,,,,
d_nikke_delta_04_82,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_82,False,,5,1,1.0,,trafficker,trafficker,,,,,1,idle,,,,,
d_nikke_delta_04_83,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_83,True,OuterRim,2,2,1.0,bgm_story_orangepop,crow,crow,crow,2,idle,,12,idle,,,delta,,black
d_nikke_delta_04_84,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_84,True,,2,1,1.0,,delta,delta,,2,idle,delta,12,delight,,,,,
d_nikke_delta_04_85,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_85,False,,1,1,1.0,,delta,,,2,idle,,12,delight,d_nikke_delta_04_87,,,,
d_nikke_delta_04_86,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_86,False,,1,1,1.0,,delta,,,2,idle,,12,delight,d_nikke_delta_04_87,,,,
d_nikke_delta_04_87,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_87,True,,1,120,1.0,,delta,delta,,2,idle,,12,surprise,,,,,
d_nikke_delta_04_88,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_88,True,,120,120,1.0,,delta,delta,,2,idle,,12,delight,,,,,
d_nikke_delta_04_89,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_89,True,,120,120,1.0,,delta,delta,,2,idle,,12,delight,,,,,
d_nikke_delta_04_90,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_90,True,,120,120,1.0,,delta,delta,,2,idle,,12,delight,,,,,
d_nikke_delta_04_91,d_nikke_delta_04,Self,Locale_NikkeEpisode:d_nikke_delta_04_91,False,Backstreet_n,black,black,1.0,,delta,,,2,idle,,12,delight,,,,,
d_nikke_delta_04_92,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_92,True,,20,20,1.0,bgm_distress,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_93,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_93,True,,20,20,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_94,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_94,True,,20,1,1.0,,delta,delta,,2,idle,,12,delight,,,,,
d_nikke_delta_04_95,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_95,True,,1,1,1.0,,crow,crow,,2,idle,,12,delight,,,,,
d_nikke_delta_04_96,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_96,True,,1,1,1.0,,delta,delta,,2,idle,,12,surprise,,,,,
d_nikke_delta_04_97,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_97,True,,1,1,1.0,,crow,crow,,2,smile,,12,surprise,,,,,
d_nikke_delta_04_98,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_98,True,,1,1,1.0,,crow,crow,,2,smile,,12,surprise,,,,,
d_nikke_delta_04_99,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_99,True,,1,1,1.0,,crow,crow,,2,smile,,12,surprise,,,,,
d_nikke_delta_04_100,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_100,True,,1,1,1.0,,crow,crow,,2,smile,,12,surprise,,,,,
d_nikke_delta_04_101,d_nikke_delta_04,Self,Locale_NikkeEpisode:d_nikke_delta_04_101,False,,1,1,1.0,,crow,,,2,smile,,12,idle,,,,,
d_nikke_delta_04_102,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_102,True,,1,20,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_103,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_103,True,,20,20,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_104,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_104,True,,20,20,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_105,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_105,True,,20,20,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_106,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_106,True,,20,20,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_107,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_107,True,,20,20,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_108,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_108,True,,20,20,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_109,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_109,True,,20,120,1.0,,delta,delta,,2,idle,,12,idle,,,,,
d_nikke_delta_04_110,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_110,True,,120,120,1.0,,delta,delta,,2,idle,,12,think,,,,,
d_nikke_delta_04_111,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_111,True,,120,120,1.0,,delta,delta,,2,idle,,12,delight,,,,,
