id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_quency_03_14,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_14,True,,10,10,1.0,,d_nikke_quency_03_15,,,,1,idle
d_nikke_quency_03_15,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_15,True,,10,100,1.0,,,,,,1,surprise
d_nikke_quency_03_16,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_16,False,,100,100,1.0,,,,,,1,surprise
d_nikke_quency_03_17,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_17,True,,100,100,1.0,,,,,,1,idle
d_nikke_quency_03_18,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_18,True,,100,100,1.0,,,,,,1,idle
d_nikke_quency_03_19,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_19,True,,100,10,1.0,,,,,,1,idle
d_nikke_quency_03_20,d_nikke_quency_03,Choice,,,Locale_NikkeEpisode:d_nikke_quency_03_20,False,,10,10,1.0,,d_nikke_quency_03_22,,,,1,idle
d_nikke_quency_03_21,d_nikke_quency_03,Choice,,,Locale_NikkeEpisode:d_nikke_quency_03_21,False,,10,10,1.0,,d_nikke_quency_03_23,,,,1,idle
d_nikke_quency_03_22,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_22,True,,10,10,1.0,,d_nikke_quency_03_24,,,,1,delight
d_nikke_quency_03_23,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_23,True,,10,10,1.0,,d_nikke_quency_03_24,,,,1,idle
d_nikke_quency_03_24,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_24,True,,10,10,1.0,,,,,,1,delight
d_nikke_quency_03_25,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_25,False,,10,10,1.0,,,,,,1,delight
d_nikke_quency_03_26,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_26,True,,10,100,1.0,,,,,,1,idle
d_nikke_quency_03_27,d_nikke_quency_03,Choice,,,Locale_NikkeEpisode:d_nikke_quency_03_27,False,,100,100,1.0,,d_nikke_quency_03_29,,,,1,idle
d_nikke_quency_03_28,d_nikke_quency_03,Choice,,,Locale_NikkeEpisode:d_nikke_quency_03_28,False,,100,100,1.0,,d_nikke_quency_03_30,,,,1,idle
d_nikke_quency_03_29,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_29,True,,100,100,1.0,,d_nikke_quency_03_31,,,,1,idle
d_nikke_quency_03_30,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_30,True,,100,100,1.0,,d_nikke_quency_03_31,,,,1,idle
d_nikke_quency_03_31,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_31,True,,100,100,1.0,,,,,,1,delight
d_nikke_quency_03_32,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_32,True,,100,100,1.0,,,,,,1,idle
d_nikke_quency_03_33,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_33,True,,100,100,1.0,,,,,,1,idle
d_nikke_quency_03_34,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_34,True,,100,10,1.0,,,,,,1,delight
d_nikke_quency_03_35,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_35,True,,10,10,1.0,none,,,,,1,idle
d_nikke_quency_03_36,d_nikke_quency_03,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_03_36,False,,black,black,1.0,bgm_story_fairytalesend_if,,black,,,1,idle
d_nikke_quency_03_37,d_nikke_quency_03,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_03_37,False,ArkRuinIndoor,black,black,1.0,,,,,,1,idle
d_nikke_quency_03_38,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_38,True,,1,1,1.0,,,,,,1,idle
d_nikke_quency_03_39,d_nikke_quency_03,Speech,dealprisoner,dealprisoner,Locale_NikkeEpisode:d_nikke_quency_03_39,True,,1,1,1.0,,,,,,1,idle
d_nikke_quency_03_40,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_40,True,,1,3,1.0,,,,,,3,idle
d_nikke_quency_03_41,d_nikke_quency_03,Speech,happyprisoner,happyprisoner,Locale_NikkeEpisode:d_nikke_quency_03_41,True,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_42,d_nikke_quency_03,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_03_42,False,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_43,d_nikke_quency_03,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_03_43,False,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_44,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_44,False,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_45,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_45,True,,3,30,1.0,,,,,,3,idle
d_nikke_quency_03_46,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_46,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_47,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_47,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_48,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_48,False,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_49,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_49,True,,30,3,1.0,,,,,,3,idle
d_nikke_quency_03_50,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_50,False,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_51,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_51,True,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_52,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_52,True,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_53,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_53,True,,3,5,1.0,,,,,,3,idle
d_nikke_quency_03_54,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_54,True,,5,5,1.0,,,,,,3,idle
d_nikke_quency_03_55,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_55,True,,5,5,1.0,,,,,,3,idle
d_nikke_quency_03_56,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_56,True,,5,3,1.0,,,,,,3,idle
d_nikke_quency_03_57,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_57,True,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_58,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_58,True,,3,30,1.0,,,,,,3,idle
d_nikke_quency_03_59,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_59,True,,30,30,1.0,,,,,,3,delight
d_nikke_quency_03_60,d_nikke_quency_03,Choice,,,Locale_NikkeEpisode:d_nikke_quency_03_60,False,,30,30,1.0,,d_nikke_quency_03_62,,,,3,delight
d_nikke_quency_03_61,d_nikke_quency_03,Choice,,,Locale_NikkeEpisode:d_nikke_quency_03_61,False,,30,30,1.0,,d_nikke_quency_03_62,,,,3,delight
d_nikke_quency_03_62,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_62,True,,30,3,1.0,,,,,,3,idle
d_nikke_quency_03_63,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_63,True,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_64,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_64,True,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_65,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_65,True,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_66,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_66,True,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_67,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_67,False,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_68,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_68,True,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_69,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_69,True,,3,30,1.0,,,,,,3,idle
d_nikke_quency_03_70,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_70,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_71,d_nikke_quency_03,Speech,timidprisone,timidprisone,Locale_NikkeEpisode:d_nikke_quency_03_71,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_72,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_72,True,,30,300,1.0,,,,,,3,idle
d_nikke_quency_03_73,d_nikke_quency_03,Speech,timidprisone,timidprisone,Locale_NikkeEpisode:d_nikke_quency_03_73,True,,300,300,1.0,,,,,,3,idle
d_nikke_quency_03_74,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_74,True,,300,300,1.0,,,,,,3,idle
d_nikke_quency_03_75,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_75,True,,300,30,1.0,,,,,,3,idle
d_nikke_quency_03_76,d_nikke_quency_03,Speech,timidprisone,timidprisone,Locale_NikkeEpisode:d_nikke_quency_03_76,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_77,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_77,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_78,d_nikke_quency_03,Speech,poorprisoner,poorprisoner,Locale_NikkeEpisode:d_nikke_quency_03_78,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_79,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_79,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_80,d_nikke_quency_03,Speech,poorprisoner,poorprisoner,Locale_NikkeEpisode:d_nikke_quency_03_80,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_81,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_81,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_82,d_nikke_quency_03,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_03_82,False,,black,black,1.0,,,,,,3,idle
d_nikke_quency_03_83,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_83,True,,7,7,1.0,,,,,,3,idle
d_nikke_quency_03_84,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_84,True,,7,7,1.0,,,,,,3,idle
d_nikke_quency_03_85,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_85,True,,7,7,1.0,,,,,,3,idle
d_nikke_quency_03_86,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_86,False,,7,7,1.0,,,,,,3,idle
d_nikke_quency_03_87,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_87,True,,7,3,1.0,,,,,,3,idle
d_nikke_quency_03_88,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_88,False,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_89,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_89,True,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_90,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_90,False,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_91,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_91,True,,3,30,1.0,none,,,,,3,idle
d_nikke_quency_03_92,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_92,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_93,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_93,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_94,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_94,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_95,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_95,True,,30,30,1.0,,,,,,3,idle
d_nikke_quency_03_96,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_96,True,,50,50,1.0,,,,,,3,idle
d_nikke_quency_03_97,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_97,True,,50,50,1.0,,,,,,3,idle
d_nikke_quency_03_98,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_98,True,,30,30,1.0,none,,,,,3,sad
d_nikke_quency_03_99,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_99,True,,50,50,1.0,,,,,,3,sad
d_nikke_quency_03_100,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_100,True,,50,50,1.0,,,,,,3,sad
d_nikke_quency_03_101,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_101,True,,30,30,1.0,,,,,,3,sad
d_nikke_quency_03_102,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_102,True,,30,50,1.0,bgm_enemyclose,,,,,3,sad
d_nikke_quency_03_103,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_103,True,,50,50,1.0,,,,,,3,sad
d_nikke_quency_03_104,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_104,True,,50,50,1.0,,,,,,3,sad
d_nikke_quency_03_105,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_105,True,,50,50,1.0,,,,,,3,sad
d_nikke_quency_03_106,d_nikke_quency_03,Choice,,,Locale_NikkeEpisode:d_nikke_quency_03_106,False,,50,50,1.0,,d_nikke_quency_03_108,,,,3,sad
d_nikke_quency_03_107,d_nikke_quency_03,Choice,,,Locale_NikkeEpisode:d_nikke_quency_03_107,False,,50,50,1.0,,d_nikke_quency_03_108,,,,3,sad
d_nikke_quency_03_108,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_108,True,,50,5,1.0,,,,,,3,sad
d_nikke_quency_03_109,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_109,True,,5,3,1.0,,,,Low_2,,3,surprise
d_nikke_quency_03_110,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_110,True,,3,3,1.0,,,,,,3,surprise
d_nikke_quency_03_111,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_111,False,,3,3,1.0,,,,,,3,surprise
d_nikke_quency_03_112,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_112,True,,3,3,1.0,,,,,,3,surprise
d_nikke_quency_03_113,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_113,True,,3,3,1.0,,,,,,3,surprise
d_nikke_quency_03_114,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_114,True,,3,5,1.0,,,,,,3,surprise
d_nikke_quency_03_115,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_115,True,,5,5,1.0,,,,,,3,surprise
d_nikke_quency_03_116,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_116,True,,5,5,1.0,,,,,,3,surprise
d_nikke_quency_03_117,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_117,True,,5,3,1.0,,,,,,3,surprise
d_nikke_quency_03_118,d_nikke_quency_03,Speech,poorprisoner,poorprisoner,Locale_NikkeEpisode:d_nikke_quency_03_118,True,,3,3,1.0,,,,,,3,surprise
d_nikke_quency_03_119,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_119,True,,3,3,1.0,,,,,,3,surprise
d_nikke_quency_03_120,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_120,True,,3,5,1.0,,,,,,3,surprise
d_nikke_quency_03_121,d_nikke_quency_03,Speech,poorprisoner,poorprisoner,Locale_NikkeEpisode:d_nikke_quency_03_121,True,,5,5,1.0,,,,,,3,surprise
d_nikke_quency_03_122,d_nikke_quency_03,Speech,drunkprisoner,drunkprisoner,Locale_NikkeEpisode:d_nikke_quency_03_122,True,,5,5,1.0,,,,,,3,surprise
d_nikke_quency_03_123,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_123,True,,5,5,1.0,,,,,,3,surprise
d_nikke_quency_03_124,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_124,True,,5,5,1.0,,,,,,3,surprise
d_nikke_quency_03_125,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_125,True,,5,3,1.0,,,,,,3,surprise
d_nikke_quency_03_126,d_nikke_quency_03,Speech,leaderprisoner,leaderprisoner,Locale_NikkeEpisode:d_nikke_quency_03_126,True,,3,3,1.0,none,,,,,3,surprise
d_nikke_quency_03_127,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_127,True,,3,3,1.0,,,,,,3,idle
d_nikke_quency_03_128,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_128,False,Jail,3,1,1.0,,,black,,,1,idle
d_nikke_quency_03_129,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_129,True,,1,1,1.0,bgm_story_breakaway,,,Low_2,,1,sad
d_nikke_quency_03_130,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_130,True,,1,100,1.0,,,,,,1,sad
d_nikke_quency_03_131,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_131,False,,100,100,1.0,,,,,,1,sad
d_nikke_quency_03_132,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_132,True,,100,10,1.0,,,,,,1,delight
d_nikke_quency_03_133,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_133,True,,10,10,1.0,,,,,,1,delight
d_nikke_quency_03_134,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_134,True,,10,10,1.0,,,,,,1,sad
d_nikke_quency_03_135,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_135,False,,10,10,1.0,,,,,,1,sad
d_nikke_quency_03_136,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_136,True,,10,10,1.0,,,,,,1,idle
d_nikke_quency_03_137,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_137,True,,10,100,1.0,,,,,,1,idle
d_nikke_quency_03_138,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_138,True,,100,100,1.0,,,,,,1,idle
d_nikke_quency_03_139,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_139,True,,100,100,1.0,,,,,,1,idle
d_nikke_quency_03_140,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_140,False,,100,100,1.0,,,,,,1,idle
d_nikke_quency_03_141,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_141,True,,100,10,1.0,,,,,,1,idle
d_nikke_quency_03_142,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_142,True,,10,10,1.0,,,,,,1,idle
d_nikke_quency_03_143,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_143,True,,10,1,1.0,,,,,,1,idle
d_nikke_quency_03_144,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_144,True,,1,1,1.0,,,,,,1,idle
d_nikke_quency_03_145,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_145,False,,1,1,1.0,,,,,,1,idle
d_nikke_quency_03_146,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_146,True,,1,10,1.0,,,,,,1,idle
d_nikke_quency_03_147,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_147,False,,10,10,1.0,,,,,,1,idle
d_nikke_quency_03_148,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_148,True,,10,10,1.0,,,,,,1,idle
d_nikke_quency_03_149,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_149,False,,10,10,1.0,,,,,,1,idle
d_nikke_quency_03_150,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_150,True,,10,10,1.0,,,,,,1,idle
d_nikke_quency_03_151,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_151,False,,10,10,1.0,,,,,,1,idle
d_nikke_quency_03_152,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_152,True,,10,100,1.0,,,,,,1,idle
d_nikke_quency_03_153,d_nikke_quency_03,Self,,,Locale_NikkeEpisode:d_nikke_quency_03_153,False,,100,100,1.0,,,,,,1,idle
d_nikke_quency_03_154,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_154,True,,100,100,1.0,,,,,,1,idle
d_nikke_quency_03_155,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_155,True,,100,10,1.0,,,,,,1,idle
d_nikke_quency_03_156,d_nikke_quency_03,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_03_156,True,,10,10,1.0,,,,,,1,idle
