id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/1/hide_char_id,play_sound,characters/0/hide_char_id,set_filter_01,fade
d_nikke_mica_01_11,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_11,True,,113,113,1.0,,,13,idle,,1,idle,mica,mica,,,,,
d_nikke_mica_01_12,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_12,True,,113,113,1.0,,,13,delight,,1,idle,belorta,belorta,,,,,
d_nikke_mica_01_13,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_13,False,,black,black,1.0,,,13,delight,,1,idle,,,belorta,,,,
d_nikke_mica_01_14,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_14,False,,black,black,1.0,,,13,delight,,1,idle,,,,,,,
d_nikke_mica_01_15,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_15,False,,black,black,1.0,,,13,idle,,1,idle,,,,,,,
d_nikke_mica_01_16,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_16,False,,black,black,1.0,,belorta,13,idle,,1,idle,,,,,,,
d_nikke_mica_01_17,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_17,True,,113,113,1.0,,,13,idle,,1,idle,belorta,belorta,,,,,
d_nikke_mica_01_18,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_18,True,,113,113,1.0,,,13,idle,,1,worry,mica,mica,,,,,
d_nikke_mica_01_19,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_19,True,,113,113,1.0,,,13,delight,,1,worry,belorta,belorta,,,,,
d_nikke_mica_01_20,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_20,False,,black,black,1.0,,,13,idle,,1,worry,,,,,,,
d_nikke_mica_01_21,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_21,True,,XS_130,XS_130,1.0,,,13,idle,,1,worry,belorta,belorta,,,,,
d_nikke_mica_01_22,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_22,True,,XS_10,XS_10,1.0,,,13,idle,,1,worry,mica,mica,,,,,
d_nikke_mica_01_23,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_23,False,,black,black,1.0,,,13,idle,,1,worry,,,,,,,
d_nikke_mica_01_24,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_24,True,,113,113,1.0,,,13,idle,,1,worry,belorta,belorta,,,,,
d_nikke_mica_01_25,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_25,True,,113,113,1.0,,,13,idle,,1,worry,mica,mica,,,,,
d_nikke_mica_01_26,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_26,False,,113,113,1.0,,,13,idle,,1,worry,,,belorta,,,,
d_nikke_mica_01_27,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_27,True,,113,XS_100,1.0,,,13,idle,,1,worry,mica,mica,,,,,
d_nikke_mica_01_28,d_nikke_mica_01,Narration,Locale_NikkeEpisode:d_nikke_mica_01_28,False,,XS_100,XS_100,1.0,,,13,idle,,1,worry,,,,sfx_scn_autodooropen,,,
d_nikke_mica_01_29,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_29,True,,XS_100,XS_100,1.0,,,13,idle,,1,worry,mica,mica,,,,,
d_nikke_mica_01_30,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_30,False,,XS_100,XS_100,1.0,,,13,idle,,1,worry,,,,,,,
d_nikke_mica_01_31,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_31,True,,XS_100,XS_10,1.0,,,13,idle,,1,worry,mica,mica,,,,,
d_nikke_mica_01_32,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_32,False,,black,black,1.0,,belorta,13,idle,,1,worry,,,,,,,
d_nikke_mica_01_33,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_33,True,,113,113,1.0,,,13,idle,,1,worry,mica,mica,,,,,
d_nikke_mica_01_34,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_34,True,,113,113,1.0,,,13,idle,,1,worry,belorta,belorta,,,,,
d_nikke_mica_01_35,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_35,True,,113,113,1.0,,,13,idle,,1,worry,mica,mica,,,,,
d_nikke_mica_01_36,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_36,True,,113,113,1.0,,,13,idle,,1,worry,mica,mica,,,,,
d_nikke_mica_01_37,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_37,True,,113,113,1.0,,,13,idle,,1,worry,mica,mica,,,,,
d_nikke_mica_01_38,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_38,True,,113,113,1.0,,,13,idle,,1,worry,belorta,belorta,,,,,
d_nikke_mica_01_39,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_39,True,,113,XS_130,1.0,,,13,idle,,1,worry,belorta,belorta,,,,,
d_nikke_mica_01_40,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_40,False,,XS_130,XS_10,1.0,,,13,idle,,1,worry,,,belorta,,,,
d_nikke_mica_01_41,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_41,False,,XS_10,XS_10,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_42,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_42,False,,black,black,1.0,,,,,,1,worry,,,,,mica,,
d_nikke_mica_01_43,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_43,False,,XS_10,XS_130,1.0,,belorta,13,angry,,1,worry,,,,,,Grey,
d_nikke_mica_01_44,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_44,False,,XS_130,XS_130,1.0,,,13,angry,,1,worry,,,,,,Grey,
d_nikke_mica_01_45,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_45,False,,XS_130,XS_130,1.0,,,13,angry,,1,worry,,,,,,Grey,
d_nikke_mica_01_46,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_46,False,,XS_130,XS_1300,1.0,,,13,delight,,1,worry,,,,,,Grey,
d_nikke_mica_01_47,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_47,False,,XS_1300,XS_1300,1.0,,,13,delight,,1,worry,,,,,,Grey,
d_nikke_mica_01_48,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_48,True,,XS_1300,XS_10,1.0,,,13,delight,mica,1,worry,mica,mica,belorta,,,,
d_nikke_mica_01_49,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_49,True,,XS_10,XS_10,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_50,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_50,False,,black,black,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_51,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_51,False,,black,black,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_52,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_52,False,,black,black,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_53,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_53,False,,black,black,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_54,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_54,False,,black,black,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_55,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_55,False,,XS_10,1,2.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_56,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_56,False,,1,1,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_57,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_57,True,,1,1,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_58,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_58,False,,1,1,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_59,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_59,False,,1,1,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_60,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_60,False,,1,1,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_61,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_61,False,,1,1,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_62,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_62,False,,1,1,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_63,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_63,True,,1,XS_10,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_64,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_64,False,,XS_10,XS_10,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_65,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_65,False,,XS_10,XS_10,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_66,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_66,True,,XS_10,XS_100,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_67,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_67,False,Corridor,15,15,1.0,,,,,,1,worry,,,,,,,black
d_nikke_mica_01_68,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_68,False,,15,1,3.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_69,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_69,False,,1,1,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_70,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_70,True,,1,1,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_71,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_71,True,,1,XS_10,0.5,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_72,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_72,True,,XS_10,XS_10,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_73,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_73,True,,XS_10,XS_100,0.5,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_74,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_74,True,,XS_100,XS_100,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_75,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_75,True,,XS_100,XS_10,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_76,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_76,True,,XS_10,XS_10,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_77,d_nikke_mica_01,Self,Locale_NikkeEpisode:d_nikke_mica_01_77,False,,XS_10,XS_10,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_78,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_78,False,,XS_10,XS_100,0.5,,,,,,1,idle,mica,mica,,,,,
d_nikke_mica_01_79,d_nikke_mica_01,Self,Locale_NikkeEpisode:d_nikke_mica_01_79,False,,XS_100,XS_100,1.0,,,,,,1,idle,,,,,,,
d_nikke_mica_01_80,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_80,True,,XS_100,XS_100,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_81,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_81,True,,XS_100,XS_100,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_82,d_nikke_mica_01,Self,Locale_NikkeEpisode:d_nikke_mica_01_82,False,,XS_100,XS_100,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_83,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_83,False,,XS_100,XS_100,1.0,,,,,,1,worry,mica,mica,,,,,
d_nikke_mica_01_84,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_84,False,,black,black,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_85,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_85,False,,black,black,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_86,d_nikke_mica_01,Self,Locale_NikkeEpisode:d_nikke_mica_01_86,False,,XS_100,XS_10,1.0,,,,,,1,worry,,,,,,,
d_nikke_mica_01_87,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_87,True,,XS_10,XS_10,1.0,,,,,,1,idle,mica,mica,,,,,
d_nikke_mica_01_88,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_88,True,,XS_10,XS_10,1.0,,,,,,1,idle,mica,mica,,,,,
d_nikke_mica_01_89,d_nikke_mica_01,Self,Locale_NikkeEpisode:d_nikke_mica_01_89,False,,XS_10,XS_10,1.0,,,,,,1,idle,,,,,,,
d_nikke_mica_01_90,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_90,True,,XS_10,XS_100,1.0,,,,,,1,idle,mica,mica,,,,,
d_nikke_mica_01_91,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_91,True,,XS_100,XS_100,1.0,,,,,,1,idle,mica,mica,,,,,
d_nikke_mica_01_92,d_nikke_mica_01,Self,Locale_NikkeEpisode:d_nikke_mica_01_92,False,,XS_100,XS_100,1.0,,,,,,1,idle,,,,,,,
d_nikke_mica_01_93,d_nikke_mica_01,Monologue,Locale_NikkeEpisode:d_nikke_mica_01_93,False,,XS_100,XS_100,1.0,,,,,,1,idle,,,,,,,
d_nikke_mica_01_94,d_nikke_mica_01,Speech,Locale_NikkeEpisode:d_nikke_mica_01_94,True,,XS_100,XS_100,1.0,,,,,,1,idle,mica,mica,,,,,
