id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,speaker,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_diesel_05_53,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_53,True,,10,100,0.5,,,,,,diesel,,,,1,surprise,
d_nikke_diesel_05_54,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_54,True,,100,100,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_55,d_nikke_diesel_05,Self,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_55,False,,100,100,1.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_56,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_56,True,,100,100,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_57,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_57,True,,100,100,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_58,d_nikke_diesel_05,Self,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_58,False,,100,100,1.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_59,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_59,True,,100,10,2.0,,,,,,diesel,,,,1,delight,
d_nikke_diesel_05_60,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_60,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_61,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_61,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_62,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_62,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_63,d_nikke_diesel_05,Self,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_63,False,,10,10,1.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_64,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_64,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_65,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_65,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_66,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_66,False,,10,100,0.5,,,,,,,,,,1,idle,diesel
d_nikke_diesel_05_67,d_nikke_diesel_05,Self,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_67,False,,100,10,0.5,,,,,,,,,diesel,1,idle,
d_nikke_diesel_05_68,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_68,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_69,d_nikke_diesel_05,Self,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_69,False,,10,10,1.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_70,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_70,True,,10,10,1.0,,,,,,diesel,,,,1,delight,
d_nikke_diesel_05_71,d_nikke_diesel_05,Self,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_71,False,,10,10,1.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_72,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_72,False,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_73,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_73,True,,10,10,1.0,,,,,,diesel,,,,1,delight,
d_nikke_diesel_05_74,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_74,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_75,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_75,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_76,d_nikke_diesel_05,Choice,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_76,False,,10,10,1.0,,,,,,,,d_nikke_diesel_05_78,,1,idle,
d_nikke_diesel_05_77,d_nikke_diesel_05,Choice,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_77,False,,10,10,1.0,,,,,,,,d_nikke_diesel_05_80,,1,idle,
d_nikke_diesel_05_78,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_78,True,,10,10,1.0,,,,,,diesel,,,,1,delight,
d_nikke_diesel_05_79,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_79,False,,10,100,0.5,,,,,,,,d_nikke_diesel_05_88,,1,idle,diesel
d_nikke_diesel_05_80,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_80,True,,10,10,1.0,,,,,,diesel,,,diesel,1,surprise,
d_nikke_diesel_05_81,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_81,True,,10,10,1.0,,,,,,diesel,,,,1,worry,
d_nikke_diesel_05_82,d_nikke_diesel_05,Self,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_82,False,,10,10,1.0,,,,,,,,,,1,worry,
d_nikke_diesel_05_83,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_83,True,,10,10,1.0,,,,,,diesel,,,,1,delight,
d_nikke_diesel_05_84,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_84,True,,10,10,1.0,,,,,,diesel,,,,1,delight,
d_nikke_diesel_05_85,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_85,False,,10,100,0.5,,,,,,,,,,1,idle,diesel
d_nikke_diesel_05_86,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_86,True,,100,100,1.0,,,,,,diesel,,,diesel,1,idle,
d_nikke_diesel_05_87,d_nikke_diesel_05,Self,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_87,False,,100,100,1.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_88,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_88,True,,100,10,0.5,,,,,,diesel,,,diesel,1,surprise,
d_nikke_diesel_05_89,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_89,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_90,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_90,True,,10,1,2.0,,,,,,diesel,,,,1,delight,
d_nikke_diesel_05_91,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_91,False,,1,1,1.0,,,,,,,,,,1,delight,
d_nikke_diesel_05_92,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_92,False,,1,1,1.0,,,,,,,,,,1,delight,
d_nikke_diesel_05_93,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_93,True,,1,10,2.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_94,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_94,False,,10,10,2.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_95,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_95,False,White,10,10,1.0,,,,,,,white_without_dialogue,,,,,diesel
