id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
d_nikke_mori_02_11,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_11,False,,1,shy_01,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_12,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_12,True,,1,shy_01,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_13,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_13,False,,1,shy_01,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_14,d_nikke_mori_02,Narration,mori,,Locale_NikkeEpisode:d_nikke_mori_02_14,False,,1,shy_01,CommanderRoom_n,black,black,1.0,,mori,rapi,13,idle,anis,15,worry,neon,17,idle,,,,
d_nikke_mori_02_15,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_15,False,,,,,130,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_16,d_nikke_mori_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_mori_02_16,True,,,,,S_170,S_170,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_17,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_17,True,,,,,S_170,150,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_18,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_18,True,,,,,150,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_19,d_nikke_mori_02,Self,rapi,,Locale_NikkeEpisode:d_nikke_mori_02_19,False,,,,,130,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_20,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_20,True,,,,,130,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_21,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_21,True,,,,,130,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_22,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_22,True,,,,,130,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_23,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_23,True,,,,,130,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_24,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_24,True,,,,,130,150,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_25,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_25,True,,,,,150,150,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_26,d_nikke_mori_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_mori_02_26,True,,,,,150,1517,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_27,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_27,True,,,,,1517,1517,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_28,d_nikke_mori_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_mori_02_28,True,,,,,1517,1517,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_29,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_29,True,,,,,1517,1517,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_30,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_30,True,,,,,1517,1517,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_31,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_31,True,,,,,1517,1517,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_32,d_nikke_mori_02,Self,anis,,Locale_NikkeEpisode:d_nikke_mori_02_32,False,,,,,1517,1517,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_33,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_33,True,,,,,1517,13,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_34,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_34,True,,,,,13,13,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_35,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_35,True,,,,,13,13,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_36,d_nikke_mori_02,Self,rapi,,Locale_NikkeEpisode:d_nikke_mori_02_36,False,,,,,13,13,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_37,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_37,True,,,,,13,15,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_38,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_38,True,,,,,15,15,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_39,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_39,True,,,,,15,15,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_40,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_40,True,,,,,15,15,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_41,d_nikke_mori_02,Self,anis,,Locale_NikkeEpisode:d_nikke_mori_02_41,True,,,,,15,15,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_42,d_nikke_mori_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_mori_02_42,True,,,,,15,1517,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_43,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_43,True,,,,,1517,1517,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_44,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_44,True,,,,,1517,1517,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_45,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_45,True,,,,,130,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_46,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_46,True,,,,,130,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_47,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_47,True,,,,,130,150,1.0,,,,13,idle,,15,sad,,17,idle,,,,
d_nikke_mori_02_48,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_48,True,,,,,150,150,1.0,,,,13,idle,,15,sad,,17,idle,,,,
d_nikke_mori_02_49,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_49,True,,,,,150,150,1.0,,,,13,idle,,15,sad,,17,idle,,,,
d_nikke_mori_02_50,d_nikke_mori_02,Self,anis,,Locale_NikkeEpisode:d_nikke_mori_02_50,False,,,,,150,150,1.0,,,,13,idle,,15,sad,,17,idle,,,,
d_nikke_mori_02_51,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_51,True,,,,,150,130,1.0,,,,13,idle,,15,sad,,17,idle,,,,
d_nikke_mori_02_52,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_52,True,,,,,130,130,1.0,,,,13,idle,,15,sad,,17,idle,,,,
d_nikke_mori_02_53,d_nikke_mori_02,Self,rapi,,Locale_NikkeEpisode:d_nikke_mori_02_53,False,,,,,130,130,1.0,,,,13,idle,,15,idle,,17,idle,,,,
d_nikke_mori_02_54,d_nikke_mori_02,Self,rapi,,Locale_NikkeEpisode:d_nikke_mori_02_54,False,,,,,130,130,1.0,,,,13,idle,,15,idle,,17,idle,,,,
d_nikke_mori_02_55,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_55,True,,,,,130,150,1.0,,,,13,idle,,15,sad,,17,idle,,,,
d_nikke_mori_02_56,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_56,True,,,,,150,150,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_57,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_57,True,,,,,150,150,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_58,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_58,True,,,,,150,150,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_59,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_59,True,,,,,150,150,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_60,d_nikke_mori_02,Self,anis,,Locale_NikkeEpisode:d_nikke_mori_02_60,False,,,,,150,150,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_61,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_61,True,,,,,150,1500,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_62,d_nikke_mori_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_mori_02_62,True,,,,,S_1700,S_1700,1.0,,,,13,idle,,15,worry,,17,delight,,,,
d_nikke_mori_02_63,d_nikke_mori_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_mori_02_63,True,,,,,1500,150,1.0,,,,13,idle,,15,worry,,17,delight,,,,
d_nikke_mori_02_64,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_64,True,,,,,150,130,1.0,,,,13,idle,,15,worry,,17,delight,,,,
d_nikke_mori_02_65,d_nikke_mori_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_mori_02_65,True,,,,,130,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_66,d_nikke_mori_02,Monologue,rapi,,Locale_NikkeEpisode:d_nikke_mori_02_66,False,,,,,130,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_67,d_nikke_mori_02,Self,rapi,,Locale_NikkeEpisode:d_nikke_mori_02_67,False,,,,,130,130,1.0,,,,13,idle,,15,worry,,17,idle,,,,
d_nikke_mori_02_68,d_nikke_mori_02,Narration,mori,,Locale_NikkeEpisode:d_nikke_mori_02_68,False,mori,1,surprise,ArkCleanIndoor,black,black,1.0,,,,13,idle,,15,worry,,17,idle,rapi,anis,neon,black
d_nikke_mori_02_69,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_69,True,,1,surprise,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_70,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_70,False,,1,surprise,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_71,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_71,True,,1,surprise,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_72,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_72,True,,1,shy_01,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_73,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_73,False,,1,shy_01,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_74,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_74,True,,1,shy_02,,S_10,S_100,0.5,,,,,,,,,,,,,,,
d_nikke_mori_02_75,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_75,True,,1,shy_02,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_76,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_76,True,,1,shy_02,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_77,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_77,True,,1,shy_02,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_78,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_78,False,,1,shy_02,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_79,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_79,True,,1,shy_02,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_80,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_80,True,,1,shy_02,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_81,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_81,True,,1,shy_02,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_82,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_82,True,,1,shy_02,,S_100,S_100,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_83,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_83,True,,1,shy_02,,S_100,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_84,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_84,True,,1,shy_02,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_85,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_85,False,,1,shy_02,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_86,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_86,True,,1,shy_02,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_87,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_87,True,,1,shy_02,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_88,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_88,True,,1,shy_02,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_89,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_89,True,,1,shy_02,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_90,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_90,True,,1,shy_02,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_91,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_91,True,,1,shy_02,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_92,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_92,False,,1,shy_02,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_93,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_93,True,,1,shy_01,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_94,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_94,False,,1,shy_01,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_95,d_nikke_mori_02,Self,mori,,Locale_NikkeEpisode:d_nikke_mori_02_95,False,,1,shy_01,,S_10,S_10,1.0,,,,,,,,,,,,,,,
d_nikke_mori_02_96,d_nikke_mori_02,Speech,mori,mori,Locale_NikkeEpisode:d_nikke_mori_02_96,True,,1,shy_01,,S_10,S_100,1.0,,,,,,,,,,,,,,,
