id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce004_01_05_32,d_nikke_ce004_01_05,Narration,zwei,,Locale_NikkeEpisode:d_nikke_ce004_01_05_32,False,,black,black,1.0,none,sfx_scn_scorebeep,,,12,angry,,2,angry
d_nikke_ce004_01_05_33,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_33,False,,1,1,1.0,,,,,12,idle,,2,surprise
d_nikke_ce004_01_05_34,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_34,False,,1,1,1.0,,,,,12,idle,,2,surprise
d_nikke_ce004_01_05_35,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_35,True,,1,1,1.0,bgm_inark,,,,12,idle,,2,surprise
d_nikke_ce004_01_05_36,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_36,True,,1,1,1.0,,,,,12,idle,,2,surprise
d_nikke_ce004_01_05_37,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_37,True,,1,1,1.0,,,,,12,idle,,2,surprise
d_nikke_ce004_01_05_38,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_38,True,,1,1,1.0,,,,,12,idle,,2,shy
d_nikke_ce004_01_05_39,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_39,True,,1,120,1.0,,,,,12,idle,,2,shy
d_nikke_ce004_01_05_40,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_40,True,,120,120,1.0,,,,,12,idle,,2,shy
d_nikke_ce004_01_05_41,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_41,True,,120,120,1.0,,,,,12,idle,,2,shy
d_nikke_ce004_01_05_42,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_42,True,,120,120,1.0,,,,,12,idle,,2,shy
d_nikke_ce004_01_05_43,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_43,True,,120,120,1.0,,,,,12,idle,,2,shy
d_nikke_ce004_01_05_44,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_44,True,,120,1,1.0,,,,,12,idle,,2,idle
d_nikke_ce004_01_05_45,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_45,True,,1,1,1.0,,,,,12,idle,,2,idle
d_nikke_ce004_01_05_46,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_46,True,,1,1,1.0,,,,,12,idle,,2,idle
d_nikke_ce004_01_05_47,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_47,True,,1,1,1.0,,,,,12,idle,,2,good
d_nikke_ce004_01_05_48,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_48,True,,1,120,1.0,,,,,12,idle,,2,good
d_nikke_ce004_01_05_49,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_49,True,,120,120,1.0,,,,,12,idle,,2,good
d_nikke_ce004_01_05_50,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_50,True,,120,120,1.0,,,,,12,idle,,2,good
d_nikke_ce004_01_05_51,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_51,True,,120,120,1.0,,,,,12,idle,,2,good
d_nikke_ce004_01_05_52,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_52,True,,120,1200,1.0,,,,,12,go,,2,good
d_nikke_ce004_01_05_53,d_nikke_ce004_01_05,Speech,ce004_01,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_05_53,True,,1200,1200,1.0,,,,,12,go,,2,good
d_nikke_ce004_01_05_54,d_nikke_ce004_01_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_05_54,True,,1200,1,1.0,,,,,12,go,,2,good
