id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,jump_target,characters/0/set_char_anim,characters/0/show_char_id,characters/0/set_char_position
treasurestory_milk_05_13,treasurestory_milk_05,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_05_13,False,,S_100,S_100,1.0,,,,,idle,,1
treasurestory_milk_05_14,treasurestory_milk_05,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_05_14,False,,S_100,S_100,1.0,,,,,idle,,1
treasurestory_milk_05_15,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_15,True,,S_100,S_100,1.0,,,milk,,idle,,1
treasurestory_milk_05_16,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_16,True,,S_100,S_100,1.0,,,milk,,idle,,1
treasurestory_milk_05_17,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_17,True,,S_100,S_100,1.0,,,milk,,idle,,1
treasurestory_milk_05_18,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_18,True,,S_100,S_100,1.0,,,milk,,idle,,1
treasurestory_milk_05_19,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_19,False,,S_100,S_100,1.0,,,milk,,idle,,1
treasurestory_milk_05_20,treasurestory_milk_05,Narration,milk,Locale_NikkeEpisode:treasurestory_milk_05_20,False,,S_100,S_10,1.0,,,,,idle,,1
treasurestory_milk_05_21,treasurestory_milk_05,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_05_21,False,,S_10,S_10,1.0,,,,,idle,,1
treasurestory_milk_05_22,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_22,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_23,treasurestory_milk_05,Self,milk,Locale_NikkeEpisode:treasurestory_milk_05_23,False,,S_10,S_10,1.0,,,,,good,,1
treasurestory_milk_05_24,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_24,False,,S_10,S_10,1.0,,,milk,,idle,,1
treasurestory_milk_05_25,treasurestory_milk_05,Self,milk,Locale_NikkeEpisode:treasurestory_milk_05_25,False,,S_10,S_10,1.0,,,,,idle,,1
treasurestory_milk_05_26,treasurestory_milk_05,Self,milk,Locale_NikkeEpisode:treasurestory_milk_05_26,False,,S_10,S_10,1.0,,,,,idle,,1
treasurestory_milk_05_27,treasurestory_milk_05,Self,milk,Locale_NikkeEpisode:treasurestory_milk_05_27,False,,S_10,S_10,1.0,,,,,idle,,1
treasurestory_milk_05_28,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_28,False,,S_10,S_10,1.0,,,milk,,idle,,1
treasurestory_milk_05_29,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_29,True,,S_10,S_10,1.0,,,milk,,idle,,1
treasurestory_milk_05_30,treasurestory_milk_05,Choice,milk,Locale_NikkeEpisode:treasurestory_milk_05_30,False,,S_10,S_10,1.0,,,,treasurestory_milk_05_32,idle,,1
treasurestory_milk_05_31,treasurestory_milk_05,Choice,milk,Locale_NikkeEpisode:treasurestory_milk_05_31,False,,S_10,S_10,1.0,,,,treasurestory_milk_05_32,idle,,1
treasurestory_milk_05_32,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_32,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_33,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_33,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_34,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_34,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_35,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_35,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_36,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_36,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_37,treasurestory_milk_05,Self,milk,Locale_NikkeEpisode:treasurestory_milk_05_37,False,,S_10,S_10,1.0,,,,,good,,1
treasurestory_milk_05_38,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_38,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_39,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_39,True,,S_10,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_40,treasurestory_milk_05,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_05_40,False,,S_10,S_100,1.5,,,,,good,,1
treasurestory_milk_05_41,treasurestory_milk_05,Self,milk,Locale_NikkeEpisode:treasurestory_milk_05_41,False,,S_100,S_100,1.0,,,,,good,,1
treasurestory_milk_05_42,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_42,True,,S_100,S_100,1.0,,,milk,,good,,1
treasurestory_milk_05_43,treasurestory_milk_05,Self,milk,Locale_NikkeEpisode:treasurestory_milk_05_43,False,,S_100,S_100,1.0,,,,,good,,1
treasurestory_milk_05_44,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_44,True,,S_100,S_10,1.0,,,milk,,angry,,1
treasurestory_milk_05_45,treasurestory_milk_05,Self,milk,Locale_NikkeEpisode:treasurestory_milk_05_45,False,,S_10,S_10,1.0,,,,,angry,,1
treasurestory_milk_05_46,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_46,True,,S_10,S_10,1.0,,,milk,,shy,,1
treasurestory_milk_05_47,treasurestory_milk_05,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_05_47,False,,S_10,S_10,1.0,,,,,shy,,1
treasurestory_milk_05_48,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_48,True,,black,black,1.0,none,,milk,,shy,,1
treasurestory_milk_05_49,treasurestory_milk_05,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_05_49,False,,black,black,1.0,,,,,good,,1
treasurestory_milk_05_50,treasurestory_milk_05,Narration,milk,Locale_NikkeEpisode:treasurestory_milk_05_50,False,,S_10,S_100,1.0,,sfx_scn_aim,,,good,,1
treasurestory_milk_05_51,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_51,True,,S_100,S_100,1.0,bgm_story_impression,,milk,,good,,1
treasurestory_milk_05_52,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_52,True,,S_100,S_100,1.0,,,milk,,good,,1
treasurestory_milk_05_53,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_53,True,,S_100,S_100,1.0,,,milk,,good,,1
treasurestory_milk_05_54,treasurestory_milk_05,Self,milk,Locale_NikkeEpisode:treasurestory_milk_05_54,False,,S_100,S_100,1.0,,,,,good,,1
treasurestory_milk_05_55,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_55,False,,S_100,S_100,1.0,,,milk,,good,,1
treasurestory_milk_05_56,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_56,True,,S_100,S_100,1.0,,,milk,,good,,1
treasurestory_milk_05_57,treasurestory_milk_05,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_05_57,False,,S_100,S_100,1.0,,,,,good,,1
treasurestory_milk_05_58,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_58,True,,S_100,S_10,1.0,,,milk,,good,,1
treasurestory_milk_05_59,treasurestory_milk_05,Narration,milk,Locale_NikkeEpisode:treasurestory_milk_05_59,False,,black,black,1.0,,sfx_scn_run,,,good,,1
treasurestory_milk_05_60,treasurestory_milk_05,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_05_60,False,,black,black,1.0,,,,,good,,1
treasurestory_milk_05_61,treasurestory_milk_05,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_05_61,True,,black,black,1.0,,,milk,,good,,1
