id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
d_nikke_ein_02_26,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_26,True,,10,100,1.0,,ein,ein,,1,no,
d_nikke_ein_02_27,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_27,True,,100,100,1.0,,ein,ein,,1,no,
d_nikke_ein_02_28,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_28,True,,100,100,1.0,,ein,ein,,1,no,
d_nikke_ein_02_29,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_29,True,,100,100,1.0,,ein,ein,,1,no,
d_nikke_ein_02_30,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_30,True,,100,100,1.0,,ein,ein,,1,no,
d_nikke_ein_02_31,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_31,True,,100,100,1.0,,ein,ein,,1,angry,
d_nikke_ein_02_32,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_32,True,,100,100,1.0,,ein,ein,,1,angry,
d_nikke_ein_02_33,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_33,False,,100,100,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_34,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_34,True,,100,100,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_35,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_35,True,,100,100,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_36,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_36,True,,100,100,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_37,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_37,True,,100,100,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_38,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_38,True,,100,100,1.0,,ein,ein,,1,delight,
d_nikke_ein_02_39,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_39,True,,100,100,1.0,,ein,ein,,1,delight,
d_nikke_ein_02_40,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_40,True,,100,100,1.0,,ein,ein,,1,delight,
d_nikke_ein_02_41,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_41,True,,100,100,1.0,,ein,ein,,1,delight,
d_nikke_ein_02_42,d_nikke_ein_02,Self,Locale_NikkeEpisode:d_nikke_ein_02_42,False,,100,100,1.0,,ein,,,1,delight,
d_nikke_ein_02_43,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_43,True,,100,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_44,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_44,True,,10,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_45,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_45,True,,10,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_46,d_nikke_ein_02,Self,Locale_NikkeEpisode:d_nikke_ein_02_46,False,,10,10,1.0,,ein,,,1,surprise,
d_nikke_ein_02_47,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_47,True,,10,100,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_48,d_nikke_ein_02,Self,Locale_NikkeEpisode:d_nikke_ein_02_48,False,,100,100,1.0,,ein,,,1,idle,
d_nikke_ein_02_49,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_49,True,,100,10,1.0,,ein,ein,,1,idle,
d_nikke_ein_02_50,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_50,True,,10,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_51,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_51,True,,10,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_52,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_52,True,,10,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_53,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_53,True,,10,10,1.0,,ein,ein,,1,shy,
d_nikke_ein_02_54,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_54,True,,10,10,1.0,,ein,ein,,1,shy,
d_nikke_ein_02_55,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_55,True,,10,10,1.0,,ein,ein,,1,shy,
d_nikke_ein_02_56,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_56,True,,10,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_57,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_57,True,,10,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_58,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_58,True,,10,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_59,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_59,True,,10,10,1.0,,ein,ein,,1,surprise,
d_nikke_ein_02_60,d_nikke_ein_02,Self,Locale_NikkeEpisode:d_nikke_ein_02_60,False,,10,10,1.0,,ein,,,1,surprise,
d_nikke_ein_02_61,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_61,True,,10,100,1.0,,ein,ein,,1,shy,
d_nikke_ein_02_62,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_62,True,,100,100,1.0,,ein,ein,,1,shy,
d_nikke_ein_02_63,d_nikke_ein_02,Speech,Locale_NikkeEpisode:d_nikke_ein_02_63,True,,100,100,1.0,,ein,ein,,1,shy,
