id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,fade,jump_target
d_nikke_anis_03_12,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_12,True,,,,,1,L_20,1.0,,,,2,idle,,12,idle,Grey,,,,,
d_nikke_anis_03_13,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_13,True,,,,,L_20,L_20,1.0,,,,2,idle,,12,idle,Grey,,,,,
d_nikke_anis_03_14,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_14,True,,,,,L_20,L_20,1.0,,,,2,idle,,12,idle,Grey,,,,,
d_nikke_anis_03_15,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_15,True,anis,1,idle,RoyalRoad,black,black,1.0,,,,12,idle,,12,idle,,adultman,adultwoman,,,
d_nikke_anis_03_16,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_16,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_17,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_17,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_18,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_18,True,,1,delight,,1,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_19,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_19,True,,1,delight,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_20,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_20,True,,1,void,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_21,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_21,True,,1,void,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_22,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_22,True,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_23,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_23,True,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_24,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_24,True,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_25,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_25,False,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_26,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_26,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_27,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_27,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_28,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_28,True,,1,delight,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_29,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_29,True,,1,delight,City,1,1,1.0,,anis,burningum,2,idle,adultman,12,idle,Grey,,,,,
d_nikke_anis_03_30,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_30,True,,,,,1,1,1.0,,,,2,idle,,12,idle,Grey,,,,,
d_nikke_anis_03_31,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_31,True,,,,,1,20,1.0,,,,2,idle,,12,idle,Grey,,,,,
d_nikke_anis_03_32,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_32,True,,,,,20,L_120,1.0,,,,2,idle,,12,idle,Grey,,,,,
d_nikke_anis_03_33,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_33,True,,,,,L_120,1,1.0,,,,2,idle,,12,idle,Grey,,,,,
d_nikke_anis_03_34,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_34,False,anis,1,worry,RoyalRoad,black,black,1.0,,,,2,idle,,12,idle,,burningum,adultman,,,
d_nikke_anis_03_35,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_35,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_36,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_36,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_37,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_37,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_38,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_38,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_39,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_39,True,,1,idle,,1,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_40,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_40,True,,1,delight,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_41,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_41,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_42,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_42,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_43,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_43,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_44,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_44,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_45,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_45,False,,1,idle,,10,7,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_46,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_46,True,,1,idle,,7,7,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_47,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_47,True,,1,idle,,7,7,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_48,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_48,False,,1,idle,,7,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_49,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_49,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_50,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_50,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_51,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_51,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_52,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_52,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_53,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_53,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_54,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_54,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_55,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_55,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_56,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_56,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_57,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_57,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_58,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_58,True,,1,worry,,1,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_59,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_59,False,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_60,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_60,True,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_61,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_61,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_62,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_62,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_63,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_63,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_64,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_64,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_65,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_65,True,,1,delight,,10,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_66,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_66,True,,1,delight,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_67,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_67,False,,1,delight,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_68,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_68,True,,1,delight,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_69,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_69,False,,1,delight,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_70,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_70,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_71,d_nikke_anis_03,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_anis_03_71,True,,2,delight,ShoppingMall,12,12,1.0,bgm_story_girlstalk,anis,staff,12,idle,,,,,,,sfx_scn_autodooropen,black,
d_nikke_anis_03_72,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_72,True,anis,2,delight,,12,1,1.0,,,,12,idle,,,,,,,,,
d_nikke_anis_03_73,d_nikke_anis_03,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_anis_03_73,True,,2,delight,,1,1,1.0,,,,12,idle,,,,,,,,,
d_nikke_anis_03_74,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_74,True,,2,idle,,1,1,1.0,,,,12,idle,,,,,,,,,
d_nikke_anis_03_75,d_nikke_anis_03,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_anis_03_75,True,,2,idle,,1,1,1.0,,,,12,idle,,,,,,,,,
d_nikke_anis_03_76,d_nikke_anis_03,Choice,staff,,Locale_NikkeEpisode:d_nikke_anis_03_76,False,,2,idle,,1,1,1.0,,,,12,idle,,,,,,,,,d_nikke_anis_03_78
d_nikke_anis_03_77,d_nikke_anis_03,Choice,staff,,Locale_NikkeEpisode:d_nikke_anis_03_77,False,,2,idle,,1,1,1.0,,,,12,idle,,,,,,,,,d_nikke_anis_03_80
d_nikke_anis_03_78,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_78,False,,2,no,,1,1,1.0,,,,12,idle,,,,,,,,,
d_nikke_anis_03_79,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_79,False,,2,no,,1,1,1.0,,,,12,idle,,,,,,,,,
d_nikke_anis_03_80,d_nikke_anis_03,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_anis_03_80,True,,1,idle,RoyalRoad,black,black,1.0,,anis,,12,idle,,,,,staff,,,,
d_nikke_anis_03_81,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_81,True,anis,1,delight,,1,1,1.0,,,,,,,,,,,,sfx_scn_autodooropen,,
d_nikke_anis_03_82,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_82,False,,1,delight,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_83,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_83,True,,1,delight,,1,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_84,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_84,True,,1,delight,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_85,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_85,True,,1,delight,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_86,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_86,True,,1,void,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_87,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_87,True,,1,idle,,10,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_88,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_88,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_89,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_89,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_90,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_90,True,,1,delight,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_91,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_91,True,,1,delight,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_92,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_92,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_93,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_93,True,,1,void,,1,1,1.0,none,,,,,,,,,,,,,
d_nikke_anis_03_94,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_94,True,,1,void,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_95,d_nikke_anis_03,Monologue,anis,Monologue,Locale_NikkeEpisode:d_nikke_anis_03_95,False,,1,void,,1,7,0.5,,,,,,,,,,,,,,
d_nikke_anis_03_96,d_nikke_anis_03,Monologue,anis,Monologue,Locale_NikkeEpisode:d_nikke_anis_03_96,False,,1,idle,,7,7,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_97,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_97,True,,1,worry,,10,10,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,
d_nikke_anis_03_98,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_98,True,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_99,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_99,False,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_100,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_100,False,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_101,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_101,False,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_102,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_102,False,,1,void,,10,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_103,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_103,True,,1,void,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_104,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_104,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_105,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_105,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_106,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_106,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_107,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_107,False,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_108,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_108,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_109,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_109,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_110,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_110,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_111,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_111,False,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_112,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_112,True,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_113,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_113,False,,1,worry,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_114,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_114,True,,1,void,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_115,d_nikke_anis_03,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_03_115,False,,1,void,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_116,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_116,True,,1,worry,,1,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_117,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_117,True,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
d_nikke_anis_03_118,d_nikke_anis_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_03_118,True,,1,worry,,10,10,1.0,,,,,,,,,,,,,,
