id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,set_camera_shake,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_volume_03_19,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_19,True,,1,1,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_20,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_20,True,,1,1,1.0,,,,,,,1,delight,,,13,idle,,,,,
d_nikke_volume_03_21,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_21,True,,1,S_10,1.0,none,,,,,,1,delight,,,13,idle,,,,,
d_nikke_volume_03_22,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_22,True,,130,130,1.0,,,,,,,1,delight,,,13,idle,,,,,
d_nikke_volume_03_23,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_23,True,,S_10,S_10,1.0,bgm_story_stormbreakers,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_24,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_24,True,,S_10,S_10,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_25,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_25,True,,S_10,S_10,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_26,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_26,True,,S_10,113,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_27,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_27,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_28,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_28,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_29,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_29,True,,113,113,1.0,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_volume_03_30,d_nikke_volume_03,Monologue,,,Locale_NikkeEpisode:d_nikke_volume_03_30,False,,113,S_100,1.0,,,,,,,1,delight,,,13,idle,,,,,
d_nikke_volume_03_31,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_31,True,,S_100,1300,1.0,none,,,,,,1,delight,,,13,idle,,,,,
d_nikke_volume_03_32,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_32,True,,S_100,S_100,1.0,,,,,,,1,angry,,,13,idle,,,,,
d_nikke_volume_03_33,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_33,True,,1300,1300,1.0,,,,,,,1,angry,,,13,idle,,,,,
d_nikke_volume_03_34,d_nikke_volume_03,Narration,,,Locale_NikkeEpisode:d_nikke_volume_03_34,False,,1300,113,1.0,bgm_story_armageddon,,,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_35,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_35,True,,113,113,1.0,,,,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_36,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_36,True,,113,113,1.0,,,,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_37,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_37,True,,113,113,1.0,,,,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_38,d_nikke_volume_03,Speech,mc,mc,Locale_NikkeEpisode:d_nikke_volume_03_38,True,,113,113,1.0,,,,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_39,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_39,False,,113,113,1.0,,,,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_40,d_nikke_volume_03,Choice,,,Locale_NikkeEpisode:d_nikke_volume_03_40,False,,113,113,1.0,,,d_nikke_volume_03_42,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_41,d_nikke_volume_03,Choice,,,Locale_NikkeEpisode:d_nikke_volume_03_41,False,,113,113,1.0,,,d_nikke_volume_03_43,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_42,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_42,True,,113,113,1.0,,,d_nikke_volume_03_44,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_43,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_43,True,,113,113,1.0,,,d_nikke_volume_03_44,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_44,d_nikke_volume_03,Narration,,,Locale_NikkeEpisode:d_nikke_volume_03_44,False,,113,7,0.5,,sfx_scn_hit,,Low_2,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_45,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_45,False,,7,7,1.0,,,,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_46,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_46,False,,7,7,1.0,,,,,,,12,angry,,,13,idle,,,,,
d_nikke_volume_03_47,d_nikke_volume_03,Narration,,,Locale_NikkeEpisode:d_nikke_volume_03_47,False,,black,black,1.0,none,sfx_scn_down,,,,,12,angry,volume,,13,idle,mc,,,,
d_nikke_volume_03_48,d_nikke_volume_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_03_48,False,,black,black,1.0,,,,,,,,,,,,,,,,,
d_nikke_volume_03_49,d_nikke_volume_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_03_49,False,Hospital,black,black,1.0,,,,,,,,,,,,,,,,,
d_nikke_volume_03_50,d_nikke_volume_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_03_50,False,,black,black,1.0,,,,,,,,,,,,,,,,,
d_nikke_volume_03_51,d_nikke_volume_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_volume_03_51,False,,black,black,1.0,,,,,,,,,,,,,,,,,
d_nikke_volume_03_52,d_nikke_volume_03,Narration,,,Locale_NikkeEpisode:d_nikke_volume_03_52,False,,black,black,1.0,,sfx_scn_phonenotification,,,m_nikke_volume_03,,,,,,,,,,,,
d_nikke_volume_03_53,d_nikke_volume_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_03_53,True,,S_10,S_10,1.0,bgm_story_orangepop,,,,,neon,1,idle,,anis,13,worry,,rapi,15,idle,
d_nikke_volume_03_54,d_nikke_volume_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_03_54,True,,S_10,S_10,1.0,,,,,,,1,idle,,,13,worry,,,15,idle,
d_nikke_volume_03_55,d_nikke_volume_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_03_55,True,,S_10,113,1.0,,,,,,,1,idle,,,13,worry,,,15,idle,
d_nikke_volume_03_56,d_nikke_volume_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_03_56,True,,113,113,1.0,,,,,,,1,idle,,,13,worry,,,15,idle,
d_nikke_volume_03_57,d_nikke_volume_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_03_57,True,,113,113,1.0,,,,,,,1,worry,,,13,worry,,,15,idle,
d_nikke_volume_03_58,d_nikke_volume_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_03_58,True,,113,113,1.0,,,,,,,1,worry,,,13,no,,,15,idle,
d_nikke_volume_03_59,d_nikke_volume_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_03_59,True,,113,113,1.0,,,,,,,1,surprise,,,13,no,,,15,idle,
d_nikke_volume_03_60,d_nikke_volume_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_03_60,True,,113,113,1.0,,,,,,,1,surprise,,,13,void,,,15,idle,
d_nikke_volume_03_61,d_nikke_volume_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_03_61,True,,113,113,1.0,,,,,,,1,surprise,,,13,void,,,15,idle,
d_nikke_volume_03_62,d_nikke_volume_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_03_62,True,,113,113,1.0,,,,,,,1,surprise,,,13,delight,,,15,idle,
d_nikke_volume_03_63,d_nikke_volume_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_volume_03_63,False,,113,150,1.0,,,,,,,1,surprise,,,13,delight,,,15,idle,
d_nikke_volume_03_64,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_64,False,,150,150,1.0,,,,,,,1,surprise,,,13,delight,,,15,idle,
d_nikke_volume_03_65,d_nikke_volume_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_volume_03_65,True,,150,150,1.0,,,,,,,1,surprise,,,13,idle,,,15,idle,
d_nikke_volume_03_66,d_nikke_volume_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_03_66,True,,130,130,1.0,,,,,,,1,surprise,,,13,worry,,,15,idle,
d_nikke_volume_03_67,d_nikke_volume_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_03_67,True,,S_10,S_10,1.0,,,,,,,1,surprise,,,13,worry,,,15,idle,
d_nikke_volume_03_68,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_68,False,,S_10,S_10,1.0,,,,,,,1,surprise,,,13,worry,,,15,idle,
d_nikke_volume_03_69,d_nikke_volume_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_03_69,True,,S_10,113,1.0,,,,,,,1,surprise,,,13,worry,,,15,idle,
d_nikke_volume_03_70,d_nikke_volume_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_03_70,True,,113,113,1.0,,,,,,,1,no,,,13,worry,,,15,idle,
d_nikke_volume_03_71,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_71,False,,113,113,1.0,,,,,,,1,no,,,13,worry,,,15,idle,
d_nikke_volume_03_72,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_72,False,,113,113,1.0,,,,,,,1,no,,,13,worry,,,15,idle,
d_nikke_volume_03_73,d_nikke_volume_03,Narration,,,Locale_NikkeEpisode:d_nikke_volume_03_73,False,,black,black,1.0,none,sfx_scn_knock,,,,,1,no,neon,,13,worry,anis,,15,idle,rapi
d_nikke_volume_03_74,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_74,True,,black,black,1.0,,,,,,,,,,,,,,,,,
d_nikke_volume_03_75,d_nikke_volume_03,Narration,,,Locale_NikkeEpisode:d_nikke_volume_03_75,False,NikkeRoom,black,black,1.0,,sfx_scn_autodooropen,,,,volume,1,idle,,,,,,,,,
d_nikke_volume_03_76,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_76,True,,1,1,1.0,bgm_story_breakaway,,,,,,1,idle,,,,,,,,,
d_nikke_volume_03_77,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_77,False,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_volume_03_78,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_78,True,,1,1,1.0,,,,,,,1,angry,,,,,,,,,
d_nikke_volume_03_79,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_79,True,,1,1,1.0,,,,,,,1,angry,,,,,,,,,
d_nikke_volume_03_80,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_80,False,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_volume_03_81,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_81,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_volume_03_82,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_82,False,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_volume_03_83,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_83,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_volume_03_84,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_84,False,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_volume_03_85,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_85,True,,1,S_10,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_volume_03_86,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_86,True,,S_10,S_10,1.0,,,,,,,1,delight,,,,,,,,,
d_nikke_volume_03_87,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_87,False,,S_10,S_10,1.0,,,,,,,1,delight,,,,,,,,,
d_nikke_volume_03_88,d_nikke_volume_03,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_03_88,True,,S_10,S_10,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_volume_03_89,d_nikke_volume_03,Self,,,Locale_NikkeEpisode:d_nikke_volume_03_89,False,,S_10,S_10,1.0,,,,,,,1,idle,,,,,,,,,
