id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,jump_target,characters/9/hide_char_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,characters/0/hide_char_id
d_nikke_dolla_05_16,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_16,True,,,1,1,1.0,,,dolla,dolla,,,,,,,,1,no,,
d_nikke_dolla_05_17,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_17,True,,,1,1,1.0,,bgm_story_kneeldownfools,dolla,dolla,,,,,,,,1,angry,,
d_nikke_dolla_05_18,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_18,True,,,1,S_10,0.3,,,dolla,dolla,,,,,,,,1,surprise,,
d_nikke_dolla_05_19,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_19,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,no,,
d_nikke_dolla_05_20,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_20,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,no,,
d_nikke_dolla_05_21,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_21,True,,,S_10,1,2.0,,,dolla,dolla,,,,,,,,1,idle,,
d_nikke_dolla_05_22,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_22,True,,,1,1,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_23,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_23,True,,,1,1,1.0,,,dolla,dolla,,,,,,,,1,surprise,,
d_nikke_dolla_05_24,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_24,True,,,1,1,1.0,,none,dolla,dolla,,,,,,,,1,idle,,
d_nikke_dolla_05_25,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_25,False,,,1,1,1.0,,,dolla,,,,,d_nikke_dolla_05_27,,,,1,idle,,
d_nikke_dolla_05_26,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_26,False,,,1,1,1.0,,,dolla,,,,,d_nikke_dolla_05_29,,,,1,idle,,
d_nikke_dolla_05_27,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_27,True,,,1,1,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_28,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_28,True,,,1,1,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_33,,,,1,good,,
d_nikke_dolla_05_29,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_29,True,,,1,1,1.0,,,dolla,dolla,,,,,,,,1,surprise,,
d_nikke_dolla_05_30,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_30,True,,,1,1,1.0,,,dolla,dolla,,,,,,,,1,no,,
d_nikke_dolla_05_31,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_31,True,,,1,1,1.0,,,dolla,dolla,,,,,,,,1,no,,
d_nikke_dolla_05_32,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_32,True,,,1,1,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_33,,,,1,no,,
d_nikke_dolla_05_33,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_33,True,,,1,1,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_34,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_34,True,,,1,1,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_35,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_35,True,,,S_10,S_10,1.0,,bgm_story_inwonderland,dolla,dolla,,,,,,black,,1,idle,,
d_nikke_dolla_05_36,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_36,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_39,,,,1,idle,,
d_nikke_dolla_05_37,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_37,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_42,,,,1,idle,,
d_nikke_dolla_05_38,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_38,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_54,,,,1,idle,,
d_nikke_dolla_05_39,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_39,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,surprise,,
d_nikke_dolla_05_40,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_40,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,surprise,,
d_nikke_dolla_05_41,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_41,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_56,,,,1,good,,
d_nikke_dolla_05_42,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_42,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,surprise,,
d_nikke_dolla_05_43,d_nikke_dolla_05,Self,Locale_NikkeEpisode:d_nikke_dolla_05_43,False,,,S_10,S_10,1.0,,,dolla,,,,,,,,,1,surprise,,
d_nikke_dolla_05_44,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_44,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_45,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_45,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_49,,,,1,good,,
d_nikke_dolla_05_46,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_46,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_49,,,,1,good,,
d_nikke_dolla_05_47,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_47,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_52,,,,1,good,,
d_nikke_dolla_05_48,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_48,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_49,,,,1,good,,
d_nikke_dolla_05_49,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_49,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,no,,
d_nikke_dolla_05_50,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_50,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_51,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_51,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_56,,,,1,good,,
d_nikke_dolla_05_52,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_52,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,surprise,,
d_nikke_dolla_05_53,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_53,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_56,,,,1,surprise,,
d_nikke_dolla_05_54,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_54,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_55,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_55,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_56,,,,1,good,,
d_nikke_dolla_05_56,d_nikke_dolla_05,Monologue,Locale_NikkeEpisode:d_nikke_dolla_05_56,False,,,S_10,S_10,1.0,,,dolla,,,,,,,,,1,good,,
d_nikke_dolla_05_57,d_nikke_dolla_05,Monologue,Locale_NikkeEpisode:d_nikke_dolla_05_57,False,,,S_10,S_10,1.0,,,dolla,,,,,,,,,1,good,,
d_nikke_dolla_05_58,d_nikke_dolla_05,Monologue,Locale_NikkeEpisode:d_nikke_dolla_05_58,False,,,S_10,S_10,1.0,,,dolla,,,,,,,,,1,good,,
d_nikke_dolla_05_59,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_59,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_61,,,,1,good,,
d_nikke_dolla_05_60,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_60,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_63,,,,1,good,,
d_nikke_dolla_05_61,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_61,False,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,surprise,,
d_nikke_dolla_05_62,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_62,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_64,,,,1,shy,,
d_nikke_dolla_05_63,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_63,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_64,,,,1,good,,
d_nikke_dolla_05_64,d_nikke_dolla_05,Monologue,Locale_NikkeEpisode:d_nikke_dolla_05_64,False,,,S_10,S_10,1.0,,,dolla,,,,,,,,,1,good,,
d_nikke_dolla_05_65,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_65,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_67,,,,1,good,,
d_nikke_dolla_05_66,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_66,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_75,,,,1,good,,
d_nikke_dolla_05_67,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_67,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,idle,,
d_nikke_dolla_05_68,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_68,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,idle,,
d_nikke_dolla_05_69,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_69,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,idle,,
d_nikke_dolla_05_70,d_nikke_dolla_05,Self,Locale_NikkeEpisode:d_nikke_dolla_05_70,False,,,S_10,S_10,1.0,,,dolla,,,,,,,,,1,idle,,
d_nikke_dolla_05_71,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_71,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,surprise,,
d_nikke_dolla_05_72,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_72,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,no,,
d_nikke_dolla_05_73,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_73,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,no,,
d_nikke_dolla_05_74,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_74,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_85,,,,1,shy,,
d_nikke_dolla_05_75,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_75,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,no,,
d_nikke_dolla_05_76,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_76,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,no,,
d_nikke_dolla_05_77,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_77,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,idle,,
d_nikke_dolla_05_78,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_78,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,idle,,
d_nikke_dolla_05_79,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_79,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_80,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_80,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_81,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_81,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_83,,,,1,good,,
d_nikke_dolla_05_82,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_82,False,,,S_10,S_10,1.0,,,dolla,,,,,d_nikke_dolla_05_84,,,,1,good,,
d_nikke_dolla_05_83,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_83,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_85,,,,1,good,,
d_nikke_dolla_05_84,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_84,True,,,S_10,S_10,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_85,,,,1,good,,
d_nikke_dolla_05_85,d_nikke_dolla_05,Self,Locale_NikkeEpisode:d_nikke_dolla_05_85,False,,,S_10,S_10,1.0,,,dolla,,,,,,,,,1,good,,
d_nikke_dolla_05_86,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_86,True,,,S_10,S_100,2.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_87,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_87,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,good,Blur_Low,
d_nikke_dolla_05_88,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_88,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,idle,Blur_Low,
d_nikke_dolla_05_89,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_89,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,idle,Blur_Low,
d_nikke_dolla_05_90,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_90,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,idle,,
d_nikke_dolla_05_91,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_91,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,idle,,
d_nikke_dolla_05_92,d_nikke_dolla_05,,Locale_NikkeEpisode:d_nikke_dolla_05_92,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_93,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_93,False,,,S_100,S_100,1.0,,,dolla,,,,,d_nikke_dolla_05_95,,,,1,good,,
d_nikke_dolla_05_94,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_94,False,,,S_100,S_100,1.0,,,dolla,,,,,d_nikke_dolla_05_97,,,,1,good,,
d_nikke_dolla_05_95,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_95,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_96,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_96,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_99,,,,1,good,,
d_nikke_dolla_05_97,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_97,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_98,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_98,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,d_nikke_dolla_05_99,,,,1,good,,
d_nikke_dolla_05_99,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_99,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_100,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_100,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,good,,
d_nikke_dolla_05_101,d_nikke_dolla_05,Self,Locale_NikkeEpisode:d_nikke_dolla_05_101,False,,,S_100,S_100,1.0,,,dolla,,,,,,,,,1,good,,
d_nikke_dolla_05_102,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_102,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,surprise,,
d_nikke_dolla_05_103,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_103,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,shy,Blur_Low,
d_nikke_dolla_05_104,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_104,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,shy,Blur_Low,
d_nikke_dolla_05_105,d_nikke_dolla_05,Self,Locale_NikkeEpisode:d_nikke_dolla_05_105,False,,,S_100,S_100,1.0,,,dolla,,,,,,,,,1,shy,Blur_Low,
d_nikke_dolla_05_106,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_106,True,,,S_100,S_100,1.0,,,dolla,dolla,,,,,,,,1,shy,Blur_Low,
d_nikke_dolla_05_107,d_nikke_dolla_05,Narration,Locale_NikkeEpisode:d_nikke_dolla_05_107,False,,,black,black,1.0,,,,,,,,,,,,1,shy,,dolla
d_nikke_dolla_05_108,d_nikke_dolla_05,Narration,Locale_NikkeEpisode:d_nikke_dolla_05_108,False,,,black,black,1.0,,,,,,,,,,,,,,,
