id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_clay_01_13,d_nikke_clay_01,Narration,,,Locale_NikkeEpisode:d_nikke_clay_01_13,False,Park_n,black,black,1.0,,black,,,,12,idle,mary,,2,sad,clay,,,,
d_nikke_clay_01_14,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_14,True,,20,20,1.0,,,,,,,,,clay,2,no,,,,,
d_nikke_clay_01_15,d_nikke_clay_01,Narration,,,Locale_NikkeEpisode:d_nikke_clay_01_15,False,,20,20,1.0,,,,,,,,,,2,no,,,,,
d_nikke_clay_01_16,d_nikke_clay_01,Speech,unknown,unknown,Locale_NikkeEpisode:d_nikke_clay_01_16,False,,20,20,1.0,,,,,,,,,,2,no,,,,,
d_nikke_clay_01_17,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_17,True,,20,200,1.0,,,Low_2,,,,,,,2,worry,,,,,
d_nikke_clay_01_18,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_18,True,,200,200,1.0,,,,,,,,,,2,worry,,,,,
d_nikke_clay_01_19,d_nikke_clay_01,Narration,bay,,Locale_NikkeEpisode:d_nikke_clay_01_19,False,,200,1,1.0,,,,,,,,,,2,worry,,bay,12,idle,
d_nikke_clay_01_20,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_20,True,,1,1,1.0,,,,,,,,,,2,worry,,,12,idle,
d_nikke_clay_01_21,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_21,True,,1,1,1.0,,,,,,,,,,2,worry,,,12,idle,
d_nikke_clay_01_22,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_22,True,,1,1,1.0,,,,,,,,,,2,sad,,,12,idle,
d_nikke_clay_01_23,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_23,True,,1,1,1.0,,,,,,,,,,2,delight,,,12,idle,
d_nikke_clay_01_24,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_24,True,,1,1,1.0,,,,,,,,,,2,delight,,,12,idle,
d_nikke_clay_01_25,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_25,True,,1,1,1.0,,,,,,,,,,2,delight,,,12,idle,
d_nikke_clay_01_26,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_26,True,,1,1,1.0,,,,,,,,,,2,delight,,,12,idle,
d_nikke_clay_01_27,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_27,True,,1,1,1.0,,,,,,,,,,2,worry,,,12,idle,
d_nikke_clay_01_28,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_28,True,,1,1,1.0,,,,,,,,,,2,worry,,,12,idle,
d_nikke_clay_01_29,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_29,True,,1,1,1.0,,,,,,,,,,2,worry,,,12,idle,
d_nikke_clay_01_30,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_30,True,,1,1,1.0,,,,,,,,,,2,worry,,,12,idle,
d_nikke_clay_01_31,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_31,True,,1,1,1.0,,,,,,,,,,2,worry,,,12,idle,
d_nikke_clay_01_32,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_32,True,,1,120,1.0,,,,,,,,,,2,worry,,,12,idle,
d_nikke_clay_01_33,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_33,True,,120,120,1.0,,,,,,,,,,2,worry,,,12,idle,
d_nikke_clay_01_34,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_34,True,,120,120,1.0,,,,,,,,,,2,worry,,,12,idle,
d_nikke_clay_01_35,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_35,True,,120,1,1.0,,,,,,,,,,2,sad,,,12,idle,
d_nikke_clay_01_36,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_36,True,,1,1,1.0,,,,,,,,,,2,sad,,,12,idle,
d_nikke_clay_01_37,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_37,True,,1,1,1.0,,,,,,,,,,2,sad,,,12,idle,
d_nikke_clay_01_38,d_nikke_clay_01,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_01_38,True,,1,1,1.0,,,,,,,,,,2,sad,,,12,idle,
d_nikke_clay_01_39,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_39,True,,1,20,1.0,,,,,,,,,,2,worry,,,12,idle,
d_nikke_clay_01_40,d_nikke_clay_01,Narration,,,Locale_NikkeEpisode:d_nikke_clay_01_40,False,,black,black,1.0,none,,,sfx_scn_bang,,,,,,2,worry,clay,,12,idle,bay
d_nikke_clay_01_41,d_nikke_clay_01,Narration,,,Locale_NikkeEpisode:d_nikke_clay_01_41,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_clay_01_42,d_nikke_clay_01,Narration,,,Locale_NikkeEpisode:d_nikke_clay_01_42,False,CommanderRoom,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_clay_01_43,d_nikke_clay_01,Narration,,,Locale_NikkeEpisode:d_nikke_clay_01_43,False,,10,10,1.0,bgm_story_backtonormal,,,sfx_scn_autodooropen,,,,,,,,,,,,
d_nikke_clay_01_44,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_44,True,,10,10,1.0,,,,,,,,,clay,1,sad,,,,,
d_nikke_clay_01_45,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_45,False,,10,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_46,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_46,False,,10,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_47,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_47,True,,10,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_48,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_48,False,,10,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_49,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_49,True,,10,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_50,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_50,True,,10,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_51,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_51,True,,10,100,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_52,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_52,True,,100,100,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_53,d_nikke_clay_01,Monologue,,,Locale_NikkeEpisode:d_nikke_clay_01_53,False,,100,100,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_54,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_54,False,,100,100,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_55,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_55,True,,100,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_56,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_56,True,,10,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_57,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_57,False,,10,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_58,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_58,True,,10,10,1.0,,,,,,,,,,1,idle,,,,,
d_nikke_clay_01_59,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_59,True,,10,10,1.0,,,,,,,,,,1,idle,,,,,
d_nikke_clay_01_60,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_60,True,,10,10,1.0,,,,,,,,,,1,idle,,,,,
d_nikke_clay_01_61,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_61,True,,10,10,1.0,,,,,,,,,,1,idle,,,,,
d_nikke_clay_01_62,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_62,False,,10,10,1.0,,,,,,,,,,1,idle,,,,,
d_nikke_clay_01_63,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_63,True,,10,10,1.0,,,,,,,,,,1,surprise,,,,,
d_nikke_clay_01_64,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_64,False,,10,10,1.0,,,,,,,,,,1,surprise,,,,,
d_nikke_clay_01_65,d_nikke_clay_01,Monologue,,,Locale_NikkeEpisode:d_nikke_clay_01_65,False,,black,black,1.0,,,,,,,,,,1,idle,,,,,
d_nikke_clay_01_66,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_66,False,,10,10,1.0,,,,,,,,,,1,idle,,,,,
d_nikke_clay_01_67,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_67,True,,10,10,1.0,,,,,,,,,,1,idle,,,,,
d_nikke_clay_01_68,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_68,True,,10,10,1.0,,,,,,,,,,1,idle,,,,,
d_nikke_clay_01_69,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_69,True,,10,10,1.0,,,,,,,,,,1,idle,,,,,
d_nikke_clay_01_70,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_70,False,,10,10,1.0,,,,,,,,,,1,idle,,,,,
d_nikke_clay_01_71,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_71,True,,10,10,1.0,,,,,,,,,,1,delight,,,,,
d_nikke_clay_01_72,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_72,True,,10,10,1.0,,,,,,,,,,1,delight,,,,,
d_nikke_clay_01_73,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_73,True,,10,10,1.0,,,,,,,,,,1,delight,,,,,
d_nikke_clay_01_74,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_74,False,,10,10,1.0,,,,,,,,,,1,delight,,,,,
d_nikke_clay_01_75,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_75,True,,10,10,1.0,,,,,,,,,,1,surprise,,,,,
d_nikke_clay_01_76,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_76,False,,10,10,1.0,,,,,,,,,,1,surprise,,,,,
d_nikke_clay_01_77,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_77,True,,10,100,1.0,,,Low_2,,,,,,,1,shy,,,,,
d_nikke_clay_01_78,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_78,True,,100,100,1.0,,,,,,,,,,1,shy,,,,,
d_nikke_clay_01_79,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_79,True,,100,100,1.0,,,,,,,,,,1,shy,,,,,
d_nikke_clay_01_80,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_80,False,,100,100,1.0,,,,,,,,,,1,shy,,,,,
d_nikke_clay_01_81,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_81,True,,10,10,1.0,,black,,,,,,,,1,sad,,,,,
d_nikke_clay_01_82,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_82,True,,10,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_83,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_83,True,,10,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_84,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_84,False,,10,10,1.0,,,,,,,,,,1,sad,,,,,
d_nikke_clay_01_85,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_85,True,,10,10,1.0,,,,,,,,,,1,surprise,,,,,
d_nikke_clay_01_86,d_nikke_clay_01,Self,,,Locale_NikkeEpisode:d_nikke_clay_01_86,False,,10,10,1.0,,,,,,,,,,1,surprise,,,,,
d_nikke_clay_01_87,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_87,True,,10,100,1.0,,,,,,,,,,1,surprise,,,,,
