id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id,fade,jump_target
d_nikke_rapi_05_20,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_20,True,,2,idle,,12,void,,14,idle,,1,1,1.0,,,,,
d_nikke_rapi_05_21,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_21,True,,2,idle,,12,idle,,14,idle,,1,1,1.0,,,,,
d_nikke_rapi_05_22,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_22,True,,2,delight,,12,idle,,14,idle,,1,1,1.0,,,,,
d_nikke_rapi_05_23,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_23,True,,2,delight,,12,delight,,14,idle,,1,1,1.0,,,,,
d_nikke_rapi_05_24,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_24,False,,2,idle,,12,delight,,14,idle,,1,1,1.0,,,,,
d_nikke_rapi_05_25,d_nikke_rapi_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_rapi_05_25,True,,2,idle,,12,delight,,14,idle,,1,13,1.0,,,,,
d_nikke_rapi_05_26,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_26,True,,2,idle,,12,idle,,14,idle,,13,13,1.0,,,,,
d_nikke_rapi_05_27,d_nikke_rapi_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_rapi_05_27,True,,2,idle,,12,idle,,14,surprise,,13,13,1.0,,,,,
d_nikke_rapi_05_28,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_28,True,,2,idle,,12,delight,,14,surprise,,13,13,1.0,,,,,
d_nikke_rapi_05_29,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_29,True,,2,idle,,12,delight,,14,idle,,13,20,1.0,,,,,
d_nikke_rapi_05_30,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_30,True,,2,idle,,12,delight,,14,idle,,20,20,1.0,,,,,
d_nikke_rapi_05_31,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_31,True,,2,idle,,12,delight,,14,idle,CommanderRoom_n,2,2,1.0,ambient_scn_wind,anis,neon,black,
d_nikke_rapi_05_32,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_32,False,,2,idle,,,,,,,,2,2,1.0,,,,,
d_nikke_rapi_05_33,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_33,True,,2,idle,,,,,,,,2,2,1.0,,,,,
d_nikke_rapi_05_34,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_34,True,,2,idle,,,,,,,,2,2,1.0,,,,,
d_nikke_rapi_05_35,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_35,False,,2,idle,,,,,,,,2,2,1.0,,,,,
d_nikke_rapi_05_36,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_36,True,,2,idle,,,,,,,,2,2,1.0,,,,,
d_nikke_rapi_05_37,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_37,True,,2,idle,,,,,,,,2,20,1.0,,,,,
d_nikke_rapi_05_38,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_38,False,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_39,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_39,True,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_40,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_40,True,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_41,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_41,True,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_42,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_42,True,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_43,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_43,True,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_44,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_44,True,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_45,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_45,True,,2,idle,,,,,,,,20,2,1.0,,,,,
d_nikke_rapi_05_46,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_46,False,,2,idle,,,,,,,,2,2,1.0,,,,,
d_nikke_rapi_05_47,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_47,True,,2,think,,,,,,,,2,2,1.0,,,,,
d_nikke_rapi_05_48,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_48,True,,2,think,,,,,,,,2,2,1.0,,,,,
d_nikke_rapi_05_49,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_49,False,,2,think,,,,,,,,2,2,1.0,,,,,
d_nikke_rapi_05_50,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_50,True,,2,idle,,,,,,,,2,20,1.0,bgm_story_impression,,,,
d_nikke_rapi_05_51,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_51,True,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_52,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_52,True,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_53,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_53,False,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_54,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_54,True,,2,worry,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_55,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_55,True,,2,worry,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_56,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_56,True,,2,think,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_57,d_nikke_rapi_05,Choice,rapi,,Locale_NikkeEpisode:d_nikke_rapi_05_57,False,,2,think,,,,,,,,20,20,1.0,,,,,d_nikke_rapi_05_59
d_nikke_rapi_05_58,d_nikke_rapi_05,Choice,rapi,,Locale_NikkeEpisode:d_nikke_rapi_05_58,False,,2,think,,,,,,,,20,20,1.0,,,,,d_nikke_rapi_05_61
d_nikke_rapi_05_59,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_59,True,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_60,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_60,True,,2,delight,,,,,,,,20,20,1.0,,,,,d_nikke_rapi_05_63
d_nikke_rapi_05_61,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_61,True,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_62,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_62,True,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_63,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_63,False,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_64,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_64,True,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_65,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_65,False,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_66,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_66,False,,2,idle,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_67,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_67,True,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_68,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_68,True,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_69,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_69,True,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_70,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_70,True,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_71,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_71,True,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_72,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_72,True,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_73,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_73,True,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_74,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_74,True,,2,delight,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_75,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_75,True,,2,special,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_76,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_76,False,,2,special,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_77,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_77,False,,2,special,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_78,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_78,False,,2,special,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_79,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_79,True,,2,special,,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_80,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_80,False,,2,"expression_0,idle",,,,,,,,20,20,1.0,,,,,
d_nikke_rapi_05_81,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_81,True,,2,special,,,,,,,,20,20,1.0,,,,,
