id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_nero_02_23,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_23,True,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_24,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_24,False,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_25,d_nikke_nero_02,Choice,,,Locale_NikkeEpisode:d_nikke_nero_02_25,False,,L_10,L_10,1.0,,d_nikke_nero_02_27,,,,,1,sad
d_nikke_nero_02_26,d_nikke_nero_02,Choice,,,Locale_NikkeEpisode:d_nikke_nero_02_26,False,,L_10,L_10,1.0,,d_nikke_nero_02_30,,,,,1,sad
d_nikke_nero_02_27,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_27,True,,L_10,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_28,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_28,True,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_29,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_29,False,,L_100,L_100,1.0,,d_nikke_nero_02_34,,,,,1,sad
d_nikke_nero_02_30,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_30,True,,L_10,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_31,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_31,True,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_32,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_32,True,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_33,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_33,False,,L_100,L_100,1.0,,d_nikke_nero_02_34,,,,,1,sad
d_nikke_nero_02_34,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_34,True,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_35,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_35,True,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_36,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_36,False,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_37,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_37,False,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_38,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_38,True,,L_100,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_39,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_39,False,,L_10,L_10,1.0,,,black,,,,1,sad
d_nikke_nero_02_40,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_40,False,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_41,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_41,False,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_42,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_42,False,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_43,d_nikke_nero_02,Narration,,,Locale_NikkeEpisode:d_nikke_nero_02_43,False,,black,black,1.0,,,,sfx_scn_splash,,,1,sad
d_nikke_nero_02_44,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_44,True,,L_10,L_10,1.0,,,,,,,1,angry
d_nikke_nero_02_45,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_45,False,,L_10,L_10,1.0,,,,,,,1,angry
d_nikke_nero_02_46,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_46,False,,L_10,L_10,1.0,,,,,,,1,angry
d_nikke_nero_02_47,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_47,False,,L_10,L_10,1.0,,,,,,,1,angry
d_nikke_nero_02_48,d_nikke_nero_02,Narration,,,Locale_NikkeEpisode:d_nikke_nero_02_48,False,,L_10,L_100,1.0,,,,,,,1,angry
d_nikke_nero_02_49,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_49,False,,L_100,L_100,1.0,,,,,,,1,angry
d_nikke_nero_02_50,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_50,False,,L_100,L_100,1.0,,,,,,,1,angry
d_nikke_nero_02_51,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_51,False,,L_100,L_100,1.0,,,,,,,1,angry
d_nikke_nero_02_52,d_nikke_nero_02,Choice,,,Locale_NikkeEpisode:d_nikke_nero_02_52,False,,L_100,L_100,1.0,,d_nikke_nero_02_54,,,,,1,angry
d_nikke_nero_02_53,d_nikke_nero_02,Choice,,,Locale_NikkeEpisode:d_nikke_nero_02_53,False,,L_100,L_100,1.0,,d_nikke_nero_02_54,,,,,1,angry
d_nikke_nero_02_54,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_54,False,,L_100,L_100,1.0,,,,,,,1,angry
d_nikke_nero_02_55,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_55,False,,L_100,L_10,1.0,,,,,,,1,angry
d_nikke_nero_02_56,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_56,True,,L_10,L_10,1.0,,,,,,,1,shy
d_nikke_nero_02_57,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_57,False,,L_10,L_10,1.0,,,,,,,1,shy
d_nikke_nero_02_58,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_58,False,,L_10,L_10,1.0,,,,,,,1,shy
d_nikke_nero_02_59,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_59,False,,L_10,L_10,1.0,none,,,,,,1,shy
d_nikke_nero_02_60,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_60,False,,L_10,L_10,1.0,,,,,,,1,shy
d_nikke_nero_02_61,d_nikke_nero_02,Narration,,,Locale_NikkeEpisode:d_nikke_nero_02_61,False,,L_10,L_100,0.5,,,,sfx_scn_waterdive,Low_2,,1,shy
d_nikke_nero_02_62,d_nikke_nero_02,Narration,,,Locale_NikkeEpisode:d_nikke_nero_02_62,False,,L_100,L_100,1.0,,,,sfx_scn_waterslide,,,1,shy
d_nikke_nero_02_63,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_63,True,,L_100,L_100,1.0,,,,,,,1,shy
d_nikke_nero_02_64,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_64,False,,L_100,L_100,1.0,,,,,,,1,shy
d_nikke_nero_02_65,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_65,True,,L_100,L_100,1.0,bgm_story_herecomestrouble,,,,,,1,sad
d_nikke_nero_02_66,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_66,False,,L_100,L_1500,1.0,,,,,,,15,sad
d_nikke_nero_02_67,d_nikke_nero_02,Narration,,,Locale_NikkeEpisode:d_nikke_nero_02_67,False,,L_1500,L_1500,1.0,,,,sfx_scn_heavytrip,Low_2,,15,sad
d_nikke_nero_02_68,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_68,True,,L_1500,L_1500,1.0,,,,,,,15,angry
d_nikke_nero_02_69,d_nikke_nero_02,Choice,,,Locale_NikkeEpisode:d_nikke_nero_02_69,False,,L_1500,L_1500,1.0,,d_nikke_nero_02_71,,,,,15,angry
d_nikke_nero_02_70,d_nikke_nero_02,Choice,,,Locale_NikkeEpisode:d_nikke_nero_02_70,False,,L_1500,L_1500,1.0,,d_nikke_nero_02_74,,,,,15,angry
d_nikke_nero_02_71,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_71,True,,L_1500,L_1500,1.0,,,,,,,15,angry
d_nikke_nero_02_72,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_72,False,,L_1500,L_1500,1.0,,,,,,,15,angry
d_nikke_nero_02_73,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_73,False,,L_1500,L_1500,1.0,,d_nikke_nero_02_74,,,,,15,angry
d_nikke_nero_02_74,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_74,True,,L_1500,L_1500,1.0,,,,,,,15,shy
d_nikke_nero_02_75,d_nikke_nero_02,Narration,,,Locale_NikkeEpisode:d_nikke_nero_02_75,False,,L_1500,L_1500,1.0,,,,,,,15,shy
d_nikke_nero_02_76,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_76,False,,L_1500,L_150,1.0,,,,,,,15,shy
d_nikke_nero_02_77,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_77,False,,L_150,L_150,1.0,none,,,,,,15,shy
d_nikke_nero_02_78,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_78,False,,L_150,L_150,1.0,,,,,,,15,shy
d_nikke_nero_02_79,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_79,True,,L_150,L_150,1.0,bgm_story_backtonormal,,,,,,15,shy
d_nikke_nero_02_80,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_80,False,,L_150,L_150,1.0,,,,,,,15,shy
d_nikke_nero_02_81,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_81,False,,L_150,L_150,1.0,,,,,,,15,shy
d_nikke_nero_02_82,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_82,False,,L_150,L_150,1.0,,,,,,,15,shy
d_nikke_nero_02_83,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_83,True,,L_150,L_150,1.0,,,,,,,15,shy
d_nikke_nero_02_84,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_84,False,,L_150,L_150,1.0,,,,,,,15,shy
d_nikke_nero_02_85,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_85,True,,L_150,L_150,1.0,,,,,,,15,idle
d_nikke_nero_02_86,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_86,False,,L_150,L_150,1.0,,,,,,,15,idle
d_nikke_nero_02_87,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_87,True,,L_150,L_150,1.0,,,,,,,15,idle
d_nikke_nero_02_88,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_88,True,,L_150,L_150,1.0,,,,,,,15,idle
d_nikke_nero_02_89,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_89,True,,L_150,L_150,1.0,,,,,,,15,idle
d_nikke_nero_02_90,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_90,False,,L_150,L_150,1.0,,,,,,,15,idle
d_nikke_nero_02_91,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_91,True,,L_150,L_150,1.0,,,,,,,15,idle
d_nikke_nero_02_92,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_92,False,,L_150,L_150,1.0,,,,,,,15,idle
d_nikke_nero_02_93,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_93,True,,L_150,L_150,1.0,,,,,,,15,idle
d_nikke_nero_02_94,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_94,True,,L_150,15,1.0,,,,,,,15,idle
d_nikke_nero_02_95,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_95,True,,15,15,1.0,,,,,,,15,idle
d_nikke_nero_02_96,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_96,True,,15,15,1.0,,,,,,,15,idle
d_nikke_nero_02_97,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_97,False,,black,black,1.0,,,,,,,15,idle
