id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,fade,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_cocoa_02_24,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_24,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,
d_nikke_cocoa_02_25,d_nikke_cocoa_02,Self,,Self,Locale_NikkeEpisode:d_nikke_cocoa_02_25,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,,,
d_nikke_cocoa_02_26,d_nikke_cocoa_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_cocoa_02_26,False,Bar,1,1,1.0,none,,sfx_scn_chimebell,black,,,1,idle,cocoa,,,,,,
d_nikke_cocoa_02_27,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_27,True,,1,1,1.0,bgm_story_tuffguys,,,,,cocoa,1,delight,,,,,,,
d_nikke_cocoa_02_28,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_28,True,,1,1,1.0,,,,,,,1,delight,,,,,,,
d_nikke_cocoa_02_29,d_nikke_cocoa_02,Choice,,,Locale_NikkeEpisode:d_nikke_cocoa_02_29,False,,1,1,1.0,,d_nikke_cocoa_02_31,,,,,1,delight,,,,,,,
d_nikke_cocoa_02_30,d_nikke_cocoa_02,Choice,,,Locale_NikkeEpisode:d_nikke_cocoa_02_30,False,,1,1,1.0,,d_nikke_cocoa_02_31,,,,,1,delight,,,,,,,
d_nikke_cocoa_02_31,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_31,True,,1,1,2.0,,,,,,,1,idle,,,,,,,
d_nikke_cocoa_02_32,d_nikke_cocoa_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_cocoa_02_32,False,,black,black,1.0,,,sfx_scn_aedcharge,,Red,,1,idle,,,,,,,
d_nikke_cocoa_02_33,d_nikke_cocoa_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_cocoa_02_33,False,,1,1,1.0,,,,,Red,,1,idle,,,,,,,
d_nikke_cocoa_02_34,d_nikke_cocoa_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_cocoa_02_34,False,,1,1,1.0,,,,,Red,,1,idle,,,,,,,
d_nikke_cocoa_02_35,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_35,True,,1,2,1.0,,,,,Red,,1,idle,,,,,,,
d_nikke_cocoa_02_36,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_36,True,,2,13,1.0,,,,,Red,,1,idle,,,,,,,
d_nikke_cocoa_02_37,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_37,True,,13,13,1.0,,,,,Red,,1,idle,,,,,,,
d_nikke_cocoa_02_38,d_nikke_cocoa_02,Choice,,,Locale_NikkeEpisode:d_nikke_cocoa_02_38,False,,13,13,1.0,,d_nikke_cocoa_02_40,,,Red,,1,idle,,,,,,,
d_nikke_cocoa_02_39,d_nikke_cocoa_02,Choice,,,Locale_NikkeEpisode:d_nikke_cocoa_02_39,False,,13,13,1.0,,d_nikke_cocoa_02_40,,,Red,,1,idle,,,,,,,
d_nikke_cocoa_02_40,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_40,True,,13,1,1.0,,,sfx_scn_remotesignal,,,,1,serious,,,,,,,
d_nikke_cocoa_02_41,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_41,True,,1,1,1.0,,,,,,,1,serious,,,,,,,
d_nikke_cocoa_02_42,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_42,True,,1,12,1.0,,,,,,,1,idle,,satou,13,idle,,,
d_nikke_cocoa_02_43,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_43,True,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,
d_nikke_cocoa_02_44,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_44,True,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,
d_nikke_cocoa_02_45,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_45,True,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,
d_nikke_cocoa_02_46,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_46,True,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,
d_nikke_cocoa_02_47,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_47,True,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,
d_nikke_cocoa_02_48,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_48,True,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,
d_nikke_cocoa_02_49,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_49,False,,12,12,1.0,,,,,,,1,serious,,,13,idle,,,
d_nikke_cocoa_02_50,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_50,True,,12,12,1.0,,,,,,,1,serious,,,13,idle,,,
d_nikke_cocoa_02_51,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_51,True,,12,L_130,2.0,,,,,,,1,serious,,,13,idle,,,
d_nikke_cocoa_02_52,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_52,True,,L_130,L_130,1.0,,,,,,,1,serious,,,13,idle,,,
d_nikke_cocoa_02_53,d_nikke_cocoa_02,Self,,Self,Locale_NikkeEpisode:d_nikke_cocoa_02_53,False,,L_130,L_130,1.0,,,,,,,1,serious,,,13,idle,,,
d_nikke_cocoa_02_54,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_54,True,,L_130,L_130,1.0,,,,,,,1,serious,,,13,idle,,,
d_nikke_cocoa_02_55,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_55,True,,XS_10,XS_10,1.0,,,,,,,1,serious,,,13,idle,,,
d_nikke_cocoa_02_56,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_56,True,,XS_10,XS_10,1.0,,,,,,,1,serious,,,13,idle,,,
d_nikke_cocoa_02_57,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_57,True,,XS_10,XS_10,1.0,,,,,,,1,serious,,,13,idle,,,
d_nikke_cocoa_02_58,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_58,True,,XS_10,12,1.0,,,,,,,1,idle,,,13,idle,,,
d_nikke_cocoa_02_59,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_59,True,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,
d_nikke_cocoa_02_60,d_nikke_cocoa_02,Speech,satou,suspiciousman,Locale_NikkeEpisode:d_nikke_cocoa_02_60,True,,12,12,1.0,,,,,,,1,idle,,,13,idle,,,
d_nikke_cocoa_02_61,d_nikke_cocoa_02,Speech,outlaw,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_02_61,True,,12,14,1.0,,,,,,,1,idle,,,13,idle,outlaw,15,idle
d_nikke_cocoa_02_62,d_nikke_cocoa_02,Speech,satou,satou,Locale_NikkeEpisode:d_nikke_cocoa_02_62,True,,14,14,1.0,,,,,,,1,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_63,d_nikke_cocoa_02,Speech,outlaw,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_02_63,True,,14,14,1.0,,,,,,,1,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_64,d_nikke_cocoa_02,Speech,satou,satou,Locale_NikkeEpisode:d_nikke_cocoa_02_64,False,,14,L_130,1.0,,,,,,,1,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_65,d_nikke_cocoa_02,Speech,satou,satou,Locale_NikkeEpisode:d_nikke_cocoa_02_65,True,,L_130,L_130,1.0,,,,,,,1,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_66,d_nikke_cocoa_02,Speech,satou,satou,Locale_NikkeEpisode:d_nikke_cocoa_02_66,True,,L_130,L_130,1.0,,,,,,,1,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_67,d_nikke_cocoa_02,Speech,satou,satou,Locale_NikkeEpisode:d_nikke_cocoa_02_67,True,,L_130,L_130,1.0,,,,,,,1,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_68,d_nikke_cocoa_02,Speech,satou,satou,Locale_NikkeEpisode:d_nikke_cocoa_02_68,True,,L_130,L_130,1.0,,,,,,,1,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_69,d_nikke_cocoa_02,Self,,Self,Locale_NikkeEpisode:d_nikke_cocoa_02_69,False,,L_130,L_130,1.0,,,,,,,1,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_70,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_70,True,,L_130,XS_10,1.0,,,,,,,1,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_71,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_71,True,,XS_10,XS_10,1.0,,,,,,,1,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_72,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_72,True,,XS_10,XS_10,1.0,,,,,,,1,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_73,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_73,True,,XS_10,XS_10,1.0,,,,,,,1,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_74,d_nikke_cocoa_02,Self,,Self,Locale_NikkeEpisode:d_nikke_cocoa_02_74,False,,XS_10,XS_10,1.0,,,,,,,1,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_75,d_nikke_cocoa_02,Speech,outlaw,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_02_75,True,,14,14,1.0,,,,,,,1,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_76,d_nikke_cocoa_02,Speech,satou,satou,Locale_NikkeEpisode:d_nikke_cocoa_02_76,True,,14,14,1.0,,,,,,,1,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_77,d_nikke_cocoa_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_cocoa_02_77,False,,14,2,2.0,none,,,,,,2,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_78,d_nikke_cocoa_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_cocoa_02_78,False,,2,20,2.0,,,,,,,2,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_79,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_79,False,,20,S_20,2.0,,,,,,,2,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_80,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_80,True,,S_20,20,0.6,,,,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_81,d_nikke_cocoa_02,Choice,,,Locale_NikkeEpisode:d_nikke_cocoa_02_81,False,,20,20,1.0,,d_nikke_cocoa_02_86,,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_82,d_nikke_cocoa_02,Choice,,,Locale_NikkeEpisode:d_nikke_cocoa_02_82,False,,20,20,1.0,,d_nikke_cocoa_02_83,,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_83,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_83,True,,20,2,2.0,,,,,,,2,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_84,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_84,True,,2,2,1.0,,,,,,,2,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_85,d_nikke_cocoa_02,Self,,Self,Locale_NikkeEpisode:d_nikke_cocoa_02_85,False,,2,2,1.0,,,,,,,2,idle,,,13,idle,,15,idle
d_nikke_cocoa_02_86,d_nikke_cocoa_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_cocoa_02_86,False,,black,black,1.0,bgm_story_fairytalesend_a,,sfx_scn_bolt,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_87,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_87,True,,2,2,1.0,,,,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_88,d_nikke_cocoa_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_cocoa_02_88,False,,black,black,1.0,,,sfx_scn_bolt,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_89,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_89,True,,2,XS_20,1.0,,,,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_90,d_nikke_cocoa_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_cocoa_02_90,False,,black,black,1.0,,,sfx_scn_bolt,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_91,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_91,True,,XS_20,XS_20,1.0,,,,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_92,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_92,True,,XS_20,XS_20,1.0,,,,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_93,d_nikke_cocoa_02,Speech,satou,satou,Locale_NikkeEpisode:d_nikke_cocoa_02_93,False,,14,14,1.0,,,,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_94,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_94,True,,14,2,0.5,,,,,,,2,serious,,,13,idle,,15,idle
d_nikke_cocoa_02_95,d_nikke_cocoa_02,Speech,cocoa,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_02_95,True,,2,XS_20,2.0,,,,,,,2,serious,,,13,idle,,15,idle
