id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce004_01_01_23,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_23,True,,1,1,1.0,,,ce004_01,,,12,idle,,,2,idle
d_nikke_ce004_01_01_24,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_24,True,,1,1,1.0,,,ce004_01,,,12,idle,,,2,idle
d_nikke_ce004_01_01_25,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_25,True,,1,1,1.0,,,zwei,,,12,idle,,,2,idle
d_nikke_ce004_01_01_26,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_26,True,,1,1,1.0,,,ce004_01,,,12,go,,,2,idle
d_nikke_ce004_01_01_27,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_27,True,,1,1,1.0,,,ce004_01,,,12,go,,,2,idle
d_nikke_ce004_01_01_28,d_nikke_ce004_01_01,Narration,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_28,False,,black,black,1.0,,,,,,12,think,,,2,idle
d_nikke_ce004_01_01_29,d_nikke_ce004_01_01,Narration,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_29,False,,1,1,1.0,sfx_scn_scorebeep,none,,,,12,think,,,2,idle
d_nikke_ce004_01_01_30,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_30,True,,1,1,1.0,,bgm_enemyclose,zwei,,,12,think,,,2,idle
d_nikke_ce004_01_01_31,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_31,True,,1,1,1.0,,,ce004_01,,,12,think,,,2,idle
d_nikke_ce004_01_01_32,d_nikke_ce004_01_01,Narration,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_32,False,,black,black,1.0,,,,,,12,think,,,2,idle
d_nikke_ce004_01_01_33,d_nikke_ce004_01_01,Narration,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_33,False,,1,1,1.0,sfx_scn_scorebeep,,,,,12,think,,,2,idle
d_nikke_ce004_01_01_34,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_34,True,,1,1,1.0,,,ce004_01,,,12,angry,,,2,idle
d_nikke_ce004_01_01_35,d_nikke_ce004_01_01,Narration,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_35,False,,black,black,1.0,,,,,,12,angry,,,2,idle
d_nikke_ce004_01_01_36,d_nikke_ce004_01_01,Narration,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_36,False,,1,1,1.0,sfx_scn_scorebeep,,,,,12,angry,,,2,idle
d_nikke_ce004_01_01_37,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_37,True,,1,120,1.0,,,ce004_01,,,12,angry,,,2,idle
d_nikke_ce004_01_01_38,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_38,True,,120,120,1.0,,,ce004_01,,,12,angry,,,2,idle
d_nikke_ce004_01_01_39,d_nikke_ce004_01_01,Narration,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_39,False,,black,black,1.0,,,,,,12,angry,,,2,idle
d_nikke_ce004_01_01_40,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_40,True,,1,1,1.0,,,zwei,,,12,angry,,,2,pain
d_nikke_ce004_01_01_41,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_41,True,,1,1,1.0,,,ce004_01,Low_2,,12,angry,,,2,pain
d_nikke_ce004_01_01_42,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_42,True,,1,1,1.0,,,ce004_01,,,12,angry,,,2,pain
d_nikke_ce004_01_01_43,d_nikke_ce004_01_01,Narration,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_43,False,,1,1,1.0,,,,,,12,angry,ce004_01,,2,pain
d_nikke_ce004_01_01_44,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_44,False,,1,20,1.0,,,zwei,,,,,,,2,pain
d_nikke_ce004_01_01_45,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_45,True,,20,200,1.0,,,zwei,,,,,,,2,pain
