id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,conversation_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/show_char_id,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_belorta_04_32,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_32,False,,XS_100,XS_100,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_33,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_33,False,,XS_100,XS_10,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_34,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_34,True,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,,,,,,
d_nikke_belorta_04_35,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_35,True,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,,,,,,
d_nikke_belorta_04_36,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_36,True,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,,,,,,
d_nikke_belorta_04_37,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_37,True,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,,,,,,
d_nikke_belorta_04_38,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_38,True,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,,,,,,
d_nikke_belorta_04_39,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_39,True,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_40,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_40,False,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_41,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_41,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_42,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_42,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_43,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_43,True,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_44,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_44,True,,XS_10,XS_100,0.5,,,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_45,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_45,False,,XS_100,XS_100,1.0,,,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_46,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_46,True,,XS_100,XS_100,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_47,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_47,True,,XS_100,XS_100,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_48,d_nikke_belorta_04,Choice,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_48,False,,XS_100,XS_100,1.0,,d_nikke_belorta_04_50,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_49,d_nikke_belorta_04,Choice,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_49,False,,XS_100,XS_100,1.0,,d_nikke_belorta_04_52,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_50,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_50,True,,XS_100,XS_100,0.5,,,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_51,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_51,True,,XS_100,XS_100,1.0,,d_nikke_belorta_04_53,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_52,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_52,True,,XS_100,XS_100,1.0,,d_nikke_belorta_04_53,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_53,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_53,True,,XS_100,XS_10,0.5,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_54,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_54,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_55,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_55,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_56,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_56,False,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_57,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_57,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_58,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_58,False,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_59,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_59,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_60,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_60,False,,XS_10,XS_10,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_61,d_nikke_belorta_04,Monologue,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_61,False,,black,black,1.0,none,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_62,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_62,True,,black,black,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_63,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_63,True,,black,black,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_64,d_nikke_belorta_04,Narration,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_64,False,,black,black,1.0,,,sfx_scn_capopen,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_65,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_65,False,,black,black,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_66,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_66,True,,black,black,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_67,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_67,True,,black,black,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_68,d_nikke_belorta_04,Narration,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_68,False,,black,black,1.0,,,sfx_scn_pendrag,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_69,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_69,True,,black,black,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_70,d_nikke_belorta_04,Monologue,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_70,False,,black,black,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_71,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_71,False,,black,black,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_72,d_nikke_belorta_04,Narration,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_72,False,,black,black,1.0,,,sfx_scn_kiss,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_73,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_73,False,,black,black,1.0,,,,,1,idle,,,,,,,,,,,,,,
d_nikke_belorta_04_74,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_74,True,,black,black,1.0,,,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_75,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_75,True,,XS_100,XS_10,0.5,,,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_76,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_76,True,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_77,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_77,True,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_78,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_78,True,,XS_10,XS_10,1.0,,,,,1,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_79,d_nikke_belorta_04,Monologue,,,Locale_NikkeEpisode:d_nikke_belorta_04_79,False,,XS_10,XS_10,1.0,,,,,15,delight,,,,,,,,,,,,,,
d_nikke_belorta_04_80,d_nikke_belorta_04,Self,,,Locale_NikkeEpisode:d_nikke_belorta_04_80,False,,XS_10,S_130,1.0,,,,,15,delight,,belorta,,,,,,,,,,,,
d_nikke_belorta_04_81,d_nikke_belorta_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_belorta_04_81,True,,S_130,S_130,1.0,bgm_story_orangepop,,,,,,,,neon,13,surprise,,anis,1,idle,,rapi,15,idle,
d_nikke_belorta_04_82,d_nikke_belorta_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_belorta_04_82,True,,S_130,113,0.5,,,,,,,,,,13,delight,,,1,idle,,,15,idle,
d_nikke_belorta_04_83,d_nikke_belorta_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_belorta_04_83,True,,113,113,0.5,,,,,,,,,,13,delight,,,1,no,,,15,idle,
d_nikke_belorta_04_84,d_nikke_belorta_04,Self,,,Locale_NikkeEpisode:d_nikke_belorta_04_84,False,,113,113,1.0,,,,,,,,,,13,delight,,,1,no,,,15,idle,
d_nikke_belorta_04_85,d_nikke_belorta_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_belorta_04_85,True,,113,15,0.5,,,,,,,,,,13,idle,,,1,worry,,,15,worry,
d_nikke_belorta_04_86,d_nikke_belorta_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_belorta_04_86,True,,15,15,1.0,,,,,,,,,,13,idle,,,1,worry,,,15,worry,
d_nikke_belorta_04_87,d_nikke_belorta_04,Self,,,Locale_NikkeEpisode:d_nikke_belorta_04_87,False,,15,15,1.0,,,,,,,,,,13,idle,,,1,worry,,,15,worry,
d_nikke_belorta_04_88,d_nikke_belorta_04,Monologue,,,Locale_NikkeEpisode:d_nikke_belorta_04_88,False,ShowerRoom,15,1,0.5,,,,,,,,,,13,idle,neon,,1,worry,anis,,15,worry,rapi
d_nikke_belorta_04_89,d_nikke_belorta_04,Self,,,Locale_NikkeEpisode:d_nikke_belorta_04_89,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_belorta_04_90,d_nikke_belorta_04,Monologue,,,Locale_NikkeEpisode:d_nikke_belorta_04_90,False,,1,10,0.5,,,,,,,,,,,,,,,,,,,,
d_nikke_belorta_04_91,d_nikke_belorta_04,Monologue,,,Locale_NikkeEpisode:d_nikke_belorta_04_91,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_belorta_04_92,d_nikke_belorta_04,Narration,,,Locale_NikkeEpisode:d_nikke_belorta_04_92,False,,10,10,1.0,,,sfx_scn_phonevibration,m_nikke_belorta_04,,,,,,,,,,,,,,,,
d_nikke_belorta_04_93,d_nikke_belorta_04,Self,,,Locale_NikkeEpisode:d_nikke_belorta_04_93,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
