id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_arcana_02_21,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_21,True,,L_10,L_10,1.0,,arcana,,,,,1,think
d_nikke_arcana_02_22,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_22,False,,L_10,L_10,1.0,,,,,,,1,think
d_nikke_arcana_02_23,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_23,True,,L_10,L_10,1.0,,arcana,,,,,1,no
d_nikke_arcana_02_24,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_24,True,,L_10,L_10,1.0,,arcana,,,,,1,no
d_nikke_arcana_02_25,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_25,False,,L_10,L_10,1.0,,,,,,,1,no
d_nikke_arcana_02_26,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_26,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_27,d_nikke_arcana_02,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_27,False,Cafe_n,black,black,1.0,none,,black,,,,1,idle
d_nikke_arcana_02_28,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_28,True,,1,L_10,1.5,bgm_story_cottoncandy,arcana,,,,,1,idle
d_nikke_arcana_02_29,d_nikke_arcana_02,Choice,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_29,False,,L_10,L_10,1.0,,,,d_nikke_arcana_02_31,,,1,idle
d_nikke_arcana_02_30,d_nikke_arcana_02,Choice,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_30,False,,L_10,L_10,1.0,,,,d_nikke_arcana_02_41,,,1,idle
d_nikke_arcana_02_31,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_31,True,,L_10,L_10,1.0,,arcana,,,,,1,think
d_nikke_arcana_02_32,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_32,True,,L_10,L_100,1.3,,arcana,,,,,1,think
d_nikke_arcana_02_33,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_33,True,,L_100,L_100,1.0,,arcana,,,,,1,smile
d_nikke_arcana_02_34,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_34,True,,L_100,L_100,1.0,,arcana,,,,,1,smile
d_nikke_arcana_02_35,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_35,False,,L_100,L_100,1.0,,,,,,,1,smile
d_nikke_arcana_02_36,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_36,True,,L_100,L_10,1.3,,arcana,,,,,1,surprise
d_nikke_arcana_02_37,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_37,True,,L_10,L_10,1.0,,arcana,,,,,1,surprise
d_nikke_arcana_02_38,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_38,False,,L_10,L_10,1.0,,,,,,,1,surprise
d_nikke_arcana_02_39,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_39,True,,L_10,L_10,1.0,,arcana,,,,,1,delight
d_nikke_arcana_02_40,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_40,False,,L_10,L_10,1.0,,,,d_nikke_arcana_02_41,,,1,delight
d_nikke_arcana_02_41,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_41,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_42,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_42,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_43,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_43,False,,L_10,L_10,1.0,,,,,,,1,idle
d_nikke_arcana_02_44,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_44,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_45,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_45,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_46,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_46,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_47,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_47,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_48,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_48,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_49,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_49,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_50,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_50,False,,L_10,L_10,1.0,,,,,,,1,idle
d_nikke_arcana_02_51,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_51,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_52,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_52,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_53,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_53,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_54,d_nikke_arcana_02,Choice,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_54,False,,L_10,L_10,1.0,,,,d_nikke_arcana_02_56,,,1,idle
d_nikke_arcana_02_55,d_nikke_arcana_02,Choice,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_55,False,,L_10,L_10,1.0,,,,d_nikke_arcana_02_56,,,1,idle
d_nikke_arcana_02_56,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_56,True,,L_10,L_100,1.3,,arcana,,,,,1,smile
d_nikke_arcana_02_57,d_nikke_arcana_02,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_57,False,,L_100,L_100,1.0,,,,,,,1,smile
d_nikke_arcana_02_58,d_nikke_arcana_02,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_58,False,,L_100,L_100,1.0,,,,,,,1,smile
d_nikke_arcana_02_59,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_59,True,,L_100,L_100,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_60,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_60,False,,L_100,L_100,1.0,,,,,,,1,idle
d_nikke_arcana_02_61,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_61,True,,L_100,L_100,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_62,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_62,True,,L_100,L_100,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_63,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_63,False,,L_100,L_100,1.0,,,,,,,1,idle
d_nikke_arcana_02_64,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_64,True,,L_100,L_100,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_65,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_65,False,,L_100,L_100,1.0,,,,,,,1,idle
d_nikke_arcana_02_66,d_nikke_arcana_02,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_66,False,,L_100,L_100,1.0,,,,,,,1,idle
d_nikke_arcana_02_67,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_67,True,,L_100,L_100,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_68,d_nikke_arcana_02,Choice,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_68,False,,L_100,L_100,1.0,,,,d_nikke_arcana_02_70,,,1,idle
d_nikke_arcana_02_69,d_nikke_arcana_02,Choice,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_69,False,,L_100,L_100,1.0,,,,d_nikke_arcana_02_70,,,1,idle
d_nikke_arcana_02_70,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_70,True,,L_100,L_10,1.3,,arcana,,,,,1,angry
d_nikke_arcana_02_71,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_71,True,,L_10,L_10,1.0,,arcana,,,,,1,angry
d_nikke_arcana_02_72,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_72,True,,L_10,L_10,1.0,,arcana,,,,,1,angry
d_nikke_arcana_02_73,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_73,True,,L_10,L_10,1.0,,arcana,,,,,1,angry
d_nikke_arcana_02_74,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_74,False,,L_10,L_10,1.0,,,,,,,1,angry
d_nikke_arcana_02_75,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_75,True,,L_10,L_10,1.0,,arcana,,,,,1,delight
d_nikke_arcana_02_76,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_76,True,,L_10,L_10,1.0,,arcana,,,,,1,smile
d_nikke_arcana_02_77,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_77,True,,L_10,L_10,1.0,,arcana,,,,,1,smile
d_nikke_arcana_02_78,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_78,True,,L_10,L_10,1.0,,arcana,,,,,1,smile
d_nikke_arcana_02_79,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_79,True,,L_10,L_10,1.0,,arcana,,,,,1,smile
d_nikke_arcana_02_80,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_80,False,,L_10,L_10,1.0,,,,,,,1,smile
d_nikke_arcana_02_81,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_81,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_82,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_82,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_83,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_83,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_84,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_84,False,,L_10,L_10,1.0,,,,,,,1,idle
d_nikke_arcana_02_85,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_85,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_86,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_86,False,,L_10,L_10,1.0,,,,,,,1,idle
d_nikke_arcana_02_87,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_87,True,,L_10,L_100,1.3,,arcana,,,,,1,smile
d_nikke_arcana_02_88,d_nikke_arcana_02,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_88,False,,black,black,1.0,,,,,sfx_scn_card_2,,1,smile
d_nikke_arcana_02_89,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_89,True,,L_100,L_100,1.0,,arcana,,,,,1,smile
d_nikke_arcana_02_90,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_90,True,,L_100,L_100,1.0,,arcana,,,,,1,delight
d_nikke_arcana_02_91,d_nikke_arcana_02,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_91,False,,black,black,1.0,none,,,,sfx_scn_carddraw,,1,delight
d_nikke_arcana_02_92,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_92,True,,L_100,L_100,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_93,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_93,False,,L_100,L_100,1.0,,,,,,,1,idle
