id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,conversation_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_exia_04_11,d_nikke_exia_04,Narration,,,Locale_NikkeEpisode:d_nikke_exia_04_11,False,TechIndoor,5,1,2.0,bgm_story_fairytalesend_a,sfx_scn_autodooropen,,,black,,1,good,exia,,,,
d_nikke_exia_04_12,d_nikke_exia_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_exia_04_12,True,,1,130,0.5,,,,,,,,,,privaty,13,surprise,
d_nikke_exia_04_13,d_nikke_exia_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_exia_04_13,True,,130,130,1.0,,,,,,,,,,,13,surprise,
d_nikke_exia_04_14,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_14,True,,130,113,0.5,,,,,,exia,1,delight,,,13,surprise,
d_nikke_exia_04_15,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_15,True,,113,113,1.0,,,,,,,1,delight,,,13,surprise,
d_nikke_exia_04_16,d_nikke_exia_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_exia_04_16,True,,113,113,1.0,,,,,,,1,delight,,,13,angry,
d_nikke_exia_04_17,d_nikke_exia_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_exia_04_17,True,,113,113,1.0,,,,,,,1,delight,,,13,angry,
d_nikke_exia_04_18,d_nikke_exia_04,Choice,privaty,,Locale_NikkeEpisode:d_nikke_exia_04_18,False,,113,113,1.0,,,d_nikke_exia_04_20,,,,1,delight,,,13,angry,
d_nikke_exia_04_19,d_nikke_exia_04,Choice,privaty,,Locale_NikkeEpisode:d_nikke_exia_04_19,False,,113,113,1.0,,,d_nikke_exia_04_20,,,,1,delight,,,13,angry,
d_nikke_exia_04_20,d_nikke_exia_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_exia_04_20,True,,113,113,1.0,,,,,,,1,delight,,,13,idle,
d_nikke_exia_04_21,d_nikke_exia_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_exia_04_21,True,,113,113,1.0,,,,,,,1,delight,,,13,idle,
d_nikke_exia_04_22,d_nikke_exia_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_exia_04_22,True,,113,113,1.0,,,,,,,1,delight,,,13,idle,
d_nikke_exia_04_23,d_nikke_exia_04,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_exia_04_23,True,,113,113,1.0,,,,,,,1,delight,,,13,idle,
d_nikke_exia_04_24,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_24,False,,113,10,1.0,,,,,,,1,idle,,,13,idle,privaty
d_nikke_exia_04_25,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_25,True,,10,10,1.0,,,,,,,1,idle,,,,,
d_nikke_exia_04_26,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_26,True,,10,10,1.0,,,,,,,1,good,,,,,
d_nikke_exia_04_27,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_27,True,,10,10,1.0,,,,,,,1,good,,,,,
d_nikke_exia_04_28,d_nikke_exia_04,Choice,exia,,Locale_NikkeEpisode:d_nikke_exia_04_28,False,,10,10,1.0,,,d_nikke_exia_04_30,,,,1,good,,,,,
d_nikke_exia_04_29,d_nikke_exia_04,Choice,exia,,Locale_NikkeEpisode:d_nikke_exia_04_29,False,,10,10,1.0,,,d_nikke_exia_04_31,,,,1,good,,,,,
d_nikke_exia_04_30,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_30,True,,10,10,1.0,,,,,,,1,good,,,,,
d_nikke_exia_04_31,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_31,True,,10,10,1.0,,,,,,,1,good,,,,,
d_nikke_exia_04_32,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_32,True,,10,10,1.0,,,,,,,1,good,,,,,
d_nikke_exia_04_33,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_33,False,,10,10,1.0,,,,,,,1,"expression_0,good",,,,,
