id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce006_02_01_51,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_51,True,,1,1,1.0,,com,,,2,surprise,,12,idle
d_nikke_ce006_02_01_52,d_nikke_ce006_02_01,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_52,False,,1,20,1.3,,,,,2,no,,12,idle
d_nikke_ce006_02_01_53,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_53,True,,20,120,1.3,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_54,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_54,True,,120,120,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_55,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_55,False,,120,1,1.3,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_56,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_56,True,,1,1,1.0,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_57,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_57,True,,1,1,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_58,d_nikke_ce006_02_01,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_58,False,,black,black,1.0,,,,,2,no,,12,idle
d_nikke_ce006_02_01_59,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_59,True,,120,120,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_60,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_60,True,,120,120,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_61,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_61,False,,120,20,1.3,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_62,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_62,True,,20,20,1.0,,ce006_02,,,2,surprise,,12,idle
d_nikke_ce006_02_01_63,d_nikke_ce006_02_01,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_63,False,,20,1,1.3,,,,,2,surprise,,12,idle
d_nikke_ce006_02_01_64,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_64,True,,1,1,1.0,,ce006_02,,,2,surprise,,12,idle
d_nikke_ce006_02_01_65,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_65,True,,1,1,1.0,,ce006_02,,,2,surprise,,12,idle
d_nikke_ce006_02_01_66,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_66,True,,1,1,1.0,,com,,,2,surprise,,12,idle
