id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/hide_char_id,characters/1/set_char_anim
d_nikke_volume_02_20,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_20,True,,31,31,1.0,,Grey,,,,,3,angry,,1,,
d_nikke_volume_02_21,d_nikke_volume_02,Narration,,,Locale_NikkeEpisode:d_nikke_volume_02_21,False,,black,black,1.0,none,,,,,,3,angry,staff02,1,,idle
d_nikke_volume_02_22,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_22,True,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_23,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_23,True,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_24,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_24,True,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_25,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_25,True,,31,31,1.0,bgm_story_stormbreakers,,,,,,3,angry,,1,,idle
d_nikke_volume_02_26,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_26,False,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_27,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_27,True,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_28,d_nikke_volume_02,Choice,,,Locale_NikkeEpisode:d_nikke_volume_02_28,False,,31,31,1.0,,,,d_nikke_volume_02_30,,,3,angry,,1,,idle
d_nikke_volume_02_29,d_nikke_volume_02,Choice,,,Locale_NikkeEpisode:d_nikke_volume_02_29,False,,31,31,1.0,,,,d_nikke_volume_02_32,,,3,angry,,1,,idle
d_nikke_volume_02_30,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_30,True,,31,S_30,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_31,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_31,True,,S_30,S_30,1.0,,,,d_nikke_volume_02_34,,,3,angry,,1,,idle
d_nikke_volume_02_32,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_32,True,,31,S_30,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_33,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_33,True,,S_30,S_30,1.0,,,,d_nikke_volume_02_34,,,3,angry,,1,,idle
d_nikke_volume_02_34,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_34,False,,S_30,S_30,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_35,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_35,True,,S_30,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_36,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_36,True,,31,31,1.0,none,,,,,,3,angry,,1,,idle
d_nikke_volume_02_37,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_37,True,,31,3,1.0,bgm_story_armageddon,,,,,,3,idle,,1,,idle
d_nikke_volume_02_38,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_38,True,,3,3,1.0,,,,,,,3,surprise,,1,,idle
d_nikke_volume_02_39,d_nikke_volume_02,Narration,,,Locale_NikkeEpisode:d_nikke_volume_02_39,False,,3,3,1.0,,,sfx_scn_medhit,,,,3,surprise,,1,,idle
d_nikke_volume_02_40,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_40,True,,S_30,S_30,1.0,,,,,,,3,surprise,,1,,idle
d_nikke_volume_02_41,d_nikke_volume_02,Narration,,,Locale_NikkeEpisode:d_nikke_volume_02_41,False,,S_30,S_30,1.0,,,sfx_scn_medhit,,,,3,surprise,,1,,idle
d_nikke_volume_02_42,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_42,True,,S_300,S_300,1.0,,,,,,,3,surprise,,1,,idle
d_nikke_volume_02_43,d_nikke_volume_02,Monologue,,,Locale_NikkeEpisode:d_nikke_volume_02_43,False,,S_300,S_300,1.0,,,,,,,3,surprise,,1,,idle
d_nikke_volume_02_44,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_44,True,,S_100,S_100,1.0,,,,,,,3,surprise,,1,,idle
d_nikke_volume_02_45,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_45,True,,S_300,S_300,1.0,,,,,,,3,idle,,1,,idle
d_nikke_volume_02_46,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_46,True,,S_300,3,1.0,,,,,,,3,idle,,1,,idle
d_nikke_volume_02_47,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_47,True,,3,3,1.0,,,,,,,3,delight,,1,,idle
d_nikke_volume_02_48,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_48,True,,3,3,1.0,,,,,,,3,delight,,1,,idle
d_nikke_volume_02_49,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_49,True,,3,31,1.0,,,,,,,3,delight,,1,,idle
d_nikke_volume_02_50,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_50,True,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_51,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_51,True,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_52,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_52,True,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_53,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_53,True,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_54,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_54,True,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_55,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_55,True,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_56,d_nikke_volume_02,Narration,,,Locale_NikkeEpisode:d_nikke_volume_02_56,False,,31,31,1.0,,,sfx_scn_smashcan,,Low_2,,3,angry,,1,,idle
d_nikke_volume_02_57,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_57,False,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_58,d_nikke_volume_02,Monologue,,,Locale_NikkeEpisode:d_nikke_volume_02_58,False,,31,10,0.5,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_59,d_nikke_volume_02,Narration,,,Locale_NikkeEpisode:d_nikke_volume_02_59,False,,black,black,1.0,none,,sfx_scn_hitcan,,,,3,angry,,1,,idle
d_nikke_volume_02_60,d_nikke_volume_02,Monologue,,,Locale_NikkeEpisode:d_nikke_volume_02_60,False,,black,black,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_61,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_61,False,,31,31,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_62,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_62,True,,31,S_30,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_63,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_63,False,,S_30,S_30,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_64,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_64,True,,S_30,S_30,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_65,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_65,False,,S_30,S_30,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_66,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_66,False,,S_30,S_30,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_67,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_67,False,,S_30,S_30,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_68,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_68,True,,S_30,S_30,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_69,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_69,True,,black,black,1.0,,,,,,,3,angry,,1,,idle
d_nikke_volume_02_70,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_70,True,Corridor,black,black,1.0,,,,,,,3,angry,,1,staff02,idle
d_nikke_volume_02_71,d_nikke_volume_02,Choice,,,Locale_NikkeEpisode:d_nikke_volume_02_71,False,,black,black,1.0,,,,d_nikke_volume_02_73,,,3,angry,,,,
d_nikke_volume_02_72,d_nikke_volume_02,Choice,,,Locale_NikkeEpisode:d_nikke_volume_02_72,False,,black,black,1.0,,,,d_nikke_volume_02_73,,,3,angry,,,,
d_nikke_volume_02_73,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_73,True,,3,3,0.5,bgm_story_fairytalesend_if,,,,,,3,angry,,,,
d_nikke_volume_02_74,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_74,False,,3,3,1.0,,,,,,,3,angry,,,,
d_nikke_volume_02_75,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_75,True,,3,S_30,1.0,,,,,,,3,angry,,,,
d_nikke_volume_02_76,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_76,True,,S_30,S_30,1.0,,,,,,,3,angry,,,,
d_nikke_volume_02_77,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_77,False,,S_30,S_30,1.0,,,,,,,3,angry,,,,
d_nikke_volume_02_78,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_78,True,,S_30,S_30,1.0,,,,,,,3,angry,,,,
d_nikke_volume_02_79,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_79,False,,S_30,S_30,1.0,,,,,,,3,angry,,,,
d_nikke_volume_02_80,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_80,True,,S_30,S_30,1.0,,,,,,,3,angry,,,,
d_nikke_volume_02_81,d_nikke_volume_02,Choice,,,Locale_NikkeEpisode:d_nikke_volume_02_81,False,,S_30,S_30,1.0,,,,d_nikke_volume_02_83,,,3,angry,,,,
d_nikke_volume_02_82,d_nikke_volume_02,Choice,,,Locale_NikkeEpisode:d_nikke_volume_02_82,False,,S_30,S_30,1.0,,,,d_nikke_volume_02_83,,,3,angry,,,,
d_nikke_volume_02_83,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_83,True,,S_30,S_30,1.0,,,,,,,3,angry,,,,
d_nikke_volume_02_84,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_84,False,,S_30,S_30,1.0,,,,,,,3,angry,,,,
d_nikke_volume_02_85,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_85,True,,S_30,3,1.0,,,,,,,3,angry,,,,
d_nikke_volume_02_86,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_86,True,,3,3,1.0,,,,,,,3,angry,,,,
d_nikke_volume_02_87,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_87,True,,3,3,0.5,,,,,,,3,angry,,,,
