id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce_02_02_04_30,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_30,True,,2,2,1.0,,,p12,,,1,idle,,3,think
d_nikke_ce_02_02_04_31,d_nikke_ce_02_02_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_04_31,False,,2,2,1.0,,,,,,1,idle,,3,think
d_nikke_ce_02_02_04_32,d_nikke_ce_02_02_04,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_04_32,True,,2,2,1.0,,,ce_02_02,,,1,idle,,3,think
d_nikke_ce_02_02_04_33,d_nikke_ce_02_02_04,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_04_33,True,,2,2,1.0,,,ce_02_02,,,1,idle,,3,think
d_nikke_ce_02_02_04_34,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_34,True,,2,2,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_35,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_35,True,,2,2,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_36,d_nikke_ce_02_02_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_04_36,False,,2,2,1.0,,,,,,1,idle,,3,idle
d_nikke_ce_02_02_04_37,d_nikke_ce_02_02_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_04_37,False,,2,2,1.0,,,,,,1,idle,,3,idle
d_nikke_ce_02_02_04_38,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_38,True,,2,2,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_39,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_39,True,,2,2,1.0,,,p12,,,1,idle,,3,idle
