id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,set_filter_01,set_camera_shake
d_nikke_naga_03_11,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_11,True,,1,idle,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_12,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_12,True,,1,idle,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_13,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_13,True,,1,idle,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_14,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_14,True,,1,idle,,10,10,1.0,,naga,naga,d_nikke_naga_03_15,,,,,,,,,,,,
d_nikke_naga_03_15,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_15,True,,1,idle,,10,1,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_16,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_16,True,,1,idle,,1,1,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_17,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_17,True,,1,idle,,1,1,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_18,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_18,True,,1,idle,,1,1,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_19,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_19,True,,1,idle,,1,1,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_20,d_nikke_naga_03,Self,Locale_NikkeEpisode:d_nikke_naga_03_20,False,,1,idle,,1,1,1.0,,naga,,,,,,,,,,,,,,
d_nikke_naga_03_21,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_21,True,,1,idle,,1,10,1.5,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_22,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_22,True,,1,idle,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_23,d_nikke_naga_03,Narration,Locale_NikkeEpisode:d_nikke_naga_03_23,False,,1,idle,Classroom,black,black,1.0,none,naga,,,black,,,,,,,,,,,
d_nikke_naga_03_24,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_24,False,,1,idle,,black,black,1.0,,naga,,,,,,,,,,,,,,
d_nikke_naga_03_25,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_25,False,,1,idle,,black,black,1.0,,naga,,,,,,,,,,,,,,
d_nikke_naga_03_26,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_26,False,,1,idle,,black,black,1.0,,naga,,,,,,,,,,,,,,
d_nikke_naga_03_27,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_27,False,,1,idle,,black,black,1.0,,naga,,,,,,,,,,,,,,
d_nikke_naga_03_28,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_28,False,,1,idle,,1,1,1.0,bgm_story_orangepop,activestudent,activestudent,,,tia,4,idle,,,,,,,,
d_nikke_naga_03_29,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_29,True,,1,idle,,1,10,1.0,,naga,naga,,,,4,idle,,,,,,,,
d_nikke_naga_03_30,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_30,True,,1,idle,,10,10,1.0,,naga,naga,,,,4,idle,,,,,,,,
d_nikke_naga_03_31,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_31,False,,1,idle,,10,10,1.0,,ordinarystudent,ordinarystudent,,,,4,idle,,,,,,,,
d_nikke_naga_03_32,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_32,False,,1,idle,,10,10,1.0,,activestudent,activestudent,,,,4,idle,,,,,,,,
d_nikke_naga_03_33,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_33,True,,1,delight,,10,10,1.0,,naga,naga,,,,4,idle,,,,,,,,
d_nikke_naga_03_34,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_34,True,,1,delight,,10,10,1.0,,naga,naga,,,,4,idle,,,,,,,,
d_nikke_naga_03_35,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_35,True,,1,delight,,10,10,1.0,,naga,naga,,,,4,idle,,,,,,,,
d_nikke_naga_03_36,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_36,False,,1,delight,,10,10,1.0,,activestudent,activestudent,,,,4,idle,,,,,,,,
d_nikke_naga_03_37,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_37,False,,1,delight,,10,4,1.0,,ordinarystudent,ordinarystudent,,,,4,idle,,,,,,,,
d_nikke_naga_03_38,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_38,True,,1,idle,,4,4,1.0,,tia,tia,,,,4,idle,,,,,,,,
d_nikke_naga_03_39,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_39,True,,1,idle,,4,4,1.0,,tia,tia,,,,4,idle,,,,,,,,
d_nikke_naga_03_40,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_40,False,,1,idle,,4,4,1.0,,activestudent,activestudent,,,,4,idle,,,,,,,,
d_nikke_naga_03_41,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_41,True,,1,idle,,4,4,1.0,,tia,tia,,,,4,idle,,,,,,,,
d_nikke_naga_03_42,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_42,False,,1,idle,,4,4,1.0,,ordinarystudent,ordinarystudent,,,,4,idle,,,,,,,,
d_nikke_naga_03_43,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_43,True,,1,idle,,4,4,1.0,,tia,tia,,,,4,idle,,,,,,,,
d_nikke_naga_03_44,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_44,True,,1,idle,,4,4,1.0,,tia,tia,,,,4,idle,,,,,,,,
d_nikke_naga_03_45,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_45,False,,1,idle,,black,black,1.0,,,,,,,4,idle,,,,,,,,
d_nikke_naga_03_46,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_46,False,,1,idle,,black,black,1.0,,,,,,,4,idle,,,,,,,,
d_nikke_naga_03_47,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_47,False,,1,idle,,black,black,1.0,,,,,,,4,idle,,,,,,,,
d_nikke_naga_03_48,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_48,False,,1,idle,,black,black,1.0,,,,,,,4,idle,,,,,,,,
d_nikke_naga_03_49,d_nikke_naga_03,Narration,Locale_NikkeEpisode:d_nikke_naga_03_49,False,,1,idle,,15,15,1.0,,,,,,,4,idle,sfx_scn_schoolbell,,,,,,,
d_nikke_naga_03_50,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_50,False,,1,idle,,15,1,1.0,,activestudent,activestudent,,,,4,idle,,,,,,,,
d_nikke_naga_03_51,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_51,False,,1,idle,,1,1,1.0,,activestudent,activestudent,,,,4,idle,,,,,,,,
d_nikke_naga_03_52,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_52,True,,1,delight,,1,10,1.0,,naga,naga,,,,4,idle,,,,,,,,
d_nikke_naga_03_53,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_53,False,,1,delight,,10,10,1.0,,ordinarystudent,ordinarystudent,,,,4,idle,,,,,,,,
d_nikke_naga_03_54,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_54,False,,1,delight,,10,4,1.0,,ordinarystudent,ordinarystudent,,,,4,idle,,,,,,,,
d_nikke_naga_03_55,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_55,True,,1,idle,,4,4,1.0,,tia,tia,,,,4,idle,,,,,,,,
d_nikke_naga_03_56,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_56,True,,1,idle,,4,4,1.0,,tia,tia,,,,4,idle,,,,,,,,
d_nikke_naga_03_57,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_57,True,,1,idle,,4,4,1.0,,tia,tia,,,,4,idle,,,,,,,,
d_nikke_naga_03_58,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_58,False,,1,idle,,4,1,1.0,,ordinarystudent,ordinarystudent,,,,4,idle,,tia,,,,,,
d_nikke_naga_03_59,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_59,False,,1,idle,,1,1,1.0,,activestudent,activestudent,,,,,,,,,,,,,
d_nikke_naga_03_60,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_60,False,,1,idle,,1,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_61,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_61,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_naga_03_62,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_62,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_naga_03_63,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_63,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_naga_03_64,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_64,False,,1,idle,,15,15,1.0,,,,,,,,,,,marciana,15,idle,,,
d_nikke_naga_03_65,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_65,True,,1,idle,,15,150,1.0,,marciana,marciana,,,,,,,,,15,idle,,,
d_nikke_naga_03_66,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_66,False,,1,idle,,150,150,1.0,,marciana,students,,,,,,,,,15,idle,,,
d_nikke_naga_03_67,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_67,False,,1,idle,,150,150,1.0,,marciana,students,,,,,,,,,15,idle,,,
d_nikke_naga_03_68,d_nikke_naga_03,Narration,Locale_NikkeEpisode:d_nikke_naga_03_68,False,,1,idle,,150,150,1.0,,marciana,,,,,,,,,,15,think,,,
d_nikke_naga_03_69,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_69,True,,1,idle,,150,150,1.0,,marciana,marciana,,,,,,,,,15,idle,,,
d_nikke_naga_03_70,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_70,True,,1,idle,,150,150,1.0,,marciana,marciana,,,,,,,,,15,idle,,,
d_nikke_naga_03_71,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_71,True,,1,idle,,150,150,1.0,,marciana,marciana,,,,,,,,,15,idle,,,
d_nikke_naga_03_72,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_72,True,,1,idle,,150,150,1.0,,marciana,marciana,,,,,,,,,15,idle,,,
d_nikke_naga_03_73,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_73,True,,1,idle,,150,150,1.0,,marciana,marciana,,,,,,,,,15,idle,,,
d_nikke_naga_03_74,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_74,True,,1,idle,,150,150,1.0,,marciana,marciana,,,,,,,,,15,think,,,
d_nikke_naga_03_75,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_75,True,,1,idle,,150,150,1.0,,marciana,marciana,,,,,,,,,15,think,,,
d_nikke_naga_03_76,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_76,True,,1,idle,,150,150,1.0,,marciana,marciana,,,,,,,,,15,think,,,
d_nikke_naga_03_77,d_nikke_naga_03,Narration,Locale_NikkeEpisode:d_nikke_naga_03_77,False,,1,idle,,150,15,1.0,,,,,,,,,,,,15,think,marciana,,
d_nikke_naga_03_78,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_78,True,,1,idle,,15,1,1.0,,activestudent,activestudent,,,,,,,,,,,,,
d_nikke_naga_03_79,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_79,True,,1,idle,,1,1,1.0,,ordinarystudent,ordinarystudent,,,,,,,,,,,,,
d_nikke_naga_03_80,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_80,True,,1,idle,,1,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_81,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_81,True,,1,delight,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_82,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_82,True,,1,delight,,10,10,1.0,,activestudent,activestudent,,,,,,,,,,,,,
d_nikke_naga_03_83,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_83,True,,1,delight,,10,10,1.0,,ordinarystudent,ordinarystudent,,,,,,,,,,,,,
d_nikke_naga_03_84,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_84,True,,1,delight,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_85,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_85,False,,1,delight,,black,black,1.0,none,,,,,,,,,,,,,,,
d_nikke_naga_03_86,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_86,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_naga_03_87,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_87,False,,1,idle,WasteLand_02,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_naga_03_88,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_88,True,,1,idle,,1,1,1.0,bgm_story_trauma,naga,naga,,,,,,,,,,,,Red,
d_nikke_naga_03_89,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_89,True,,1,idle,,1,1,1.0,,activestudent,activestudent,,,,,,,,,,,,Red,
d_nikke_naga_03_90,d_nikke_naga_03,Narration,Locale_NikkeEpisode:d_nikke_naga_03_90,False,,1,idle,,1,1,1.0,,,,,,,,,sfx_scn_hit,,,,,,Red,Low_2
d_nikke_naga_03_91,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_91,False,,1,idle,,1,1,1.0,,activestudent,activestudent,,,,,,,,,,,,Red,
d_nikke_naga_03_92,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_92,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,Red,
d_nikke_naga_03_93,d_nikke_naga_03,Narration,Locale_NikkeEpisode:d_nikke_naga_03_93,False,,1,idle,,1,1,1.0,,,,,,,,,sfx_scn_2rapturestep,,,,,,Red,Low_2
d_nikke_naga_03_94,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_94,False,,1,idle,,1,1,1.0,,ordinarystudent,ordinarystudent,,,,,,,,,,,,Red,
d_nikke_naga_03_95,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_95,False,,1,idle,,1,1,1.0,,ordinarystudent,ordinarystudent,,,,,,,,,,,,Red,
d_nikke_naga_03_96,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_96,False,,1,idle,,1,1,1.0,,ordinarystudent,ordinarystudent,,,,,,,,,,,,Red,
d_nikke_naga_03_97,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_97,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,Red,
d_nikke_naga_03_98,d_nikke_naga_03,Narration,Locale_NikkeEpisode:d_nikke_naga_03_98,False,,1,idle,,1,1,1.0,,,,,,,,,sfx_scn_gunfire,,,,,,Red,Low_2
d_nikke_naga_03_99,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_99,True,,1,angry,,1,1,1.0,,naga,naga,,,,,,,,,,,,Red,
d_nikke_naga_03_100,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_100,True,,1,angry,,1,1,1.0,,naga,naga,,,,,,,,,,,,Red,
d_nikke_naga_03_101,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_101,True,,1,angry,,1,100,0.6,,naga,naga,,,,,,,,,,,,Red,Low_2
d_nikke_naga_03_102,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_102,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_naga_03_103,d_nikke_naga_03,Monologue,Locale_NikkeEpisode:d_nikke_naga_03_103,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,
