id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,jump_target,characters/0/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,conversation_id
d_nikke_rupee_05_46,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_46,True,,L_10,L_10,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_47,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_47,True,,L_10,L_10,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_48,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_48,True,,L_10,L_10,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_49,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_49,True,,L_10,L_10,1.0,,rupee,,,1,shy,,,,,,,,,,,,,
d_nikke_rupee_05_50,d_nikke_rupee_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_05_50,False,City,5,1,2.0,none,,,,,,,,,,,,rupee,black,,,,,
d_nikke_rupee_05_51,d_nikke_rupee_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_05_51,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_rupee_05_52,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_52,True,,1,1,1.0,bgm_story_languor,rupee,,rupee,1,shy,,,,,,,,,,,,,
d_nikke_rupee_05_53,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_53,True,,1,1,1.0,,rupee,,,1,shy,,,,,,,,,,,,,
d_nikke_rupee_05_54,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_54,True,,1,L_10,2.0,,rupee,,,1,shy,,,,,,,,,,,,,
d_nikke_rupee_05_55,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_55,True,,L_10,L_10,1.0,,rupee,,,1,shy,,,,,,,,,,,,,
d_nikke_rupee_05_56,d_nikke_rupee_05,Self,Self,Locale_NikkeEpisode:d_nikke_rupee_05_56,False,,L_10,L_10,1.0,,,,,1,shy,,,,,,,,,,,,,
d_nikke_rupee_05_57,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_57,True,,L_10,L_10,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_58,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_58,True,,L_10,L_10,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_59,d_nikke_rupee_05,Choice,,Locale_NikkeEpisode:d_nikke_rupee_05_59,False,,L_10,L_10,1.0,,,,,1,sad,,,,,,d_nikke_rupee_05_61,,,,,,,
d_nikke_rupee_05_60,d_nikke_rupee_05,Choice,,Locale_NikkeEpisode:d_nikke_rupee_05_60,False,,L_10,L_10,1.0,,,,,1,sad,,,,,,d_nikke_rupee_05_61,,,,,,,
d_nikke_rupee_05_61,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_61,True,,L_10,L_10,1.0,,rupee,,,1,idle,,,,,,,,,,,,,
d_nikke_rupee_05_62,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_62,True,,L_10,L_10,1.0,,rupee,,,1,idle,,,,,,,,,,,,,
d_nikke_rupee_05_63,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_63,True,,L_10,L_10,1.0,,rupee,,,1,idle,,,,,,,,,,,,,
d_nikke_rupee_05_64,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_64,True,,L_10,L_10,1.0,,rupee,,,1,idle,,,,,,,,,,,,,
d_nikke_rupee_05_65,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_65,True,,L_10,L_100,2.0,,rupee,,,1,idle,,,,,,,,,,,,,
d_nikke_rupee_05_66,d_nikke_rupee_05,Speech,yan,Locale_NikkeEpisode:d_nikke_rupee_05_66,False,NikkeRoom,1,1,1.0,bgm_story_orangepop,yan,,,15,idle,,dolla,12,no,,,rupee,black,yan,2,surprise,,
d_nikke_rupee_05_67,d_nikke_rupee_05,Speech,dolla,Locale_NikkeEpisode:d_nikke_rupee_05_67,False,,1,1,1.0,,dolla,,rupee,15,idle,,,12,no,,,,,,2,surprise,,
d_nikke_rupee_05_68,d_nikke_rupee_05,Speech,yan,Locale_NikkeEpisode:d_nikke_rupee_05_68,True,,1,1,1.0,,yan,,,15,idle,,,12,no,,,,,,2,surprise,,
d_nikke_rupee_05_69,d_nikke_rupee_05,Speech,yan,Locale_NikkeEpisode:d_nikke_rupee_05_69,True,,1,1,1.0,,yan,,,15,idle,,,12,no,,,,,,2,surprise,,
d_nikke_rupee_05_70,d_nikke_rupee_05,Speech,dolla,Locale_NikkeEpisode:d_nikke_rupee_05_70,True,,1,1,1.0,,dolla,,,15,idle,,,12,no,,,,,,2,surprise,,
d_nikke_rupee_05_71,d_nikke_rupee_05,Speech,dolla,Locale_NikkeEpisode:d_nikke_rupee_05_71,True,,1,1,1.0,,dolla,,,15,idle,,,12,no,,,,,,2,surprise,,
d_nikke_rupee_05_72,d_nikke_rupee_05,Choice,,Locale_NikkeEpisode:d_nikke_rupee_05_72,False,,1,1,1.0,,dolla,,,15,idle,,,12,no,,d_nikke_rupee_05_74,,,,2,surprise,,
d_nikke_rupee_05_73,d_nikke_rupee_05,Choice,,Locale_NikkeEpisode:d_nikke_rupee_05_73,False,,1,1,1.0,,dolla,,,15,idle,,,12,no,,d_nikke_rupee_05_78,,,,2,surprise,,
d_nikke_rupee_05_74,d_nikke_rupee_05,Speech,yan,Locale_NikkeEpisode:d_nikke_rupee_05_74,True,,1,1,1.0,,yan,,,15,idle,,,12,no,,,,,,2,no,,
d_nikke_rupee_05_75,d_nikke_rupee_05,Speech,yan,Locale_NikkeEpisode:d_nikke_rupee_05_75,True,,1,1,1.0,,yan,,,15,idle,,,12,no,,,,,,2,no,,
d_nikke_rupee_05_76,d_nikke_rupee_05,Speech,yan,Locale_NikkeEpisode:d_nikke_rupee_05_76,True,,1,1,1.0,,yan,,,15,idle,,,12,no,,,,,,2,sad,,
d_nikke_rupee_05_77,d_nikke_rupee_05,Speech,yan,Locale_NikkeEpisode:d_nikke_rupee_05_77,True,,1,1,1.0,,yan,,,15,idle,,,12,no,,d_nikke_rupee_05_85,,,,2,sad,,
d_nikke_rupee_05_78,d_nikke_rupee_05,Speech,dolla,Locale_NikkeEpisode:d_nikke_rupee_05_78,False,,1,1,1.0,,dolla,,,15,idle,,,12,surprise,,,,,,2,etc,,
d_nikke_rupee_05_79,d_nikke_rupee_05,Speech,dolla,Locale_NikkeEpisode:d_nikke_rupee_05_79,True,,1,S_120,2.0,,dolla,,,15,idle,,,12,good,,,,,,2,etc,,
d_nikke_rupee_05_80,d_nikke_rupee_05,Speech,dolla,Locale_NikkeEpisode:d_nikke_rupee_05_80,True,,S_120,S_120,1.0,,dolla,,,15,idle,,,12,good,,,,,,2,etc,,
d_nikke_rupee_05_81,d_nikke_rupee_05,Speech,dolla,Locale_NikkeEpisode:d_nikke_rupee_05_81,True,,S_120,S_120,1.0,,dolla,,,15,idle,,,12,good,,,,,,2,etc,,
d_nikke_rupee_05_82,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_82,True,,S_120,L_150,0.5,,rupee,,,15,surprise,,,12,good,,,,,,2,etc,,
d_nikke_rupee_05_83,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_83,True,,L_150,L_1500,0.5,,rupee,,,15,angry,,,12,good,,,,,,2,etc,,
d_nikke_rupee_05_84,d_nikke_rupee_05,Speech,dolla,Locale_NikkeEpisode:d_nikke_rupee_05_84,True,,L_1500,S_120,0.5,,dolla,,,15,angry,,,12,no,,,,,,2,etc,,
d_nikke_rupee_05_85,d_nikke_rupee_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_05_85,False,CommanderRoom_n,black,black,1.0,,,,,15,angry,,,12,no,dolla,,rupee,,,2,etc,yan,
d_nikke_rupee_05_86,d_nikke_rupee_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_rupee_05_86,False,,1,1,1.0,,,,,,,sfx_scn_phonevibration,,,,,,,,,,,,m_nikke_rupee_05
