id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,set_camera_shake,set_filter_01,conversation_id,play_sound,fade
d_nikke_harran_03_33,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_33,True,,1,idle,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_34,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_34,False,,1,idle,,100,100,1.0,,,,,,,,
d_nikke_harran_03_35,d_nikke_harran_03,Narration,harran,Locale_NikkeEpisode:d_nikke_harran_03_35,False,,1,idle,,100,10,2.0,,,,Low_2,,,sfx_scn_drone,
d_nikke_harran_03_36,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_36,True,,1,special,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_37,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_37,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_38,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_38,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_39,d_nikke_harran_03,Narration,harran,Locale_NikkeEpisode:d_nikke_harran_03_39,False,,1,idle,,10,harran_crow_02,1.0,,,,,,,sfx_scn_crow2,
d_nikke_harran_03_40,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_40,True,,1,idle,,harran_crow_02,100,2.0,,harran,,,,,,
d_nikke_harran_03_41,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_41,False,,1,idle,,100,1,2.0,,,,,,,,
d_nikke_harran_03_42,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_42,True,,1,idle,,1,1,1.0,,harran,,,,,,
d_nikke_harran_03_43,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_43,True,,1,idle,,1,1,1.0,,harran,,,,,,
d_nikke_harran_03_44,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_44,True,,1,idle,,1,1,1.0,,harran,,,,,,
d_nikke_harran_03_45,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_45,False,,1,idle,,1,1,1.0,,,,,,,,
d_nikke_harran_03_46,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_46,True,,1,idle,,1,10,1.0,,harran,,,,,,
d_nikke_harran_03_47,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_47,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_48,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_48,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_harran_03_49,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_49,True,,1,special,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_50,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_50,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_51,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_51,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_harran_03_52,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_52,False,,1,idle,,10,1,2.0,none,,harran,,,,,
d_nikke_harran_03_53,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_53,False,,,,,1,1,1.0,,,,,,,,
d_nikke_harran_03_54,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_54,False,,,,,black,black,1.0,,,,,,,,
d_nikke_harran_03_55,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_55,False,,,,,1,100,0.5,,,,Low_2,,,,
d_nikke_harran_03_57,d_nikke_harran_03,Narration,harran,Locale_NikkeEpisode:d_nikke_harran_03_57,False,,,,Desert_02_n,10,10,1.0,,,,,,,,black
d_nikke_harran_03_58,d_nikke_harran_03,Narration,harran,Locale_NikkeEpisode:d_nikke_harran_03_58,False,,,,,10,10,1.0,bgm_story_epicjazzymoods,,,,,,sfx_scn_putdown,
d_nikke_harran_03_59,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_59,False,,,,,10,100,2.0,,,,,,,,
d_nikke_harran_03_60,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_60,False,,,,,100,100,1.0,,,,,,,,
d_nikke_harran_03_61,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_61,True,harran,1,idle,,100,10,2.0,,harran,,,,,,
d_nikke_harran_03_62,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_62,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_63,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_63,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_64,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_64,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_harran_03_65,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_65,True,,1,special,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_66,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_66,True,,1,special,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_67,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_67,True,,1,special,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_68,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_68,True,,1,special,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_69,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_69,False,,1,special,,10,10,1.0,,,,,,,,
d_nikke_harran_03_70,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_70,True,,1,idle,,10,100,2.0,,harran,,,,,,
d_nikke_harran_03_71,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_71,True,,1,idle,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_72,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_72,False,,1,idle,,100,100,1.0,,,,,,,,
d_nikke_harran_03_73,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_73,True,,1,idle,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_74,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_74,False,,1,idle,,100,100,1.0,,,,,,,,
d_nikke_harran_03_75,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_75,True,,1,idle,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_76,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_76,True,,1,idle,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_77,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_77,False,,1,idle,,100,100,1.0,,,,,,,,
d_nikke_harran_03_78,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_78,True,,1,idle,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_79,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_79,True,,1,idle,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_80,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_80,False,,1,idle,,100,100,1.0,,,,,,,,
d_nikke_harran_03_81,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_81,True,,1,idle,,100,10,1.0,,harran,,,,,,
d_nikke_harran_03_82,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_82,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_83,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_83,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_84,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_84,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_85,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_85,False,,1,idle,,10,10,1.0,none,,,,,,,
d_nikke_harran_03_86,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_86,False,,1,rage,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_87,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_87,True,,1,rage,,10,10,1.0,bgm_story_crawlinganxiety,harran,,,,,,
d_nikke_harran_03_88,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_88,False,,1,rage,,10,10,1.0,,,,,,,,
d_nikke_harran_03_89,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_89,False,,1,rage,,10,10,1.0,,,,,,,,
d_nikke_harran_03_90,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_90,False,,1,rage,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_91,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_91,True,,1,rage,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_92,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_92,True,,1,rage,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_93,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_93,True,,1,rage,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_94,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_94,True,,1,rage,,10,100,2.0,,harran,,,,,,
d_nikke_harran_03_95,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_95,True,,1,rage,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_96,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_96,True,,1,rage,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_97,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_97,False,,1,rage,,100,100,1.0,,,,,,,,
d_nikke_harran_03_98,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_98,True,,1,idle,,100,10,0.5,,harran,,,,,,
d_nikke_harran_03_99,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_99,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_100,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_100,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_101,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_101,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_harran_03_102,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_102,True,,1,idle,,10,100,0.5,,harran,,,,,,
d_nikke_harran_03_103,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_103,True,,1,idle,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_104,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_104,False,,1,idle,,100,100,1.0,,,,,,,,
d_nikke_harran_03_105,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_105,True,,1,idle,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_106,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_106,True,,1,rage,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_107,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_107,True,,1,rage,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_108,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_108,False,,1,rage,,100,100,1.0,,,,,,,,
d_nikke_harran_03_109,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_109,True,,1,rage,,100,10,1.0,,harran,,,,,,
d_nikke_harran_03_110,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_110,True,,1,rage,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_111,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_111,True,,1,rage,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_112,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_112,True,,1,rage,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_113,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_113,False,,1,rage,,10,10,1.0,,,,,,,,
