id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,highlight,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_frima_02_39,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_39,False,,10,10,1.0,,,,,,1,idle
treasurestory_frima_02_40,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_40,True,,10,10,1.0,,,frima,,,1,idle
treasurestory_frima_02_41,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_41,False,,10,10,1.0,,,,,,1,idle
treasurestory_frima_02_42,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_42,False,,10,10,1.0,,,frima,,,1,idle
treasurestory_frima_02_43,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_43,False,,10,10,1.0,,,,,,1,idle
treasurestory_frima_02_44,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_44,True,,10,10,1.0,,,frima,,,1,think
treasurestory_frima_02_45,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_45,True,,10,100,1.0,,,frima,,,1,think
treasurestory_frima_02_46,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_46,False,,100,100,1.0,,,,,,1,think
treasurestory_frima_02_47,treasurestory_frima_02,Monologue,,Locale_NikkeEpisode:treasurestory_frima_02_47,False,,100,100,1.0,,,,,,1,think
treasurestory_frima_02_48,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_48,True,,100,100,1.0,,,frima,,,1,think
treasurestory_frima_02_49,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_49,True,,100,100,1.0,,,frima,,,1,think
treasurestory_frima_02_50,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_50,False,,100,100,1.0,,,,,,1,think
treasurestory_frima_02_51,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_51,False,,100,100,1.0,,,,,,1,think
treasurestory_frima_02_52,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_52,True,,100,100,1.0,,,frima,,,1,idle
treasurestory_frima_02_53,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_53,True,,100,100,1.0,,,frima,,,1,idle
treasurestory_frima_02_54,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_54,True,,100,100,1.0,,,frima,,,1,idle
treasurestory_frima_02_55,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_55,True,,100,100,1.0,,,frima,,,1,idle
treasurestory_frima_02_56,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_56,True,,100,100,1.0,,,frima,,,1,idle
treasurestory_frima_02_57,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_57,False,,100,100,1.0,,,,,,1,idle
treasurestory_frima_02_58,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_58,True,,100,100,1.0,,,frima,,,1,idle
treasurestory_frima_02_59,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_59,False,,100,100,1.0,,,,,,1,idle
treasurestory_frima_02_60,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_60,True,,100,100,1.0,,,frima,,,1,idle
