id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,set_filter_01,fade,jump_target
d_nikke_emma_05_39,d_nikke_emma_05,Monologue,Locale_NikkeEpisode:d_nikke_emma_05_39,False,,black,black,1.0,,,,,1,shy,,,,,,,emma,,,,,white,
d_nikke_emma_05_40,d_nikke_emma_05,Monologue,Locale_NikkeEpisode:d_nikke_emma_05_40,False,ShowerRoom,black,black,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_emma_05_41,d_nikke_emma_05,Narration,Locale_NikkeEpisode:d_nikke_emma_05_41,False,,1,1,1.0,,,,,,,,,,,,,,,,sfx_scn_shower,Blur_Low,,
d_nikke_emma_05_42,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_42,True,HotSpring,10,10,1.0,,emma,emma,emma,1,special,,,,,,,,,,,Grey,,
d_nikke_emma_05_43,d_nikke_emma_05,Monologue,Locale_NikkeEpisode:d_nikke_emma_05_43,False,ShowerRoom,10,10,1.0,,,,,1,special,,,,,,,emma,,,,Blur_Low,,
d_nikke_emma_05_44,d_nikke_emma_05,Monologue,Locale_NikkeEpisode:d_nikke_emma_05_44,False,,10,1,1.0,,,,,,,,,,,,,,,,,Blur_Low,,
d_nikke_emma_05_45,d_nikke_emma_05,Choice,Locale_NikkeEpisode:d_nikke_emma_05_45,False,,1,1,1.0,,,,,,,,,,,,,,,,,Blur_Low,,d_nikke_emma_05_47
d_nikke_emma_05_46,d_nikke_emma_05,Choice,Locale_NikkeEpisode:d_nikke_emma_05_46,False,,1,1,1.0,,,,,,,,,,,,,,,,,Blur_Low,,d_nikke_emma_05_47
d_nikke_emma_05_47,d_nikke_emma_05,Narration,Locale_NikkeEpisode:d_nikke_emma_05_47,False,,1,5,0.5,none,,,,,,,,,,,,,,,sfx_scn_knock,Blur_Low,,
d_nikke_emma_05_48,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_48,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_49,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_49,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_50,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_50,False,,5,5,1.0,bgm_story_orangepop,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_51,d_nikke_emma_05,Choice,Locale_NikkeEpisode:d_nikke_emma_05_51,False,,5,5,1.0,,,,,,,,,,,,,,,,,,,d_nikke_emma_05_53
d_nikke_emma_05_52,d_nikke_emma_05,Choice,Locale_NikkeEpisode:d_nikke_emma_05_52,False,,5,5,1.0,,,,,,,,,,,,,,,,,,,d_nikke_emma_05_57
d_nikke_emma_05_53,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_53,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_54,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_54,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_55,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_55,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_56,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_56,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,d_nikke_emma_05_65
d_nikke_emma_05_57,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_57,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_58,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_58,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_59,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_59,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_60,d_nikke_emma_05,Self,Locale_NikkeEpisode:d_nikke_emma_05_60,False,,5,5,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_emma_05_61,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_61,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_62,d_nikke_emma_05,Self,Locale_NikkeEpisode:d_nikke_emma_05_62,False,,5,5,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_emma_05_63,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_63,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_64,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_64,False,,5,5,1.0,,,unknown,,,,,,,,,,,,,,,,d_nikke_emma_05_65
d_nikke_emma_05_65,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_65,False,,5,1,1.0,,,unknown,,,,,,,,,,,,,,,,
d_nikke_emma_05_66,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_66,False,,1,100,1.0,,,unknown,,,,,,,,,,,,,,,,
