id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/1/hide_char_id,characters/0/hide_char_id
d_nikke_ce004_02_01_25,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_25,True,,12,idle,,2,surprise,,1,1,1.0,,,,
d_nikke_ce004_02_01_26,d_nikke_ce004_02_01,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_01_26,True,,12,idle,,2,surprise,,1,120,1.0,,,,
d_nikke_ce004_02_01_27,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_27,True,,12,idle,,2,surprise,,120,20,1.0,,,,
d_nikke_ce004_02_01_28,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_28,True,,12,idle,,2,surprise,,20,20,1.0,,,,
d_nikke_ce004_02_01_29,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_29,True,,12,idle,,2,surprise,,20,20,1.0,,,,
d_nikke_ce004_02_01_30,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_30,True,,12,idle,,2,surprise,,20,20,1.0,,,,
d_nikke_ce004_02_01_31,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_31,True,,12,idle,,2,surprise,,20,20,1.0,,,,
d_nikke_ce004_02_01_32,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_32,True,,12,idle,,2,surprise,,20,20,1.0,,,,
d_nikke_ce004_02_01_33,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_33,True,,12,idle,,2,surprise,,20,20,1.0,,,,
d_nikke_ce004_02_01_34,d_nikke_ce004_02_01,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_01_34,False,,12,idle,,2,surprise,,20,1,1.0,,,,
d_nikke_ce004_02_01_35,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_35,True,,12,idle,,2,idle,,1,1,1.0,,,,
d_nikke_ce004_02_01_36,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_36,True,,12,idle,,2,idle,,1,1,1.0,,,,
d_nikke_ce004_02_01_37,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_37,True,,12,idle,,2,idle,,1,1,1.0,,,,
d_nikke_ce004_02_01_38,d_nikke_ce004_02_01,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_01_38,True,,12,idle,,2,idle,,1,1,1.0,,,,
d_nikke_ce004_02_01_39,d_nikke_ce004_02_01,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_01_39,True,,12,idle,,2,surprise,,1,1,1.0,,,,
d_nikke_ce004_02_01_40,d_nikke_ce004_02_01,Monologue,ein,,Locale_NikkeEpisode:d_nikke_ce004_02_01_40,False,,12,idle,,2,surprise,,1,1,1.0,,,ein,
d_nikke_ce004_02_01_41,d_nikke_ce004_02_01,Monologue,ein,,Locale_NikkeEpisode:d_nikke_ce004_02_01_41,False,,12,idle,,,,,1,1,1.0,,,,ce004_02_s
