id,group_id,speech_window,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_camera_shake,set_filter_01,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,jump_target,characters/4/hide_char_id,conversation_id,fade
d_nikke_emma_01_49,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_49,True,1,1,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_50,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_50,True,1,1,1.0,,emma,emma,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_51,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_51,True,1,10,1.0,,emma,emma,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_52,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_52,True,10,10,1.0,,emma,emma,,1,special,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_53,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_53,True,10,10,1.0,,emma,emma,,1,special,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_54,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_54,True,10,10,1.0,,emma,emma,,1,special,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_55,d_nikke_emma_01,Choice,Locale_NikkeEpisode:d_nikke_emma_01_55,False,10,10,1.0,,emma,,,1,special,,,,,,,,,,,,,,,,,,,,,d_nikke_emma_01_57,,,
d_nikke_emma_01_56,d_nikke_emma_01,Choice,Locale_NikkeEpisode:d_nikke_emma_01_56,False,10,10,1.0,,emma,,,1,special,,,,,,,,,,,,,,,,,,,,,d_nikke_emma_01_60,,,
d_nikke_emma_01_57,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_57,True,10,10,1.0,,emma,emma,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_58,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_58,True,10,10,1.0,,emma,emma,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_59,d_nikke_emma_01,Self,Locale_NikkeEpisode:d_nikke_emma_01_59,False,10,10,1.0,,emma,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_60,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_60,False,black,black,1.0,,emma,,,1,idle,,,,,,,,emma,,,,,,,,,,,,,,,,
d_nikke_emma_01_61,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_61,False,black,black,1.0,,emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_62,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_62,False,black,black,1.0,,emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_63,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_63,False,10,10,1.0,,emma,,,,,,Low_2,,sfx_scn_glassbreak,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_64,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_64,True,10,10,1.0,,emma,emma,emma,1,surprise,,,Blur_High,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_65,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_65,True,10,10,1.0,,emma,emma,,1,surprise,,Low_2,Blur_Middle,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_66,d_nikke_emma_01,Self,Locale_NikkeEpisode:d_nikke_emma_01_66,False,10,10,1.0,,emma,,,1,surprise,,,Blur_Middle,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_67,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_67,True,10,10,1.0,,emma,emma,,1,angry,,,Blur_Middle,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_68,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_68,True,10,10,1.0,,emma,emma,,1,angry,,,Blur_Middle,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_69,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_69,False,10,10,1.0,none,emma,,,1,angry,CommanderRoom_n,,Blur_Middle,,,,,emma,,,,,,,,,,,,,,,,black
d_nikke_emma_01_70,d_nikke_emma_01,Monologue,Locale_NikkeEpisode:d_nikke_emma_01_70,False,10,10,1.0,,emma,,,,,,,Blur_Low,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_71,d_nikke_emma_01,Monologue,Locale_NikkeEpisode:d_nikke_emma_01_71,False,10,10,1.0,bgm_story_orangepop,emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_72,d_nikke_emma_01,Choice,Locale_NikkeEpisode:d_nikke_emma_01_72,False,10,10,1.0,,emma,,,,,,,,,,,,,,,,,,,,,,,,,d_nikke_emma_01_74,,,
d_nikke_emma_01_73,d_nikke_emma_01,Choice,Locale_NikkeEpisode:d_nikke_emma_01_73,False,10,10,1.0,,emma,,,,,,,,,,,,,,,,,,,,,,,,,d_nikke_emma_01_74,,,
d_nikke_emma_01_74,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_74,True,10,100,1.0,,emma,emma,emma,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_75,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_75,True,100,100,1.0,,emma,emma,,1,shy,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_76,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_76,True,100,100,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_77,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_77,True,100,100,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_78,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_78,True,100,100,1.0,,emma,emma,,1,worry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_79,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_79,True,100,100,1.0,,emma,emma,,1,worry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_80,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_80,True,100,100,1.0,,emma,emma,,1,worry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_81,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_81,True,100,100,1.0,,emma,emma,,1,worry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_82,d_nikke_emma_01,Self,Locale_NikkeEpisode:d_nikke_emma_01_82,False,100,100,1.0,,emma,,,1,worry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_83,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_83,True,100,100,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_84,d_nikke_emma_01,Self,Locale_NikkeEpisode:d_nikke_emma_01_84,False,100,100,1.0,,emma,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_85,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_85,True,100,100,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_86,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_86,True,100,100,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_87,d_nikke_emma_01,Choice,Locale_NikkeEpisode:d_nikke_emma_01_87,False,100,100,1.0,,emma,,,1,angry,,,,,,,,,,,,,,,,,,,,,d_nikke_emma_01_89,,,
d_nikke_emma_01_88,d_nikke_emma_01,Choice,Locale_NikkeEpisode:d_nikke_emma_01_88,False,100,100,1.0,,emma,,,1,angry,,,,,,,,,,,,,,,,,,,,,d_nikke_emma_01_94,,,
d_nikke_emma_01_89,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_89,True,100,100,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_90,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_90,True,100,100,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_91,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_91,True,100,100,1.0,,emma,emma,,1,worry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_92,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_92,True,100,100,1.0,,emma,emma,,1,worry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_93,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_93,True,100,100,1.0,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,d_nikke_emma_01_99,,,
d_nikke_emma_01_94,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_94,True,100,100,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_95,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_95,True,100,100,1.0,,emma,emma,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_96,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_96,True,100,100,1.0,,emma,emma,,1,worry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_97,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_97,True,100,100,1.0,,emma,emma,,1,worry,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_98,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_98,True,100,100,1.0,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_99,d_nikke_emma_01,Choice,Locale_NikkeEpisode:d_nikke_emma_01_99,False,100,100,1.0,,emma,,,1,idle,,,,,,,,,,,,,,,,,,,,,d_nikke_emma_01_101,,,
d_nikke_emma_01_100,d_nikke_emma_01,Choice,Locale_NikkeEpisode:d_nikke_emma_01_100,False,100,100,1.0,,emma,,,1,idle,,,,,,,,,,,,,,,,,,,,,d_nikke_emma_01_101,,,
d_nikke_emma_01_101,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_101,True,100,100,1.0,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_102,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_102,True,100,100,1.0,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_103,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_103,True,100,100,1.0,,emma,emma,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_104,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_104,True,100,100,1.0,,emma,emma,,1,special,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_105,d_nikke_emma_01,Self,Locale_NikkeEpisode:d_nikke_emma_01_105,False,100,100,1.0,,emma,,,1,special,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_106,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_106,True,100,100,1.0,,emma,emma,,1,special,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_107,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_107,True,100,10,1.0,,emma,emma,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_108,d_nikke_emma_01,Monologue,Locale_NikkeEpisode:d_nikke_emma_01_108,False,10,10,1.0,,,,,1,delight,,,,sfx_scn_autodooropen,,,,emma,,,,,,,,,,,,,,,,
d_nikke_emma_01_109,d_nikke_emma_01,Monologue,Locale_NikkeEpisode:d_nikke_emma_01_109,False,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_110,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_110,True,10,10,1.0,,emma,emma,emma,1,worry,,,Grey,,,,,,,,,,,,,,,,,,,,,black
d_nikke_emma_01_111,d_nikke_emma_01,Speech,Locale_NikkeEpisode:d_nikke_emma_01_111,True,10,10,1.0,,emma,emma,,1,worry,,,Grey,,,,,,,,,,,,,,,,,,,,,
d_nikke_emma_01_112,d_nikke_emma_01,Monologue,Locale_NikkeEpisode:d_nikke_emma_01_112,False,black,black,1.0,,,,,1,worry,,,,,,,,emma,,,,,,,,,,,,,,,,
d_nikke_emma_01_113,d_nikke_emma_01,Narration,Locale_NikkeEpisode:d_nikke_emma_01_113,False,10,10,1.0,none,,,,,,,,,sfx_scn_phonevibration,,,,,,,,,,,,,,,,,,,m_nikke_emma_01_02,
