id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_bgm,play_sound,set_camera_shake,conversation_id
treasurestory_frima_04_18,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_18,True,,120,1200,1.0,frima,frima,,2,idle,,12,surprise,,,,
treasurestory_frima_04_19,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_19,True,,1200,1,1.0,poli,poli,,2,idle,,12,surprise,,,,
treasurestory_frima_04_20,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_20,True,,1,1,1.0,frima,frima,,2,idle,,12,surprise,,,,
treasurestory_frima_04_21,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_21,True,,1,1,1.0,poli,poli,,2,idle,,12,surprise,,,,
treasurestory_frima_04_22,treasurestory_frima_04,Monologue,Locale_NikkeEpisode:treasurestory_frima_04_22,False,,1,1,1.0,poli,,,2,idle,,12,surprise,,,,
treasurestory_frima_04_23,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_23,True,,1,1,1.0,frima,frima,,2,idle,,12,surprise,,,,
treasurestory_frima_04_24,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_24,True,,1,1,1.0,poli,poli,,2,idle,,12,surprise,,,,
treasurestory_frima_04_25,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_25,True,,1,1,1.0,poli,poli,,2,sad,,12,surprise,,,,
treasurestory_frima_04_26,treasurestory_frima_04,Self,Locale_NikkeEpisode:treasurestory_frima_04_26,False,,1,1,1.0,poli,,,2,sad,,12,surprise,,,,
treasurestory_frima_04_27,treasurestory_frima_04,Monologue,Locale_NikkeEpisode:treasurestory_frima_04_27,False,,1,1,1.0,poli,,,2,sad,,12,surprise,,,,
treasurestory_frima_04_28,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_28,False,,1,1,1.0,poli,poli,,2,surprise,,12,surprise,,,,
treasurestory_frima_04_29,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_29,True,,1,1,1.0,poli,poli,,2,surprise,,12,surprise,,,,
treasurestory_frima_04_30,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_30,True,,1,1,1.0,poli,poli,,2,surprise,,12,surprise,,,,
treasurestory_frima_04_31,treasurestory_frima_04,Monologue,Locale_NikkeEpisode:treasurestory_frima_04_31,False,,1,1,1.0,frima,,,2,surprise,,12,surprise,,,,
treasurestory_frima_04_32,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_32,True,,1,1,1.0,frima,frima,,2,surprise,,12,delight,,,,
treasurestory_frima_04_33,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_33,True,,1,1,1.0,frima,frima,,2,surprise,,12,delight,,,,
treasurestory_frima_04_34,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_34,True,,1,1,1.0,frima,frima,,2,surprise,,12,delight,,,,
treasurestory_frima_04_35,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_35,True,,1,XS_20,0.7,poli,poli,,2,surprise,,12,delight,,,,
treasurestory_frima_04_36,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_36,True,,XS_20,XS_200,0.7,poli,poli,,2,surprise,,12,delight,,,,
treasurestory_frima_04_37,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_37,True,,XS_200,XS_200,1.0,poli,poli,,2,surprise,,12,delight,,,,
treasurestory_frima_04_38,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_38,True,,XS_200,XS_200,1.0,poli,poli,,2,surprise,,12,delight,,,,
treasurestory_frima_04_39,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_39,True,,XS_200,1,1.0,frima,frima,,2,surprise,,12,idle,,,,
treasurestory_frima_04_40,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_40,True,,1,1,1.0,poli,poli,,2,surprise,,12,idle,,,,
treasurestory_frima_04_41,treasurestory_frima_04,Self,Locale_NikkeEpisode:treasurestory_frima_04_41,False,,1,1,1.0,poli,,,2,surprise,,12,idle,,,,
treasurestory_frima_04_42,treasurestory_frima_04,Narration,Locale_NikkeEpisode:treasurestory_frima_04_42,False,,1,1,1.0,poli,,,2,surprise,,12,idle,,sfx_scn_phonevibration,,
treasurestory_frima_04_43,treasurestory_frima_04,Self,Locale_NikkeEpisode:treasurestory_frima_04_43,False,,1,1,1.0,frima,,,2,surprise,,12,idle,,,,m_treasurestory_frima_04
treasurestory_frima_04_44,treasurestory_frima_04,Self,Locale_NikkeEpisode:treasurestory_frima_04_44,False,,1,1,1.0,frima,,,2,surprise,,12,idle,,,,
treasurestory_frima_04_45,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_45,False,,1,1,1.0,frima,frima,,2,surprise,,12,idle,,,,
treasurestory_frima_04_46,treasurestory_frima_04,Self,Locale_NikkeEpisode:treasurestory_frima_04_46,False,,1,1,1.0,frima,,,2,surprise,,12,idle,,,,
treasurestory_frima_04_47,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_47,False,,1,120,1.0,frima,frima,,2,surprise,,12,surprise,,,,
treasurestory_frima_04_48,treasurestory_frima_04,Self,Locale_NikkeEpisode:treasurestory_frima_04_48,False,,120,120,1.0,frima,,,2,surprise,,12,surprise,,,,
treasurestory_frima_04_49,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_49,True,,120,120,1.0,frima,frima,,2,surprise,,12,surprise,,,,
treasurestory_frima_04_50,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_50,True,,120,1,1.0,poli,poli,,2,sad,,12,surprise,,,,
treasurestory_frima_04_51,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_51,True,,1,1,1.0,poli,poli,,2,sad,,12,surprise,,,,
treasurestory_frima_04_52,treasurestory_frima_04,Self,Locale_NikkeEpisode:treasurestory_frima_04_52,False,,1,1,1.0,,,,2,sad,,12,surprise,,,,
treasurestory_frima_04_53,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_53,True,,1,1,1.0,frima,frima,,2,sad,,12,idle,,,,
treasurestory_frima_04_54,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_54,True,,1,1,1.0,poli,poli,,2,idle,,12,idle,,,,
treasurestory_frima_04_55,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_55,True,,1,1,1.0,poli,poli,,2,idle,,12,idle,,,,
treasurestory_frima_04_56,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_56,True,,1,1,1.0,poli,poli,,2,idle,,12,idle,,,,
treasurestory_frima_04_57,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_57,True,,1,1,1.0,poli,poli,,2,idle,,12,idle,,,,
treasurestory_frima_04_58,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_58,True,,1,1,1.0,frima,frima,,2,idle,,12,idle,,,,
treasurestory_frima_04_59,treasurestory_frima_04,Self,Locale_NikkeEpisode:treasurestory_frima_04_59,False,,1,1,1.0,frima,,,2,idle,,12,idle,,,,
treasurestory_frima_04_60,treasurestory_frima_04,Speech,Locale_NikkeEpisode:treasurestory_frima_04_60,True,,1,1,1.0,poli,poli,,2,idle,,12,idle,,,,
