id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id
d_nikke_flora_01_59,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_59,False,,50,50,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_60,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_60,False,,50,50,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_61,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_61,True,,50,50,1.0,,,flora,,5,surprise,,,,,,
d_nikke_flora_01_62,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_62,True,,50,50,1.0,,,flora,,5,surprise,,,,,,
d_nikke_flora_01_63,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_63,True,,50,50,1.0,,,flora,,5,sad,,,,,,
d_nikke_flora_01_64,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_64,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_65,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_65,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_66,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_66,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_67,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_67,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_68,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_68,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_69,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_69,False,,50,50,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_70,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_70,True,,50,500,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_71,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_71,True,,500,500,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_72,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_72,True,,500,500,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_73,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_73,True,,500,500,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_74,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_74,False,,500,500,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_75,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_75,False,,500,500,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_76,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_76,True,,500,500,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_77,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_77,True,,500,500,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_78,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_78,True,,500,500,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_79,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_79,True,,500,500,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_80,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_80,False,,500,500,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_81,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_81,False,,500,500,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_82,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_82,True,,500,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_83,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_83,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_84,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_84,False,,50,50,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_85,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_85,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_86,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_86,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_87,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_87,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_88,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_88,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_89,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_89,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_90,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_90,True,,50,500,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_91,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_91,True,,500,500,1.0,,,flora,,5,delight,,,,,,
d_nikke_flora_01_92,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_92,False,,500,500,1.0,,,,,5,delight,,,,,,
d_nikke_flora_01_93,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_93,True,,500,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_94,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_94,False,,50,50,1.0,,,,,5,idle,,,,,,
d_nikke_flora_01_95,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_95,False,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_96,d_nikke_flora_01,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_01_96,True,,50,50,1.0,,,flora,,5,idle,,,,,,
d_nikke_flora_01_97,d_nikke_flora_01,Self,Self,Locale_NikkeEpisode:d_nikke_flora_01_97,False,,50,50,1.0,,,,,5,idle,,,,,,
