id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,jump_target
d_nikke_ce005_02_01_18,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_18,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_19,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_19,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_20,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_20,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_21,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_21,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_22,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_22,True,,1,1,1.0,,ce004_01,ce005_02,,1,no,,
d_nikke_ce005_02_01_23,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_23,True,,1,1,1.0,,ce004_01,ce005_02,,1,no,,
d_nikke_ce005_02_01_24,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_24,True,,1,1,1.0,,ce004_01,ce005_02,,1,no,,
d_nikke_ce005_02_01_25,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_25,True,,1,1,1.0,,ce004_01,ce005_02,,1,no,,
d_nikke_ce005_02_01_26,d_nikke_ce005_02_01,Narration,Locale_NikkeEpisode:d_nikke_ce005_02_01_26,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_27,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_27,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_28,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_28,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_29,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_29,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_30,d_nikke_ce005_02_01,Narration,Locale_NikkeEpisode:d_nikke_ce005_02_01_30,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_31,d_nikke_ce005_02_01,Choice,Locale_NikkeEpisode:d_nikke_ce005_02_01_31,False,,1,1,1.0,,,ce005_02,,1,idle,,d_nikke_ce005_02_01_33
d_nikke_ce005_02_01_32,d_nikke_ce005_02_01,Choice,Locale_NikkeEpisode:d_nikke_ce005_02_01_32,False,,1,1,1.0,,,ce005_02,,1,idle,,d_nikke_ce005_02_01_33
d_nikke_ce005_02_01_33,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_33,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_34,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_34,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_35,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_35,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_36,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_36,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_37,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_37,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_38,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_38,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_39,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_39,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_40,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_40,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_41,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_41,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_42,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_42,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_43,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_43,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_44,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_44,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_45,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_45,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_46,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_46,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_47,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_47,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_48,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_48,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_49,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_49,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_50,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_50,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_51,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_51,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_52,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_52,True,,1,1,1.0,,ce004_01,ce005_02,,1,surprise,,
d_nikke_ce005_02_01_53,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_53,True,,1,1,1.0,,ce004_01,ce005_02,,1,surprise,,
d_nikke_ce005_02_01_54,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_54,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_55,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_55,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_56,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_56,True,,1,1,1.0,,ce004_01,ce005_02,,1,surprise,,
d_nikke_ce005_02_01_57,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_57,True,,1,1,1.0,,ce004_01,ce005_02,,1,surprise,,
d_nikke_ce005_02_01_58,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_58,True,,1,1,1.0,,ce004_01,ce005_02,,1,idle,,
d_nikke_ce005_02_01_59,d_nikke_ce005_02_01,Self,Locale_NikkeEpisode:d_nikke_ce005_02_01_59,False,,1,1,1.0,,,ce005_02,,1,idle,,
d_nikke_ce005_02_01_60,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_60,True,,1,10,1.0,,ce004_01,ce005_02,,1,no,,
d_nikke_ce005_02_01_61,d_nikke_ce005_02_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_02_01_61,True,,10,10,1.0,,ce004_01,ce005_02,,1,no,,
