id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/2/hide_char_id
d_nikke_frima_05_17,d_nikke_frima_05,Speech,milk,Locale_NikkeEpisode:d_nikke_frima_05_17,True,,19,19,1.0,,milk,,19,idle,,17,delight,,,,,,,,,
d_nikke_frima_05_18,d_nikke_frima_05,Speech,milk,Locale_NikkeEpisode:d_nikke_frima_05_18,True,,19,19,1.0,,milk,,19,idle,,17,delight,,,,,,,,,
d_nikke_frima_05_19,d_nikke_frima_05,Speech,milk,Locale_NikkeEpisode:d_nikke_frima_05_19,True,,19,190,1.0,,milk,,19,good,,17,delight,,,,,,,,,
d_nikke_frima_05_20,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_20,False,,190,190,1.0,,milk,,19,good,,17,delight,,,,,,,,,
d_nikke_frima_05_21,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_21,False,,190,190,1.0,,milk,,19,good,,17,delight,,,,,,,,,
d_nikke_frima_05_22,d_nikke_frima_05,Speech,milk,Locale_NikkeEpisode:d_nikke_frima_05_22,True,,190,190,1.0,,milk,,19,idle,,17,delight,,,,,,,,,
d_nikke_frima_05_23,d_nikke_frima_05,Speech,milk,Locale_NikkeEpisode:d_nikke_frima_05_23,True,,190,190,1.0,,milk,,19,idle,,17,delight,,,,,,,,,
d_nikke_frima_05_24,d_nikke_frima_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_frima_05_24,False,,black,black,1.0,none,,,19,idle,,17,delight,milk,sugar,sfx_scn_knock,black,,,,,
d_nikke_frima_05_25,d_nikke_frima_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_frima_05_25,False,NikkeRoom,black,black,1.0,,,,,,,,,,,,,,,,,
d_nikke_frima_05_26,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_26,True,,9,9,1.0,bgm_story_backtonormal,frima,,,,,,,,,,,frima,9,idle,,
d_nikke_frima_05_27,d_nikke_frima_05,Choice,,Locale_NikkeEpisode:d_nikke_frima_05_27,False,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,d_nikke_frima_05_29,
d_nikke_frima_05_28,d_nikke_frima_05,Choice,,Locale_NikkeEpisode:d_nikke_frima_05_28,False,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,d_nikke_frima_05_30,
d_nikke_frima_05_29,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_29,True,,9,9,1.0,,frima,,,,,,,,,,,,9,delight,d_nikke_frima_05_32,
d_nikke_frima_05_30,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_30,True,,9,9,1.0,,frima,,,,,,,,,,,,9,surprise,,
d_nikke_frima_05_31,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_31,True,,9,9,1.0,,frima,,,,,,,,,,,,9,delight,d_nikke_frima_05_32,
d_nikke_frima_05_32,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_32,False,,9,9,1.0,,frima,,,,,,,,,,,,9,delight,,
d_nikke_frima_05_33,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_33,True,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_34,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_34,True,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_35,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_35,False,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_36,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_36,True,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_37,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_37,True,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_38,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_38,True,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_39,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_39,True,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_40,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_40,True,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_41,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_41,False,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_42,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_42,True,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_43,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_43,False,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_44,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_44,True,,9,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_45,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_45,False,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_46,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_46,False,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_47,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_47,False,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_48,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_48,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_49,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_49,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_50,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_50,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_51,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_51,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_52,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_52,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_53,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_53,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_54,d_nikke_frima_05,Choice,,Locale_NikkeEpisode:d_nikke_frima_05_54,False,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,d_nikke_frima_05_56,
d_nikke_frima_05_55,d_nikke_frima_05,Choice,,Locale_NikkeEpisode:d_nikke_frima_05_55,False,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,d_nikke_frima_05_61,
d_nikke_frima_05_56,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_56,False,,90,90,1.0,,frima,,,,,,,,,,,,9,think,,
d_nikke_frima_05_57,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_57,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_58,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_58,False,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_59,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_59,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_60,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_60,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,d_nikke_frima_05_66,
d_nikke_frima_05_61,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_61,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_62,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_62,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_63,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_63,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_64,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_64,False,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_65,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_65,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,d_nikke_frima_05_66,
d_nikke_frima_05_66,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_66,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_67,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_67,False,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_68,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_68,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_69,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_69,False,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_70,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_70,True,,90,90,1.0,,frima,,,,,,,,,,,,9,angry,,
d_nikke_frima_05_71,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_71,False,,90,90,1.0,,frima,,,,,,,,,,,,9,angry,,
d_nikke_frima_05_72,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_72,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_73,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_73,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_74,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_74,False,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_75,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_75,True,,90,90,1.0,,frima,,,,,,,,,,,,9,angry,,
d_nikke_frima_05_76,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_76,True,,90,90,1.0,,frima,,,,,,,,,,,,9,angry,,
d_nikke_frima_05_77,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_77,False,,90,90,1.0,,frima,,,,,,,,,,,,9,angry,,
d_nikke_frima_05_78,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_78,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_79,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_79,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_80,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_80,True,,90,90,1.0,,frima,,,,,,,,,,,,9,delight,,
d_nikke_frima_05_81,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_81,False,,90,90,1.0,,frima,,,,,,,,,,,,9,delight,,
d_nikke_frima_05_82,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_82,True,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_83,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_83,False,,90,90,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_84,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_84,True,,90,900,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_85,d_nikke_frima_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_frima_05_85,False,,900,900,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_86,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_86,True,,900,900,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_87,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_87,False,,900,900,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_88,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_88,True,,900,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_89,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_89,True,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_90,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_90,False,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_91,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_91,True,,9,9,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_92,d_nikke_frima_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_frima_05_92,False,,9,190,1.0,,frima,,,,,,,,,,,,9,idle,,
d_nikke_frima_05_93,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_93,True,,190,190,1.0,,frima,,,,,,,,,,,,9,idle,,frima
d_nikke_frima_05_94,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_94,True,,190,190,1.0,,frima,,,,,,,,,,,,,,,
d_nikke_frima_05_95,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_95,False,,190,190,1.0,,frima,,,,,,,,,,,,,,,
d_nikke_frima_05_96,d_nikke_frima_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_frima_05_96,False,,190,9,0.5,,frima,,,,,,,,,,,frima,9,sleep_02,,
d_nikke_frima_05_97,d_nikke_frima_05,Speech,frima,Locale_NikkeEpisode:d_nikke_frima_05_97,True,,9,9,1.0,,frima,,,,,,,,,,,frima,9,sleep_02,,
d_nikke_frima_05_98,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_98,False,,9,9,1.0,,frima,,,,,,,,,,,frima,9,sleep_02,,
d_nikke_frima_05_99,d_nikke_frima_05,Self,Self,Locale_NikkeEpisode:d_nikke_frima_05_99,False,,9,9,1.0,,frima,,,,,,,,,,,frima,9,sleep_02,,
d_nikke_frima_05_100,d_nikke_frima_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_frima_05_100,False,none,black,black,1.0,,frima,,,,,,,,,,,frima,9,sleep_02,,
